feature_name,f_score,p_value
graph_density,57.18462972650517,5.502335525649626e-14
len_mean_utterance_length,38.38255268954099,6.759085512676794e-10
syn_mean_utterance_length_words,38.38255268954099,6.759085512676794e-10
len_tokens_per_utterance,38.377901399624605,6.774974726871358e-10
len_type_count,32.778203711561694,1.1539898174731014e-08
graph_node_count,32.778203711561694,1.1539898174731014e-08
graph_self_loop_ratio,32.152947921456416,1.585519899089667e-08
syn_interjection_ratio,25.623292589507248,4.445973455239968e-07
pause_pause_to_word_ratio,25.211201071436342,5.493128258884543e-07
graph_edge_count,21.32719042820834,4.064255322716844e-06
len_syllable_count,21.207181707945352,4.3245946077772955e-06
disc_immediate_repetition_count,16.339455332342578,5.4519049534800115e-05
len_token_count,14.609228192668462,0.00013543036172956055
syn_pronoun_ratio,14.350393276101032,0.00015525799541889294
disc_semantic_drift,13.91231937252274,0.0001957162226225923
disc_adjacent_utterance_similarity_mean,13.912319372522672,0.0001957162226225923
disc_local_coherence,13.912319372522672,0.0001957162226225923
pause_speaking_to_total_ratio,13.447701451186571,0.0002503233286729921
pause_silence_ratio,13.447701451186477,0.00025032332867306814
lex_mattr_10,13.146313725796414,0.0002937302038823921
pause_total_duration,12.295833112609968,0.00046181352028053013
pause_mean_duration,11.971932406842098,0.0005489537682698015
len_speech_duration,11.797793945766204,0.0006024902206719836
ac_mfcc_5_mean,11.667394714684653,0.0006460097547882575
pause_medium_count,10.450765486793507,0.0012416242024703207
pause_std_duration,10.34314452500349,0.001315825697885992
pause_median_duration,10.089233623131243,0.0015092038073085674
pause_iqr_duration,10.078336302484272,0.0015181198552850464
lex_brunet,9.71668535967491,0.0018463831397495232
disc_mean_pairwise_utt_similarity,9.301288373814378,0.0023134854111008015
pause_to_speech_ratio,9.300096025564368,0.002314986056398941
pause_long_count,8.782017433501508,0.0030703159466483015
syn_determiner_ratio,8.579806485091822,0.003429280485724759
len_std_utterance_length,7.982220922973535,0.004760662317698569
ac_mfcc_1_mean,7.779876352869218,0.0053223941509212246
lex_function_word_ratio,7.722331691505557,0.005494174694644029
lex_content_word_ratio,7.722331691505497,0.005494174694644029
syn_content_function_ratio,7.535498403783979,0.006091931149577253
syn_open_closed_ratio,7.535498403783979,0.006091931149577253
ac_mfcc_4_std,6.243276937959297,0.012529056661861184
ac_mfcc_2_std,5.992273515758254,0.014435673130772812
pause_short_count,5.985133230932222,0.014494085146245518
ac_zcr_mean,5.886758189931691,0.015324105461719459
syn_sconj_ratio,5.384639843959533,0.02039334565987753
ac_mfcc_3_std,5.172788285404987,0.023026122534382198
graph_average_degree,5.048531591324735,0.024732064122932624
lex_mattr_20,4.949842526375089,0.026180274479576857
lex_mean_token_length,4.272194933802274,0.03884160661590361
lex_honore,3.998682576468076,0.04564179329142492
ac_mfcc_5_std,3.9886848152808665,0.04591294070485355
ac_rms_mean,3.3688800162759525,0.06655534820577837
pause_articulation_rate_words_per_speaking_second,3.332216569223819,0.06805221910758791
disc_repeated_trigram_ratio,3.0820083315103406,0.07928282326760834
disc_repeated_bigram_ratio,2.57830936677331,0.10846118561525181
pause_long_ratio,2.4949689002254414,0.11433470751646044
lex_std_token_length,1.7027659794093484,0.19204443212591726
ac_mfcc_2_mean,1.6743214711117937,0.19579793346573846
pause_filled_per_100_words,1.6255390415732247,0.20243737230568448
ac_mfcc_4_mean,1.1525538995563689,0.2831167859107626
ac_f0_std,1.051161963326809,0.3053369127564424
ac_mfcc_3_mean,0.8239061531602291,0.36412637134035597
pause_filled_count,0.7839145410648963,0.37603011449084744
lex_lemma_type_token_ratio,0.6428892342795914,0.422741235350256
lex_type_token_ratio,0.6428892342795914,0.422741235350256
lex_repetition_rate,0.642889234279588,0.422741235350256
disc_repeated_unigram_ratio,0.642889234279588,0.422741235350256
disc_adjacent_utterance_similarity_std,0.5558285180136218,0.4560146363521147
ac_rms_std,0.29486319625863294,0.5871682797838289
ac_mfcc_1_std,0.28417160942859027,0.5940264128313424
pause_speech_rate_words_per_second,0.17783618645981702,0.6732749803332687
len_tokens_per_second,0.17783618645981702,0.6732749803332687
len_syllables_per_second,0.14218619892104284,0.7061486244096757
ac_f0_mean,0.07895683030589126,0.7787388961498137
ac_zcr_std,0.0713100535910579,0.789460409453524
lex_hapax_ratio,0.05620226064690582,0.8126214121700688
len_utterance_count,0.04922110183579498,0.8244419716226729
syn_utterance_count,0.04922110183579498,0.8244419716226729
syn_cconj_ratio,0.012004684894276614,0.9127622858732497
ac_duration,0.00033026963545099256,0.9855020073287675
len_audio_duration,0.00033026963545099256,0.9855020073287675
