dataset_name,task_type,diagnosis_mapped,count
ADReSS-M,PD_CTP,AD,21
ADReSS-M,PD_CTP,HC,23
Baycrest,MIXED_PROTOCOL,AD,3
Baycrest,MIXED_PROTOCOL,MCI,7
DS3,MOTOR_SPEECH,AD,16
DS3,MOTOR_SPEECH,HC,6
DS3,OTHER,HC,8
DS3,PD_CTP,AD,34
DS3,PD_CTP,HC,16
DS3,PICTURE_RECALL,AD,34
DS3,PICTURE_RECALL,HC,16
DS3,REPETITION,AD,39
DS3,REPETITION,HC,18
DS5,PD_CTP,AD,21
DS5,PD_CTP,HC,26
DS5,PD_CTP,MCI,29
DS7,PD_CTP,AD,13
DS7,PD_CTP,HC,2
DS7,PD_CTP,MCI,20
Delaware,MIXED_PROTOCOL,HC,255
Delaware,MIXED_PROTOCOL,MCI,142
Delaware,OTHER,HC,1
Delaware,OTHER,MCI,5
Delaware,PROCEDURAL,MCI,1
Ivanova,READING,AD,74
Ivanova,READING,HC,195
Ivanova,READING,MCI,87
Kempler,CONVERSATION,AD,4
Kempler,MIXED_PROTOCOL,AD,1
Kempler,OTHER,AD,1
Kempler,PD_CTP,AD,1
Lu,PD_CTP,AD,22
Lu,PD_CTP,HC,27
Lu,PD_CTP,MCI,2
NCMMSC2021_AD,OTHER,AD,111
NCMMSC2021_AD,OTHER,HC,123
NCMMSC2021_AD,OTHER,MCI,128
PerLA,CONVERSATION,AD,23
Pitt,PD_CTP,AD,255
Pitt,PD_CTP,HC,243
Pitt,PD_CTP,MCI,42
Predictive_Chinese_challenge_Chinese_2019,PD_CTP,AD,38
Predictive_Chinese_challenge_Chinese_2019,PD_CTP,HC,47
Predictive_Chinese_challenge_Chinese_2019,PD_CTP,MCI,81
TAUKADIAL,PD_CTP,HC,213
TAUKADIAL,PD_CTP,MCI,268
VAS,COMMAND,AD,29
VAS,COMMAND,HC,36
VAS,COMMAND,MCI,35
WLS,PD_CTP,AD,259
WLS,PD_CTP,HC,1104
