subset,top_k,model,num_features,balanced_accuracy,macro_f1,auroc,auprc,sensitivity,specificity,precision
all_universal,50,logreg,50,0.734990456359535,0.7213015193313295,0.8029021343050495,0.7058423840953061,0.6764705882352942,0.7935103244837758,0.5679012345679012
text_plus_acoustic,50,logreg,50,0.734990456359535,0.7213015193313295,0.8029021343050495,0.7058423840953061,0.6764705882352942,0.7935103244837758,0.5679012345679012
text_only,50,logreg,50,0.730565677598473,0.7155091656471239,0.7894108971022037,0.7041135861077846,0.6764705882352942,0.7846607669616519,0.5575757575757576
text_only,all,linear_svm,67,0.7284075134478569,0.7218045112781954,0.7933801839319798,0.7130733089737147,0.6397058823529411,0.8171091445427728,0.5838926174496645
all_universal,all,linear_svm,193,0.7247310428596216,0.7187328173243666,0.7873720284574006,0.5998774766396031,0.6323529411764706,0.8171091445427728,0.581081081081081
text_plus_acoustic,all,linear_svm,193,0.7247310428596216,0.7187328173243666,0.7873720284574006,0.5998774766396031,0.6323529411764706,0.8171091445427728,0.581081081081081
all_universal,50,linear_svm,50,0.7239827346867951,0.7159806143001006,0.7984882005899705,0.7076979412836327,0.6397058823529411,0.8082595870206489,0.5723684210526315
text_plus_acoustic,50,linear_svm,50,0.7239827346867951,0.7159806143001006,0.7984882005899705,0.7076979412836327,0.6397058823529411,0.8082595870206489,0.5723684210526315
text_only,50,linear_svm,50,0.7100034704147146,0.7029393370856785,0.7874045635953497,0.7117243236811414,0.6176470588235294,0.8023598820058997,0.5562913907284768
all_universal,20,logreg,20,0.7099600902307825,0.696056800905047,0.7698681242408467,0.6639644168152925,0.6470588235294118,0.7728613569321534,0.5333333333333333
text_only,20,logreg,20,0.7099600902307825,0.696056800905047,0.7698681242408467,0.6639644168152925,0.6470588235294118,0.7728613569321534,0.5333333333333333
text_plus_acoustic,20,logreg,20,0.7099600902307825,0.696056800905047,0.7698681242408467,0.6639644168152925,0.6470588235294118,0.7728613569321534,0.5333333333333333
text_only,all,logreg,67,0.7040603852160333,0.6885245901639345,0.8008632656602465,0.7182358005853953,0.6470588235294118,0.7610619469026548,0.5207100591715976
all_universal,all,logreg,193,0.6989089883741106,0.683695514042445,0.790950893631789,0.6147774652394894,0.6397058823529411,0.7581120943952803,0.514792899408284
text_plus_acoustic,all,logreg,193,0.6989089883741106,0.683695514042445,0.790950893631789,0.6147774652394894,0.6397058823529411,0.7581120943952803,0.514792899408284
all_universal,20,linear_svm,20,0.6879663369772688,0.6871355763831901,0.7684799583550235,0.654857586007503,0.5588235294117647,0.8171091445427728,0.5507246376811594
text_only,20,linear_svm,20,0.6879663369772688,0.6871355763831901,0.7684799583550235,0.654857586007503,0.5588235294117647,0.8171091445427728,0.5507246376811594
text_plus_acoustic,20,linear_svm,20,0.6879663369772688,0.6871355763831901,0.7684799583550235,0.654857586007503,0.5588235294117647,0.8171091445427728,0.5507246376811594
all_universal,10,linear_svm,10,0.6856780322748568,0.6735897435897436,0.7562250563942392,0.6204366218210035,0.6102941176470589,0.7610619469026548,0.5060975609756098
text_only,10,linear_svm,10,0.6856780322748568,0.6735897435897436,0.7562250563942392,0.6204366218210035,0.6102941176470589,0.7610619469026548,0.5060975609756098
text_plus_acoustic,10,linear_svm,10,0.6856780322748568,0.6735897435897436,0.7562250563942392,0.6204366218210035,0.6102941176470589,0.7610619469026548,0.5060975609756098
all_universal,20,rf,20,0.6837367690439007,0.7044519504266558,0.7690005205622072,0.6208837729070563,0.4264705882352941,0.9410029498525073,0.7435897435897436
text_only,20,rf,20,0.6837367690439007,0.7044519504266558,0.7690005205622072,0.6208837729070563,0.4264705882352941,0.9410029498525073,0.7435897435897436
text_plus_acoustic,20,rf,20,0.6837367690439007,0.7044519504266558,0.7690005205622072,0.6208837729070563,0.4264705882352941,0.9410029498525073,0.7435897435897436
all_universal,all,rf,193,0.6822835328821795,0.7045407422765912,0.8119469026548674,0.6887195811913132,0.4117647058823529,0.9528023598820059,0.7777777777777778
text_plus_acoustic,all,rf,193,0.6822835328821795,0.7045407422765912,0.8119469026548674,0.6887195811913132,0.4117647058823529,0.9528023598820059,0.7777777777777778
text_only,50,rf,50,0.6815352247093528,0.7024722605716623,0.7988786222453584,0.6686535176220734,0.41911764705882354,0.943952802359882,0.75
acoustic_only,all,rf,126,0.6754186187749436,0.6698331788693235,0.7095588235294117,0.45422740305217457,0.5661764705882353,0.7846607669616519,0.5133333333333333
all_universal,10,logreg,10,0.6731303140725317,0.6563781046539667,0.7552273121638036,0.6309131094935801,0.6176470588235294,0.7286135693215339,0.4772727272727273
text_only,10,logreg,10,0.6731303140725317,0.6563781046539667,0.7552273121638036,0.6309131094935801,0.6176470588235294,0.7286135693215339,0.4772727272727273
text_plus_acoustic,10,logreg,10,0.6731303140725317,0.6563781046539667,0.7552273121638036,0.6309131094935801,0.6176470588235294,0.7286135693215339,0.4772727272727273
all_universal,10,rf,10,0.6719373590144022,0.6884590634590635,0.7507157730348776,0.5978193766310218,0.4264705882352941,0.9174041297935103,0.6744186046511628
text_only,10,rf,10,0.6719373590144022,0.6884590634590635,0.7507157730348776,0.5978193766310218,0.4264705882352941,0.9174041297935103,0.6744186046511628
text_plus_acoustic,10,rf,10,0.6719373590144022,0.6884590634590635,0.7507157730348776,0.5978193766310218,0.4264705882352941,0.9174041297935103,0.6744186046511628
text_only,all,rf,67,0.6705058129446468,0.6902220586431114,0.7971108797501302,0.654681387395715,0.39705882352941174,0.943952802359882,0.7397260273972602
all_universal,50,rf,50,0.6697791948637862,0.6900772523227894,0.7891072358146799,0.6555665338692358,0.3897058823529412,0.9498525073746312,0.7571428571428571
text_plus_acoustic,50,rf,50,0.6697791948637862,0.6900772523227894,0.7891072358146799,0.6555665338692358,0.3897058823529412,0.9498525073746312,0.7571428571428571
acoustic_only,10,linear_svm,10,0.5516657990629881,0.3508548262831566,0.5686057608884262,0.33754387404080544,0.9705882352941176,0.13274336283185842,0.30985915492957744
acoustic_only,20,linear_svm,20,0.5494642547284401,0.35187728937728935,0.5471108797501301,0.31992057374313493,0.9632352941176471,0.13569321533923304,0.3089622641509434
acoustic_only,10,logreg,10,0.5435645497136908,0.3410777937015397,0.5709916710046852,0.3538774094922633,0.9632352941176471,0.12389380530973451,0.3060747663551402
acoustic_only,all,linear_svm,126,0.5413846954711088,0.3521496179724028,0.5077975880617733,0.3037457933815276,0.9411764705882353,0.1415929203539823,0.3054892601431981
acoustic_only,20,logreg,20,0.5413630053791428,0.3421414682466889,0.5665885823355892,0.342102447295716,0.9558823529411765,0.12684365781710916,0.3051643192488263
acoustic_only,50,rf,50,0.5407014575741801,0.37425560327715013,0.5682695644629533,0.3504735643109393,0.9044117647058824,0.17699115044247787,0.30597014925373134
acoustic_only,10,rf,10,0.5392265313204928,0.37175268249303706,0.564495488460871,0.33963050794091854,0.9044117647058824,0.17404129793510326,0.3052109181141439
acoustic_only,20,rf,20,0.5392265313204928,0.37175268249303706,0.564625629012667,0.33963907864601683,0.9044117647058824,0.17404129793510326,0.3052109181141439
