subset,top_k,model,num_features,balanced_accuracy,macro_f1,auroc,auprc,sensitivity,specificity,precision
all_universal,50,logreg,50,0.6596933337917282,0.6520085055908348,0.6988861003197305,0.5371477799407165,0.5932203389830508,0.7261663286004056,0.509090909090909
text_plus_acoustic,50,logreg,50,0.6596933337917282,0.6520085055908348,0.6988861003197305,0.5371477799407165,0.5932203389830508,0.7261663286004056,0.509090909090909
all_universal,50,linear_svm,50,0.6585888885068931,0.6513774193080919,0.6979406607762917,0.5302350631669837,0.5889830508474576,0.7281947261663286,0.5091575091575091
text_plus_acoustic,50,linear_svm,50,0.6585888885068931,0.6513774193080919,0.6979406607762917,0.5302350631669837,0.5889830508474576,0.7281947261663286,0.5091575091575091
all_universal,all,linear_svm,80,0.6532471550864647,0.6470613902943285,0.7026377763261938,0.5407689128425888,0.576271186440678,0.7302231237322515,0.5055762081784386
text_plus_acoustic,all,linear_svm,80,0.6532471550864647,0.6470613902943285,0.7026377763261938,0.5407689128425888,0.576271186440678,0.7302231237322515,0.5055762081784386
all_universal,20,linear_svm,20,0.6437583800323168,0.638471219723616,0.6777426341664661,0.4993970097211593,0.559322033898305,0.7281947261663286,0.49624060150375937
text_plus_acoustic,20,linear_svm,20,0.6437583800323168,0.638471219723616,0.6777426341664661,0.4993970097211593,0.559322033898305,0.7281947261663286,0.49624060150375937
acoustic_only,20,rf,20,0.6401270326950184,0.6468283995275358,0.6163535256300064,0.44684272231605404,0.4364406779661017,0.8438133874239351,0.5722222222222222
all_universal,all,logreg,80,0.6343598514800426,0.6293570487922786,0.6802953209337506,0.5224847004279342,0.5466101694915254,0.7221095334685599,0.4849624060150376
text_plus_acoustic,all,logreg,80,0.6343598514800426,0.6293570487922786,0.6802953209337506,0.5224847004279342,0.5466101694915254,0.7221095334685599,0.4849624060150376
all_universal,20,logreg,20,0.6337968852064496,0.6257085352830034,0.6666723966032936,0.4926722560426189,0.5677966101694916,0.6997971602434077,0.475177304964539
text_plus_acoustic,20,logreg,20,0.6337968852064496,0.6257085352830034,0.6666723966032936,0.4926722560426189,0.5677966101694916,0.6997971602434077,0.475177304964539
all_universal,50,rf,50,0.6302299996562039,0.6357350096711799,0.7455177570736068,0.6077678426878784,0.3050847457627119,0.9553752535496958,0.7659574468085106
text_plus_acoustic,50,rf,50,0.6302299996562039,0.6357350096711799,0.7455177570736068,0.6077678426878784,0.3050847457627119,0.9553752535496958,0.7659574468085106
all_universal,20,rf,20,0.6299377728882318,0.6369568270912875,0.7197029600852615,0.5636319635274307,0.3389830508474576,0.920892494929006,0.6722689075630253
text_plus_acoustic,20,rf,20,0.6299377728882318,0.6369568270912875,0.7197029600852615,0.5636319635274307,0.3389830508474576,0.920892494929006,0.6722689075630253
all_universal,all,rf,80,0.6280211090865335,0.632568449348566,0.7571122838381408,0.6166889741315522,0.2966101694915254,0.9594320486815415,0.7777777777777778
text_plus_acoustic,all,rf,80,0.6280211090865335,0.632568449348566,0.7571122838381408,0.6166889741315522,0.2966101694915254,0.9594320486815415,0.7777777777777778
acoustic_only,10,rf,10,0.6257477567298105,0.6308574504580124,0.5838518925980679,0.4380008472533388,0.4279661016949153,0.8235294117647058,0.5372340425531915
text_only,20,linear_svm,20,0.6243081101523017,0.6172203976155421,0.6597792828411317,0.49553716028047473,0.5508474576271186,0.6977687626774848,0.4659498207885305
text_only,50,linear_svm,42,0.6225504520919999,0.6133667324858434,0.6669990029910269,0.4978838325453868,0.5635593220338984,0.6815415821501014,0.4586206896551724
text_only,all,linear_svm,42,0.6225504520919999,0.6133667324858434,0.6669990029910269,0.4978838325453868,0.5635593220338984,0.6815415821501014,0.4586206896551724
text_only,20,logreg,20,0.6197785952487366,0.6082228866979149,0.6570718877849211,0.49285772729327515,0.576271186440678,0.6632860040567952,0.4503311258278146
text_only,50,logreg,42,0.6159022931206382,0.6023742680676987,0.6712105064117991,0.5075653312174626,0.5847457627118644,0.6470588235294118,0.4423076923076923
text_only,all,logreg,42,0.6159022931206382,0.6023742680676987,0.6712105064117991,0.5075653312174626,0.5847457627118644,0.6470588235294118,0.4423076923076923
text_only,10,logreg,10,0.6059622855571217,0.5968445022771633,0.6517516416268436,0.4867253783023359,0.5466101694915254,0.665314401622718,0.4387755102040816
text_only,10,linear_svm,10,0.6011835184102864,0.5959046909903202,0.6545192010176367,0.4889344498815784,0.5127118644067796,0.6896551724137931,0.4416058394160584
all_universal,10,logreg,10,0.5953905524804896,0.5931208495420148,0.6385928421631657,0.4684486108050022,0.4788135593220339,0.7119675456389453,0.44313725490196076
text_plus_acoustic,10,logreg,10,0.5953905524804896,0.5931208495420148,0.6385928421631657,0.4684486108050022,0.4788135593220339,0.7119675456389453,0.44313725490196076
text_only,all,rf,42,0.5943032970055351,0.5878982021326121,0.7508251108742737,0.5627142595655739,0.23728813559322035,0.9513184584178499,0.7
all_universal,10,linear_svm,10,0.5919869701241105,0.59089517719883,0.6448714202220924,0.4721868168021837,0.461864406779661,0.7221095334685599,0.44308943089430897
text_plus_acoustic,10,linear_svm,10,0.5919869701241105,0.59089517719883,0.6448714202220924,0.4721868168021837,0.461864406779661,0.7221095334685599,0.44308943089430897
text_only,50,rf,42,0.5901562553718156,0.5827916736937271,0.7523292192388352,0.5663130308349458,0.2330508474576271,0.947261663286004,0.6790123456790124
all_universal,10,rf,10,0.5893913088321243,0.5894948954211562,0.681214975762368,0.5109796449653955,0.2923728813559322,0.8864097363083164,0.552
