timestamp,smoke,seed,model,pooling,length_mode,training,translated,task,test_language,classifier,actual,predicted,count
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,LR,Dementia,HC,1
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,SVM,HC,Dementia,2
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,SVM,Dementia,HC,6
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,RF,Dementia,HC,1
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,RF,HC,Dementia,10
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,HC,Dementia,14
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,HC,HC,10
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,SVM,HC,HC,22
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,LR,HC,Dementia,6
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,RF,HC,HC,14
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,SVM,Dementia,Dementia,18
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,LR,Dementia,Dementia,23
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,RF,Dementia,Dementia,23
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,LR,HC,HC,18
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,Dementia,HC,8
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,Dementia,Dementia,16
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,LR,HC,Dementia,8
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,Dementia,HC,22
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,LR,HC,HC,123
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,RF,HC,Dementia,10
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,HC,HC,111
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,HC,Dementia,20
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,DT,Dementia,Dementia,41
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,RF,Dementia,HC,14
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,SVM,Dementia,Dementia,60
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,en,SVM,Dementia,HC,3
