run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_en_cookie_theft_clean_phase2,rich_universal,100,100,rf,n200,0.7088394934091496,0.745128533528497,0.4245283018867924,0.9931506849315068,0.9574468085106383,0.809463039545102,0.7259927162665992,0.8417085427135679
language_en_cookie_theft_clean_phase2,rich_universal,50,50,svm,linear_c1,0.7251550788317395,0.7564352648689998,0.4811320754716981,0.9691780821917808,0.85,0.8073468596536572,0.7216132309722056,0.8391959798994975
language_en_cookie_theft_clean_phase2,all_phase2,50,50,svm,rbf_c1,0.7311643835616438,0.7606464950197331,0.5,0.9623287671232876,0.828125,0.7982682863789095,0.7001894241357933,0.8391959798994975
language_en_cookie_theft_clean_phase2,all_phase2,100,100,svm,rbf_c1,0.7427629878521582,0.7649353903425564,0.5471698113207547,0.9383561643835616,0.7631578947368421,0.7985913672783665,0.700864362622123,0.8341708542713567
language_en_cookie_theft_clean_phase2,phase1_universal,100,100,rf,n200,0.6959808736107521,0.7289462181969729,0.4056603773584906,0.9863013698630136,0.9148936170212766,0.8079284052726804,0.7169694778926727,0.8316582914572864
language_en_cookie_theft_clean_phase2,all_phase2,50,50,svm,linear_c1,0.7273197208581028,0.7519794721407624,0.5094339622641509,0.9452054794520548,0.7714285714285715,0.8133561643835617,0.7337441554626203,0.8291457286432161
language_en_cookie_theft_clean_phase2,rich_universal,100,100,svm,rbf_c1,0.7213104161281985,0.7478384019081694,0.490566037735849,0.952054794520548,0.7878787878787878,0.8066360816748515,0.7322772515720948,0.8291457286432161
language_en_cookie_theft_clean_phase2,rich_universal,50,50,svm,rbf_c1,0.716593434996123,0.7430456140350876,0.4811320754716981,0.952054794520548,0.7846153846153846,0.7993021452571724,0.7163833753934952,0.8266331658291457
language_en_cookie_theft_clean_phase2,phase1_universal,100,100,svm,rbf_c1,0.716593434996123,0.7430456140350876,0.4811320754716981,0.952054794520548,0.7846153846153846,0.7989790643577152,0.7056438372853782,0.8266331658291457
language_en_cookie_theft_clean_phase2,all_phase2,50,50,rf,n200,0.6895515637115535,0.720855060531211,0.3962264150943396,0.9828767123287672,0.8936170212765957,0.7984621349185835,0.7098050328292695,0.8266331658291457
language_en_cookie_theft_clean_phase2,phase1_universal,50,50,rf,n200,0.6925562160765055,0.7235972019525942,0.4056603773584906,0.9794520547945206,0.8775510204081632,0.7923074437839236,0.7154125376403807,0.8266331658291457
language_en_cookie_theft_clean_phase2,all_phase2,100,100,rf,n200,0.6848345825794779,0.7153890160183066,0.3867924528301887,0.9828767123287672,0.8913043478260869,0.8189616179891445,0.7251578390663316,0.8241206030150754
language_en_cookie_theft_clean_phase2,phase1_universal,50,50,svm,linear_c1,0.7299043680537607,0.7506890503633175,0.5283018867924528,0.9315068493150684,0.7368421052631579,0.7997221504264669,0.7121311877941816,0.8241206030150754
language_en_cookie_theft_clean_phase2,rich_universal,50,50,rf,n200,0.6818299302145256,0.7124871001031992,0.3773584905660377,0.9863013698630136,0.9090909090909092,0.7821142414060481,0.6930322105031871,0.8241206030150754
language_en_cookie_theft_clean_phase2,phase1_universal,50,50,svm,rbf_c1,0.7204704057896096,0.7415584415584415,0.5094339622641509,0.9315068493150684,0.7297297297297297,0.7920328250193849,0.7032177502218078,0.8190954773869347
language_en_cookie_theft_clean_phase2,all_phase2,100,100,svm,linear_c1,0.7166257430860687,0.7334038427639697,0.5188679245283019,0.9143835616438356,0.6875,0.7810157663478935,0.6915951639716481,0.8090452261306532
language_en_cookie_theft_clean_phase2,phase1_universal,100,100,svm,linear_c1,0.7119087619539932,0.728880435263414,0.5094339622641509,0.9143835616438356,0.6835443037974683,0.8077991729128975,0.7206761905125804,0.8065326633165829
