language,ranking_method,top_k,accuracy_mean,accuracy_sd,n_seeds,most_common_model,most_common_model_count
Chinese,anova,10,0.764295210325961,0.05066418556134227,15,RF,11
Chinese,anova,100,0.8517170593750383,0.0358362584049363,15,RF,6
Chinese,anova,20,0.7826311328157598,0.0525233896335191,15,RF,9
Chinese,anova,5,0.7212233092109825,0.06301949292853612,15,RF,10
Chinese,anova,50,0.8126547743442888,0.0412262419291817,15,RF,8
Chinese,anova,all,0.8496829520493413,0.026452958490294685,15,SVM,6
Chinese,welch_bonferroni,10,0.7493772190772017,0.03726257750788929,15,RF,5
Chinese,welch_bonferroni,100,0.8487364875570841,0.029351012084817135,15,RF,6
Chinese,welch_bonferroni,20,0.7930047854340977,0.03684261097361996,15,RF,7
Chinese,welch_bonferroni,5,0.7303874497665106,0.07332897367571796,15,RF,9
Chinese,welch_bonferroni,50,0.8135224529518107,0.057315380399963076,15,RF,8
Chinese,welch_bonferroni,all,0.8496829520493413,0.026452958490294685,15,SVM,6
English,anova,10,0.8352062804198501,0.010282587313040116,15,RF,12
English,anova,100,0.8488955774609777,0.011463330145047593,15,RF,10
English,anova,20,0.8290624357349405,0.011763127164238244,15,RF,8
English,anova,5,0.8215333662201182,0.01222032016279616,15,RF,14
English,anova,50,0.8466561751882506,0.011189577023380656,15,RF,13
English,anova,all,0.8486036108770644,0.011941203911251749,15,RF,12
English,welch_bonferroni,10,0.8245325773123721,0.012626684062735125,15,LR,9
English,welch_bonferroni,100,0.8491931385946164,0.010988442052262928,15,RF,12
English,welch_bonferroni,20,0.8330387256704649,0.011484472851662264,15,RF,11
English,welch_bonferroni,5,0.8324721837014085,0.01344869933094972,15,RF,14
English,welch_bonferroni,50,0.8430863707659693,0.010225619520070034,15,RF,14
English,welch_bonferroni,all,0.8486036108770644,0.011941203911251749,15,RF,12
Greek,anova,10,0.7389277280672834,0.06877222313796304,15,RF,6
Greek,anova,100,0.8246476598579625,0.06008296218332573,15,RF,10
Greek,anova,20,0.7760075300854123,0.03437920808636469,15,RF,10
Greek,anova,5,0.7366276051988919,0.05315211509169201,15,RF,6
Greek,anova,50,0.7845507273147716,0.0688655906951118,15,RF,10
Greek,anova,all,0.8168168358347502,0.061032648265456554,15,RF,12
Greek,welch_bonferroni,10,0.7519853476143937,0.06177688913183624,15,RF,8
Greek,welch_bonferroni,100,0.8068208252837624,0.06839065857041957,15,RF,13
Greek,welch_bonferroni,20,0.7810759080258027,0.052331262189595155,15,RF,10
Greek,welch_bonferroni,5,0.7629971507523883,0.05751576918609294,15,RF,7
Greek,welch_bonferroni,50,0.7949371797916756,0.05709360349501804,15,RF,9
Greek,welch_bonferroni,all,0.8168168358347502,0.061032648265456554,15,RF,12
Spanish,anova,10,0.752122547037851,0.05376253326044432,15,LR,9
Spanish,anova,100,0.7782164938986408,0.04910812884796145,15,LR,6
Spanish,anova,20,0.7525758699380198,0.04673821634527704,15,LR,8
Spanish,anova,5,0.7571912263311034,0.0526339946937324,15,RF,9
Spanish,anova,50,0.7624627323303537,0.0437716050129026,15,LR,8
Spanish,anova,all,0.7706589891167578,0.05331935358376039,15,RF,6
Spanish,welch_bonferroni,10,0.7587290598926141,0.04518177521839335,15,RF,6
Spanish,welch_bonferroni,100,0.7661086853629715,0.05031334494009602,15,LR,9
Spanish,welch_bonferroni,20,0.7524971631690668,0.047963033899965236,15,LR,8
Spanish,welch_bonferroni,5,0.7502014718861516,0.06308619094255674,15,RF,6
Spanish,welch_bonferroni,50,0.7543248239105652,0.04933398621004246,15,RF,7
Spanish,welch_bonferroni,all,0.7706589891167578,0.05331935358376039,15,RF,6
