feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
extended_excluding_task_specific,en,English,42,anova,5,5,382,208,45,485,381,RF,0.8412371134020619,{'clf__n_estimators': 100},0.7890558851534462
extended_excluding_task_specific,en,English,42,anova,10,10,382,208,45,485,381,RF,0.845360824742268,{'clf__n_estimators': 50},0.811219512195122
extended_excluding_task_specific,en,English,42,anova,20,20,382,208,45,485,381,DT,0.8268041237113402,{'clf__max_depth': 10},0.7668922581117703
extended_excluding_task_specific,en,English,42,anova,50,50,382,208,45,485,381,RF,0.8494845360824742,{'clf__n_estimators': 100},0.8014883175858785
extended_excluding_task_specific,en,English,42,anova,100,100,382,208,45,485,381,RF,0.8639175257731959,{'clf__n_estimators': 200},0.7701369662345272
extended_excluding_task_specific,en,English,42,anova,all,208,382,208,45,485,381,RF,0.8618556701030928,{'clf__n_estimators': 200},0.7722976635171757
extended_excluding_task_specific,en,English,42,welch_bonferroni,5,5,382,208,45,485,381,RF,0.8391752577319588,{'clf__n_estimators': 50},0.7998681608437707
extended_excluding_task_specific,en,English,42,welch_bonferroni,10,10,382,208,45,485,381,DT,0.822680412371134,{'clf__max_depth': 10},0.765269171610635
extended_excluding_task_specific,en,English,42,welch_bonferroni,20,20,382,208,45,485,381,RF,0.8474226804123711,{'clf__n_estimators': 200},0.8052706364901485
extended_excluding_task_specific,en,English,42,welch_bonferroni,50,50,382,208,45,485,381,RF,0.843298969072165,{'clf__n_estimators': 100},0.8095993554530139
extended_excluding_task_specific,en,English,42,welch_bonferroni,100,85,382,208,45,485,381,RF,0.8618556701030928,{'clf__n_estimators': 50},0.7944612905588515
extended_excluding_task_specific,en,English,42,welch_bonferroni,all,208,382,208,45,485,381,RF,0.8618556701030928,{'clf__n_estimators': 200},0.7722976635171757
extended_excluding_task_specific,es,Spanish,42,anova,5,5,382,83,2,61,25,RF,0.8360655737704918,{'clf__n_estimators': 200},0.6711378353376503
extended_excluding_task_specific,es,Spanish,42,anova,10,10,382,83,2,61,25,RF,0.819672131147541,{'clf__n_estimators': 50},0.6580018501387603
extended_excluding_task_specific,es,Spanish,42,anova,20,20,382,83,2,61,25,RF,0.8524590163934426,{'clf__n_estimators': 100},0.6667900092506939
extended_excluding_task_specific,es,Spanish,42,anova,50,50,382,83,2,61,25,LR,0.8032786885245902,{'clf__C': 0.1},0.7058279370952821
extended_excluding_task_specific,es,Spanish,42,anova,100,83,382,83,2,61,25,LR,0.819672131147541,{'clf__C': 0.1},0.7145235892691952
extended_excluding_task_specific,es,Spanish,42,anova,all,83,382,83,2,61,25,RF,0.8524590163934426,{'clf__n_estimators': 200},0.6623496762257169
extended_excluding_task_specific,es,Spanish,42,welch_bonferroni,5,5,382,83,2,61,25,RF,0.8524590163934426,{'clf__n_estimators': 200},0.649213691026827
extended_excluding_task_specific,es,Spanish,42,welch_bonferroni,10,10,382,83,2,61,25,RF,0.8360655737704918,{'clf__n_estimators': 200},0.649491211840888
extended_excluding_task_specific,es,Spanish,42,welch_bonferroni,20,20,382,83,2,61,25,RF,0.8360655737704918,{'clf__n_estimators': 200},0.6795559666975024
extended_excluding_task_specific,es,Spanish,42,welch_bonferroni,50,50,382,83,2,61,25,RF,0.819672131147541,{'clf__n_estimators': 50},0.6362627197039779
extended_excluding_task_specific,es,Spanish,42,welch_bonferroni,100,83,382,83,2,61,25,LR,0.819672131147541,{'clf__C': 0.1},0.7145235892691952
extended_excluding_task_specific,es,Spanish,42,welch_bonferroni,all,83,382,83,2,61,25,RF,0.8524590163934426,{'clf__n_estimators': 200},0.6623496762257169
extended_excluding_task_specific,zh,Chinese,42,anova,5,5,382,206,53,80,45,DT,0.7375,{'clf__max_depth': 10},0.6347417840375588
extended_excluding_task_specific,zh,Chinese,42,anova,10,10,382,206,53,80,45,DT,0.7625,{'clf__max_depth': 10},0.6656494522691706
