language,ranking_method,top_k,accuracy_mean,accuracy_sd,n_seeds,most_common_model,most_common_model_count
Chinese,anova,10,0.7613322473629981,0.0560055360393527,15,RF,11
Chinese,anova,100,0.8340705447092331,0.039530937430062016,15,LR,5
Chinese,anova,20,0.7811496513342782,0.05356918344101303,15,RF,9
Chinese,anova,5,0.7217171363714765,0.06203086263782007,15,RF,10
Chinese,anova,50,0.8166865301395293,0.03969376262127933,15,LR,6
Chinese,anova,all,0.858240987454557,0.025945544199806467,15,RF,5
Chinese,welch_bonferroni,10,0.7493772190772017,0.03726257750788929,15,RF,5
Chinese,welch_bonferroni,100,0.8406473474921622,0.04185959649813044,15,RF,8
Chinese,welch_bonferroni,20,0.7910294767921224,0.04059239919758482,15,RF,7
Chinese,welch_bonferroni,5,0.7303874497665106,0.07332897367571796,15,RF,9
Chinese,welch_bonferroni,50,0.8160526401411861,0.05516174149543431,15,RF,8
Chinese,welch_bonferroni,all,0.858240987454557,0.025945544199806467,15,RF,5
English,anova,10,0.8346145812458616,0.012741698711146205,15,LR,9
English,anova,100,0.8594763082006678,0.012035646869235918,15,LR,8
English,anova,20,0.8383773462595954,0.01634416646140103,15,LR,10
English,anova,5,0.8240605955287559,0.016482617472188228,15,RF,12
English,anova,50,0.8588761739913818,0.01445536390527772,15,LR,8
English,anova,all,0.8612292986063126,0.01140061037241433,15,LR,8
English,welch_bonferroni,10,0.8331755965204385,0.012350239906209379,15,LR,13
English,welch_bonferroni,100,0.859344071283682,0.012678281574353146,15,RF,8
English,welch_bonferroni,20,0.8424190286135451,0.014193756215410374,15,LR,8
English,welch_bonferroni,5,0.8326121709452408,0.010492132521968742,15,LR,11
English,welch_bonferroni,50,0.8550356793897538,0.013369883387222978,15,RF,9
English,welch_bonferroni,all,0.8612292986063126,0.01140061037241433,15,LR,8
Greek,anova,10,0.7389277280672834,0.06877222313796304,15,RF,6
Greek,anova,100,0.8318600578270614,0.06566718320394799,15,RF,7
Greek,anova,20,0.7843584958897943,0.04332536147669456,15,RF,11
Greek,anova,5,0.7366276051988919,0.05315211509169201,15,RF,6
Greek,anova,50,0.8175373745725626,0.07349286751232863,15,RF,8
Greek,anova,all,0.82173388142618,0.06569965687387501,15,RF,11
Greek,welch_bonferroni,10,0.7506021840977622,0.060062021041183515,15,RF,6
Greek,welch_bonferroni,100,0.8290908270029684,0.04976904038617426,15,RF,9
Greek,welch_bonferroni,20,0.7728136733660524,0.04881306631108084,15,RF,10
Greek,welch_bonferroni,5,0.7489028142544696,0.052734632863811824,15,LR,7
Greek,welch_bonferroni,50,0.8043344118822814,0.054282811136359105,15,RF,8
Greek,welch_bonferroni,all,0.82173388142618,0.06569965687387501,15,RF,11
Spanish,anova,10,0.7762132268767771,0.044275869012674406,15,LR,8
Spanish,anova,100,0.7665372234860661,0.040815462626715676,15,LR,10
Spanish,anova,20,0.7682757460450437,0.05065682147804285,15,LR,9
Spanish,anova,5,0.7759986581732957,0.04554581985795989,15,LR,6
Spanish,anova,50,0.7674447489785502,0.041062156670576846,15,LR,9
Spanish,anova,all,0.7643032541789607,0.042489772710560605,15,LR,11
Spanish,welch_bonferroni,10,0.7688737107345387,0.04524084425815236,15,LR,7
Spanish,welch_bonferroni,100,0.7612246847831023,0.04121531429691754,15,LR,12
Spanish,welch_bonferroni,20,0.7607587674120074,0.0532693957864665,15,LR,10
Spanish,welch_bonferroni,5,0.7742301396547773,0.039582485500375936,15,LR,7
Spanish,welch_bonferroni,50,0.7666603361745297,0.04014384268998628,15,LR,9
Spanish,welch_bonferroni,all,0.7643032541789607,0.042489772710560605,15,LR,11
