feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
full_feature_set,en,English,42,anova,5,5,474,251,51,485,381,LR,0.8494845360824742,{'clf__C': 0.1},0.7641924851680949
full_feature_set,en,English,42,anova,10,10,474,251,51,485,381,LR,0.8474226804123711,{'clf__C': 0.1},0.766354647330257
full_feature_set,en,English,42,anova,20,20,474,251,51,485,381,RF,0.8618556701030928,{'clf__n_estimators': 200},0.7776986742840402
full_feature_set,en,English,42,anova,50,50,474,251,51,485,381,LR,0.865979381443299,{'clf__C': 0.1},0.7479762689518787
full_feature_set,en,English,42,anova,100,100,474,251,51,485,381,RF,0.8742268041237113,{'clf__n_estimators': 50},0.7479777338313924
full_feature_set,en,English,42,anova,all,251,474,251,51,485,381,LR,0.8783505154639175,{'clf__C': 0.1},0.7236475499890134
full_feature_set,en,English,42,welch_bonferroni,5,5,474,251,51,485,381,RF,0.843298969072165,{'clf__n_estimators': 50},0.7322903391196074
full_feature_set,en,English,42,welch_bonferroni,10,10,474,251,51,485,381,LR,0.8515463917525773,{'clf__C': 0.1},0.7717585878561488
full_feature_set,en,English,42,welch_bonferroni,20,20,474,251,51,485,381,RF,0.8597938144329897,{'clf__n_estimators': 200},0.7766131985644181
full_feature_set,en,English,42,welch_bonferroni,50,50,474,251,51,485,381,RF,0.8701030927835052,{'clf__n_estimators': 200},0.7814956419834469
full_feature_set,en,English,42,welch_bonferroni,100,100,474,251,51,485,381,RF,0.8680412371134021,{'clf__n_estimators': 50},0.7566219878414999
full_feature_set,en,English,42,welch_bonferroni,all,251,474,251,51,485,381,LR,0.8783505154639175,{'clf__C': 0.1},0.7236475499890134
full_feature_set,es,Spanish,42,anova,5,5,474,99,9,61,25,SVM,0.8360655737704918,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7188714153561517
full_feature_set,es,Spanish,42,anova,10,10,474,99,9,61,25,RF,0.7868852459016393,{'clf__n_estimators': 50},0.7320074005550417
full_feature_set,es,Spanish,42,anova,20,20,474,99,9,61,25,SVM,0.819672131147541,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7060129509713229
full_feature_set,es,Spanish,42,anova,50,50,474,99,9,61,25,LR,0.8032786885245902,{'clf__C': 0.1},0.7402405180388529
full_feature_set,es,Spanish,42,anova,100,99,474,99,9,61,25,RF,0.7868852459016393,{'clf__n_estimators': 200},0.6796484736355227
full_feature_set,es,Spanish,42,anova,all,99,474,99,9,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6452358926919519
full_feature_set,es,Spanish,42,welch_bonferroni,5,5,474,99,9,61,25,SVM,0.8032786885245902,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7274745605920444
full_feature_set,es,Spanish,42,welch_bonferroni,10,10,474,99,9,61,25,RF,0.8032786885245902,{'clf__n_estimators': 50},0.7016651248843664
full_feature_set,es,Spanish,42,welch_bonferroni,20,20,474,99,9,61,25,LR,0.819672131147541,{'clf__C': 0.1},0.7359851988899168
full_feature_set,es,Spanish,42,welch_bonferroni,50,50,474,99,9,61,25,LR,0.7868852459016393,{'clf__C': 0.1},0.7316373728029603
full_feature_set,es,Spanish,42,welch_bonferroni,100,92,474,99,9,61,25,LR,0.7704918032786885,{'clf__C': 1},0.7056429232192414
full_feature_set,es,Spanish,42,welch_bonferroni,all,99,474,99,9,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6452358926919519
full_feature_set,zh,Chinese,42,anova,5,5,474,225,54,80,45,DT,0.7375,{'clf__max_depth': 10},0.6347417840375588
full_feature_set,zh,Chinese,42,anova,10,10,474,225,54,80,45,DT,0.7625,{'clf__max_depth': 10},0.6656494522691706
full_feature_set,zh,Chinese,42,anova,20,20,474,225,54,80,45,SVM,0.8125,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7238654147104852
full_feature_set,zh,Chinese,42,anova,50,50,474,225,54,80,45,LR,0.8,{'clf__C': 10},0.7152973395931144
full_feature_set,zh,Chinese,42,anova,100,100,474,225,54,80,45,LR,0.8125,{'clf__C': 10},0.7210093896713616
full_feature_set,zh,Chinese,42,anova,all,225,474,225,54,80,45,RF,0.825,{'clf__n_estimators': 50},0.7186619718309859
full_feature_set,zh,Chinese,42,welch_bonferroni,5,5,474,225,54,80,45,LR,0.7,{'clf__C': 0.1},0.6623239436619717
full_feature_set,zh,Chinese,42,welch_bonferroni,10,10,474,225,54,80,45,LR,0.7375,{'clf__C': 0.1},0.6566510172143974
full_feature_set,zh,Chinese,42,welch_bonferroni,20,20,474,225,54,80,45,LR,0.775,{'clf__C': 10},0.6648278560250391
full_feature_set,zh,Chinese,42,welch_bonferroni,50,50,474,225,54,80,45,LR,0.85,{'clf__C': 1},0.7348591549295775
full_feature_set,zh,Chinese,42,welch_bonferroni,100,100,474,225,54,80,45,SVM,0.825,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7435054773082942
full_feature_set,zh,Chinese,42,welch_bonferroni,all,225,474,225,54,80,45,RF,0.825,{'clf__n_estimators': 50},0.7186619718309859
full_feature_set,el,Greek,42,anova,5,5,474,258,6,42,29,SVM,0.7380952380952381,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7221848739495798
full_feature_set,el,Greek,42,anova,10,10,474,258,6,42,29,LR,0.7380952380952381,{'clf__C': 10},0.682016806722689
full_feature_set,el,Greek,42,anova,20,20,474,258,6,42,29,DT,0.8095238095238095,{'clf__max_depth': 10},0.6761344537815126
full_feature_set,el,Greek,42,anova,50,50,474,258,6,42,29,RF,0.8333333333333334,{'clf__n_estimators': 100},0.7509243697478992
full_feature_set,el,Greek,42,anova,100,100,474,258,6,42,29,LR,0.8571428571428571,{'clf__C': 10},0.7341176470588235
full_feature_set,el,Greek,42,anova,all,258,474,258,6,42,29,RF,0.8333333333333334,{'clf__n_estimators': 50},0.7566386554621849
full_feature_set,el,Greek,42,welch_bonferroni,5,5,474,258,6,42,29,LR,0.7857142857142857,{'clf__C': 0.1},0.7280672268907563
full_feature_set,el,Greek,42,welch_bonferroni,10,10,474,258,6,42,29,SVM,0.7380952380952381,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7280672268907563
full_feature_set,el,Greek,42,welch_bonferroni,20,20,474,258,6,42,29,SVM,0.8571428571428571,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7280672268907564
full_feature_set,el,Greek,42,welch_bonferroni,50,50,474,258,6,42,29,SVM,0.7857142857142857,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7568067226890756
full_feature_set,el,Greek,42,welch_bonferroni,100,100,474,258,6,42,29,SVM,0.8333333333333334,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.8201680672268907
full_feature_set,el,Greek,42,welch_bonferroni,all,258,474,258,6,42,29,RF,0.8333333333333334,{'clf__n_estimators': 50},0.7566386554621849
full_feature_set,en,English,43,anova,5,5,474,251,47,462,381,RF,0.8225108225108225,{'clf__n_estimators': 100},0.8001953654188949
full_feature_set,en,English,43,anova,10,10,474,251,47,462,381,RF,0.8225108225108225,{'clf__n_estimators': 200},0.7740192513368984
full_feature_set,en,English,43,anova,20,20,474,251,47,462,381,LR,0.8268398268398268,{'clf__C': 0.1},0.76873440285205
full_feature_set,en,English,43,anova,50,50,474,251,47,462,381,RF,0.8528138528138528,{'clf__n_estimators': 50},0.7735386809269162
full_feature_set,en,English,43,anova,100,100,474,251,47,462,381,LR,0.854978354978355,{'clf__C': 0.1},0.7276577540106951
full_feature_set,en,English,43,anova,all,251,474,251,47,462,381,RF,0.8506493506493507,{'clf__n_estimators': 50},0.7399286987522282
full_feature_set,en,English,43,welch_bonferroni,5,5,474,251,47,462,381,RF,0.8225108225108225,{'clf__n_estimators': 200},0.7628221033868093
full_feature_set,en,English,43,welch_bonferroni,10,10,474,251,47,462,381,LR,0.8225108225108225,{'clf__C': 0.1},0.7703301247771837
full_feature_set,en,English,43,welch_bonferroni,20,20,474,251,47,462,381,LR,0.8311688311688312,{'clf__C': 0.1},0.7729967914438503
full_feature_set,en,English,43,welch_bonferroni,50,50,474,251,47,462,381,RF,0.854978354978355,{'clf__n_estimators': 100},0.7788734402852049
full_feature_set,en,English,43,welch_bonferroni,100,100,474,251,47,462,381,RF,0.8528138528138528,{'clf__n_estimators': 100},0.7623244206773618
full_feature_set,en,English,43,welch_bonferroni,all,251,474,251,47,462,381,RF,0.8506493506493507,{'clf__n_estimators': 50},0.7399286987522282
full_feature_set,es,Spanish,43,anova,5,5,474,99,14,62,25,LR,0.7741935483870968,{'clf__C': 0.1},0.7434782608695653
full_feature_set,es,Spanish,43,anova,10,10,474,99,14,62,25,LR,0.7741935483870968,{'clf__C': 0.1},0.7304347826086957
full_feature_set,es,Spanish,43,anova,20,20,474,99,14,62,25,LR,0.7903225806451613,{'clf__C': 10},0.7304347826086957
full_feature_set,es,Spanish,43,anova,50,50,474,99,14,62,25,LR,0.7580645161290323,{'clf__C': 0.1},0.726086956521739
full_feature_set,es,Spanish,43,anova,100,99,474,99,14,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.717391304347826
full_feature_set,es,Spanish,43,anova,all,99,474,99,14,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.717391304347826
full_feature_set,es,Spanish,43,welch_bonferroni,5,5,474,99,14,62,25,LR,0.7741935483870968,{'clf__C': 0.1},0.7478260869565216
full_feature_set,es,Spanish,43,welch_bonferroni,10,10,474,99,14,62,25,LR,0.7741935483870968,{'clf__C': 0.1},0.7391304347826086
full_feature_set,es,Spanish,43,welch_bonferroni,20,20,474,99,14,62,25,LR,0.7258064516129032,{'clf__C': 0.1},0.7391304347826086
full_feature_set,es,Spanish,43,welch_bonferroni,50,50,474,99,14,62,25,LR,0.7903225806451613,{'clf__C': 0.1},0.7217391304347825
