language,ranking_method,top_k,accuracy_mean,accuracy_sd,n_seeds,most_common_model,most_common_model_count
Chinese,anova,10,0.7575255803527745,0.09160307983964144,15,RF,9
Chinese,anova,100,0.765177546477659,0.09454683658631287,15,RF,8
Chinese,anova,20,0.765177546477659,0.09454683658631287,15,RF,8
Chinese,anova,5,0.757909146091207,0.09266179745381219,15,LR,5
Chinese,anova,50,0.765177546477659,0.09454683658631287,15,RF,8
Chinese,anova,all,0.7642091505325189,0.0949306693606788,15,LR,7
Chinese,welch_bonferroni,10,0.7577504989350342,0.09194398401349191,15,RF,12
Chinese,welch_bonferroni,100,0.7660046569195036,0.09439249199311213,15,RF,8
Chinese,welch_bonferroni,20,0.7660046569195036,0.09439249199311213,15,RF,8
Chinese,welch_bonferroni,5,0.7562763895265044,0.09210813597882332,15,RF,6
Chinese,welch_bonferroni,50,0.7660046569195036,0.09439249199311213,15,RF,8
Chinese,welch_bonferroni,all,0.7642091505325189,0.0949306693606788,15,LR,7
English,anova,10,0.7763230397805839,0.009857717965242804,15,DT,7
English,anova,100,0.7921940202880566,0.011619610282111045,15,RF,13
English,anova,20,0.7900969144513199,0.014692285203675017,15,RF,10
English,anova,5,0.7681777990559872,0.009064556260134915,15,DT,8
English,anova,50,0.7921940202880566,0.011619610282111045,15,RF,13
English,anova,all,0.7894939883161725,0.010874766434333456,15,RF,14
English,welch_bonferroni,10,0.7768726299470299,0.008495444116135824,15,DT,8
English,welch_bonferroni,100,0.7902349242911579,0.009849276178846011,15,RF,13
English,welch_bonferroni,20,0.7860914028116525,0.009813465768310681,15,RF,10
English,welch_bonferroni,5,0.7687253784486745,0.009282334401354807,15,DT,7
English,welch_bonferroni,50,0.7902349242911579,0.009849276178846011,15,RF,13
English,welch_bonferroni,all,0.7894939883161725,0.010874766434333456,15,RF,14
Greek,anova,10,0.7095905675690434,0.08501909393498897,15,LR,6
Greek,anova,100,0.6959287175552663,0.07925827658363369,15,RF,8
Greek,anova,20,0.6917028373200497,0.07280388483855227,15,RF,7
Greek,anova,5,0.70740649066345,0.0915239400931982,15,LR,5
Greek,anova,50,0.6912181879614849,0.07444238232378361,15,LR,7
Greek,anova,all,0.6904179337390044,0.07435943854485834,15,LR,8
Greek,welch_bonferroni,10,0.7075898355831808,0.08558737975670225,15,SVM,6
Greek,welch_bonferroni,100,0.6928744698435135,0.07725872965535088,15,LR,6
Greek,welch_bonferroni,20,0.6876202740527962,0.07584642094500349,15,LR,7
Greek,welch_bonferroni,5,0.7149193817770322,0.09809626021076633,15,LR,5
Greek,welch_bonferroni,50,0.6928744698435135,0.07725872965535088,15,LR,6
Greek,welch_bonferroni,all,0.6904179337390044,0.07435943854485834,15,LR,8
Spanish,anova,10,0.7812119932904766,0.05862197765731425,15,SVM,6
Spanish,anova,100,0.7873887295243044,0.05423114360786613,15,LR,6
Spanish,anova,20,0.7873887295243044,0.05423114360786613,15,LR,6
Spanish,anova,5,0.773812739107333,0.057837188863897555,15,LR,7
Spanish,anova,50,0.7873887295243044,0.05423114360786613,15,LR,6
Spanish,anova,all,0.7875309888292643,0.054550453018998406,15,LR,6
Spanish,welch_bonferroni,10,0.7837798209788621,0.04601897176349881,15,LR,7
Spanish,welch_bonferroni,100,0.7837798209788621,0.04601897176349881,15,LR,7
Spanish,welch_bonferroni,20,0.7837798209788621,0.04601897176349881,15,LR,7
Spanish,welch_bonferroni,5,0.7742294879575948,0.05459081184904843,15,LR,6
Spanish,welch_bonferroni,50,0.7837798209788621,0.04601897176349881,15,LR,7
Spanish,welch_bonferroni,all,0.7875309888292643,0.054550453018998406,15,LR,6
