feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
task_specific_only,en,English,42,anova,5,5,92,43,8,485,381,DT,0.7731958762886598,{'clf__max_depth': 10},0.7257935984765252
task_specific_only,en,English,42,anova,10,10,92,43,8,485,381,DT,0.7876288659793814,{'clf__max_depth': 10},0.7144407822456603
task_specific_only,en,English,42,anova,20,20,92,43,8,485,381,RF,0.7958762886597938,{'clf__n_estimators': 200},0.7576898850069582
task_specific_only,en,English,42,anova,50,43,92,43,8,485,381,RF,0.7917525773195876,{'clf__n_estimators': 50},0.7403808686735516
task_specific_only,en,English,42,anova,100,43,92,43,8,485,381,RF,0.7917525773195876,{'clf__n_estimators': 50},0.7403808686735516
task_specific_only,en,English,42,anova,all,43,92,43,8,485,381,RF,0.8020618556701031,{'clf__n_estimators': 200},0.747415220098147
task_specific_only,en,English,42,welch_bonferroni,5,5,92,43,8,485,381,RF,0.777319587628866,{'clf__n_estimators': 200},0.7344407822456602
task_specific_only,en,English,42,welch_bonferroni,10,10,92,43,8,485,381,DT,0.7896907216494845,{'clf__max_depth': 10},0.706871749798579
task_specific_only,en,English,42,welch_bonferroni,20,20,92,43,8,485,381,RF,0.7793814432989691,{'clf__n_estimators': 100},0.7501193876803633
task_specific_only,en,English,42,welch_bonferroni,50,35,92,43,8,485,381,RF,0.8020618556701031,{'clf__n_estimators': 50},0.7452471984179301
task_specific_only,en,English,42,welch_bonferroni,100,35,92,43,8,485,381,RF,0.8020618556701031,{'clf__n_estimators': 50},0.7452471984179301
task_specific_only,en,English,42,welch_bonferroni,all,43,92,43,8,485,381,RF,0.8020618556701031,{'clf__n_estimators': 200},0.747415220098147
task_specific_only,es,Spanish,42,anova,5,5,92,16,8,61,25,SVM,0.8360655737704918,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,es,Spanish,42,anova,10,10,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7232192414431082
task_specific_only,es,Spanish,42,anova,20,16,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,es,Spanish,42,anova,50,16,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,es,Spanish,42,anova,100,16,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,es,Spanish,42,anova,all,16,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,es,Spanish,42,welch_bonferroni,5,5,92,16,8,61,25,SVM,0.8360655737704918,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,es,Spanish,42,welch_bonferroni,10,9,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7274745605920445
task_specific_only,es,Spanish,42,welch_bonferroni,20,9,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7274745605920445
task_specific_only,es,Spanish,42,welch_bonferroni,50,9,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7274745605920445
task_specific_only,es,Spanish,42,welch_bonferroni,100,9,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7274745605920445
task_specific_only,es,Spanish,42,welch_bonferroni,all,16,92,16,8,61,25,SVM,0.819672131147541,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7318223866790009
task_specific_only,zh,Chinese,42,anova,5,5,92,19,9,80,45,RF,0.7125,{'clf__n_estimators': 50},0.5937402190923318
task_specific_only,zh,Chinese,42,anova,10,10,92,19,9,80,45,LR,0.7,{'clf__C': 10},0.6576682316118936
task_specific_only,zh,Chinese,42,anova,20,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,anova,50,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,anova,100,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,anova,all,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,welch_bonferroni,5,5,92,19,9,80,45,RF,0.7125,{'clf__n_estimators': 50},0.5938184663536776
task_specific_only,zh,Chinese,42,welch_bonferroni,10,10,92,19,9,80,45,RF,0.7125,{'clf__n_estimators': 200},0.5966353677621283
task_specific_only,zh,Chinese,42,welch_bonferroni,20,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,welch_bonferroni,50,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,welch_bonferroni,100,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,zh,Chinese,42,welch_bonferroni,all,19,92,19,9,80,45,LR,0.7125,{'clf__C': 0.1},0.6243348982785603
task_specific_only,el,Greek,42,anova,5,5,92,53,0,42,29,LR,0.8095238095238095,{'clf__C': 0.1},0.6704201680672269
task_specific_only,el,Greek,42,anova,10,10,92,53,0,42,29,LR,0.8095238095238095,{'clf__C': 0.1},0.6354621848739497
task_specific_only,el,Greek,42,anova,20,20,92,53,0,42,29,RF,0.7619047619047619,{'clf__n_estimators': 100},0.617983193277311
task_specific_only,el,Greek,42,anova,50,50,92,53,0,42,29,LR,0.7619047619047619,{'clf__C': 1},0.6352941176470589
task_specific_only,el,Greek,42,anova,100,53,92,53,0,42,29,RF,0.8095238095238095,{'clf__n_estimators': 200},0.6065546218487394
task_specific_only,el,Greek,42,anova,all,53,92,53,0,42,29,LR,0.7619047619047619,{'clf__C': 1},0.6352941176470589
task_specific_only,el,Greek,42,welch_bonferroni,5,5,92,53,0,42,29,LR,0.7857142857142857,{'clf__C': 1},0.6704201680672269
task_specific_only,el,Greek,42,welch_bonferroni,10,10,92,53,0,42,29,LR,0.7619047619047619,{'clf__C': 0.1},0.6413445378151261
task_specific_only,el,Greek,42,welch_bonferroni,20,20,92,53,0,42,29,RF,0.7142857142857143,{'clf__n_estimators': 50},0.6292436974789917
task_specific_only,el,Greek,42,welch_bonferroni,50,35,92,53,0,42,29,LR,0.7619047619047619,{'clf__C': 1},0.6522689075630252
task_specific_only,el,Greek,42,welch_bonferroni,100,35,92,53,0,42,29,LR,0.7619047619047619,{'clf__C': 1},0.6522689075630252
task_specific_only,el,Greek,42,welch_bonferroni,all,53,92,53,0,42,29,LR,0.7619047619047619,{'clf__C': 1},0.6352941176470589
task_specific_only,en,English,43,anova,5,5,92,43,8,462,381,LR,0.7662337662337663,{'clf__C': 0.1},0.7398331550802139
task_specific_only,en,English,43,anova,10,10,92,43,8,462,381,DT,0.7770562770562771,{'clf__max_depth': 10},0.7291736185383244
task_specific_only,en,English,43,anova,20,20,92,43,8,462,381,RF,0.8116883116883117,{'clf__n_estimators': 200},0.7537254901960784
task_specific_only,en,English,43,anova,50,43,92,43,8,462,381,RF,0.7878787878787878,{'clf__n_estimators': 50},0.7446474153297682
task_specific_only,en,English,43,anova,100,43,92,43,8,462,381,RF,0.7878787878787878,{'clf__n_estimators': 50},0.7446474153297682
task_specific_only,en,English,43,anova,all,43,92,43,8,462,381,RF,0.79004329004329,{'clf__n_estimators': 100},0.7393112299465241
