feature_name,importance_mean,importance_std,feature_group
syn_utterance_count,0.006205250596658729,0.003237389013424951,syn
syn_obl_ratio,0.0052505966587112155,0.0017859939793670736,syn
lex_brunet,0.0033412887828161873,0.0011692075144550018,lex
pd_keyword_ttr,0.0028639618138424526,0.0017859939793670378,pd
lex_std_token_length,0.002386634844868718,0.002614427482124912,lex
pd_unique_units_count,0.002386634844868718,0.0036973588030619637,pd
sx_tree_depth_q75,0.0023866348448686957,0.0015094404105815615,sx
disc_adjacent_utterance_similarity_std,0.0023866348448686957,0.0015094404105815615,disc
syn_pronoun_noun_ratio,0.0023866348448686736,0.0,syn
pd_unique_units_ratio,0.001909307875894961,0.001785993979367026,pd
sx_rare_lemma_ratio,0.001909307875894961,0.0017859939793670263,sx
len_utterance_count,0.0014319809069212486,0.005357981938101138,len
sx_sentence_length_q50,0.0014319809069212263,0.0019093078758949777,sx
syn_advmod_ratio,0.0014319809069212263,0.0019093078758949777,syn
lex_type_token_ratio,0.0014319809069212042,0.0011692075144549474,lex
pr_vp_rate,0.0014319809069212042,0.0011692075144549474,pr
pd_repeated_content_unit_ratio,0.0014319809069212042,0.0024338995291612363,pd
syn_part_ratio,0.0009546539379474917,0.0019093078758949831,syn
syn_determiner_noun_ratio,0.0009546539379474694,0.0011692075144549474,syn
syn_max_tree_depth,0.0009546539379474694,0.0011692075144549474,syn
pr_pron_verb_ratio,0.0009546539379474694,0.0011692075144549474,pr
pr_cconj_pron_ratio,0.0009546539379474694,0.0011692075144549474,pr
syn_pronoun_ratio,0.0009546539379474694,0.0011692075144549474,syn
sx_sentence_length_q25,0.0009546539379474694,0.0024338995291612363,sx
pd_percentage_units_mentioned,0.0009546539379474472,0.0019093078758949777,pd
sx_very_rare_lemma_ratio,0.0009546539379474472,0.0019093078758949777,sx
sx_dep_entropy,0.0004773269689737347,0.0009546539379474694,sx
syn_propn_ratio,0.0004773269689737347,0.0009546539379474694,syn
pr_adv_verb_ratio,0.0004773269689737347,0.0009546539379474694,pr
pr_verb_adv_ratio,0.0004773269689737347,0.0009546539379474694,pr
syn_subordination_ratio,0.0004773269689737347,0.0009546539379474694,syn
syn_interjection_ratio,0.0004773269689737347,0.0009546539379474694,syn
syn_nsubj_ratio,0.0004773269689737347,0.0009546539379474694,syn
sx_modifier_density,0.0004773269689737347,0.0009546539379474694,sx
syn_obj_ratio,0.0004773269689737347,0.0009546539379474694,syn
sx_dep_length_q75,0.0004773269689737347,0.0009546539379474694,sx
pr_aux_verb_ratio,0.0004773269689737347,0.0009546539379474694,pr
pr_verb_det_ratio,0.0004773269689737347,0.0009546539379474694,pr
sx_sentence_length_q75,0.0004773269689737347,0.0009546539379474694,sx
pr_chunk_density,0.0004773269689737347,0.0009546539379474694,pr
pr_vp_ratio,0.0004773269689737347,0.0009546539379474694,pr
pr_det_noun_ratio,0.0004773269689737347,0.0009546539379474694,pr
lex_repetition_rate,0.0004773269689737347,0.0009546539379474694,lex
lex_function_word_ratio,0.0004773269689737347,0.0009546539379474694,lex
pr_pp_mean_len,0.0004773269689737347,0.0009546539379474694,pr
pr_noun_verb_ratio,0.0004773269689737347,0.0009546539379474694,pr
sx_coordination_density,0.0,0.0,sx
pd_unique_unit_efficiency,0.0,0.0,pd
pr_pron_verb_det_ratio,0.0,0.0,pr
syn_cconj_ratio,0.0,0.0,syn
pr_chunk_diversity,0.0,0.0,pr
syn_adv_ratio,0.0,0.0,syn
syn_aux_verb_ratio,0.0,0.0,syn
pr_advp_ratio,0.0,0.0,pr
pd_total_unit_efficiency,0.0,0.0,pd
pr_pp_ratio,0.0,0.0,pr
sx_tree_depth_std,0.0,0.0,sx
pause_articulation_rate_words_per_speaking_second,0.0,0.0,pause
pr_advp_count,0.0,0.0,pr
pr_det_noun_verb_ratio,0.0,0.0,pr
pr_det_adj_ratio,0.0,0.0,pr
pr_det_adj_noun_ratio,0.0,0.0,pr
pr_advp_rate,0.0,0.0,pr
sx_dep_length_q50,0.0,0.0,sx
syn_aux_ratio,0.0,0.0,syn
sx_vp_like_ratio,0.0,0.0,sx
pr_root_verb_ratio,0.0,0.0,pr
pr_sconj_pron_ratio,0.0,0.0,pr
syn_noun_verb_ratio,0.0,0.0,syn
pr_advp_mean_len,0.0,0.0,pr
disc_repeated_unigram_ratio,-2.2204460492503132e-17,0.0015094404105815615,disc
syn_determiner_ratio,-2.2204460492503132e-17,0.0015094404105815615,syn
syn_amod_ratio,-0.00047732696897375695,0.0023384150289099356,syn
pd_num_total_keywords,-0.00047732696897375695,0.0009546539379475139,pd
syn_num_ratio,-0.00047732696897375695,0.0009546539379475139,syn
syn_std_dependency_length,-0.0004773269689737791,0.0027832705941982496,syn
syn_adp_ratio,-0.0004773269689737791,0.0017859939793670378,syn
lex_hapax_ratio,-0.0009546539379475139,0.0011692075144550018,lex
pause_filled_count,-0.0009546539379475139,0.0011692075144550018,pause
syn_content_function_ratio,-0.0009546539379475139,0.0011692075144550018,syn
syn_clause_density,-0.000954653937947536,0.0019093078758949888,syn
pr_np_ratio,-0.0014319809069212707,0.0011692075144550018,pr
syn_mean_tree_depth,-0.0014319809069212707,0.0011692075144550018,syn
lex_mean_token_length,-0.0014319809069212707,0.002433899529161219,lex
pr_root_noun_ratio,-0.0014319809069212707,0.0011692075144550018,pr
pr_noun_aux_verb_ratio,-0.001431980906921293,0.0019093078758949831,pr
graph_edge_count,-0.0019093078758950055,0.0017859939793670378,graph
pause_filled_per_100_words,-0.0019093078758950055,0.0017859939793670378,pause
pd_num_unique_keywords,-0.0019093078758950055,0.003507622543364927,pd
pr_pp_rate,-0.0019093078758950278,0.0009546539379475139,pr
pr_verb_pron_ratio,-0.0019093078758950278,0.0009546539379475139,pr
syn_mean_dependency_length,-0.0019093078758950278,0.0009546539379475139,syn
syn_max_dependency_length,-0.0023866348448687625,0.0015094404105815615,syn
pr_root_adj_ratio,-0.0023866348448687846,0.0,pr
sx_low_similarity_frac_05,-0.0028639618138424972,0.0017859939793670259,sx
pd_total_unit_mentions,-0.003341288782816232,0.001909307875894978,pd
