run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_zh_cookie_theft_phase2,semantic_plus_pause,50,41,rf,n200,0.875,0.9007936507936508,0.75,1.0,1.0,0.9117647058823528,0.8895833333333334,0.92
language_zh_cookie_theft_phase2,semantic_plus_pause,100,41,rf,n200,0.875,0.9007936507936508,0.75,1.0,1.0,0.9117647058823528,0.8895833333333334,0.92
language_zh_cookie_theft_phase2,task_specific_semantic,50,20,rf,n200,0.875,0.9007936507936508,0.75,1.0,1.0,0.8566176470588235,0.8663949275362319,0.92
language_zh_cookie_theft_phase2,task_specific_semantic,100,20,rf,n200,0.875,0.9007936507936508,0.75,1.0,1.0,0.8566176470588235,0.8663949275362319,0.92
language_zh_cookie_theft_phase2,phase1_universal,50,50,lr,c1,0.8786764705882353,0.8663101604278074,0.875,0.8823529411764706,0.7777777777777778,0.9191176470588236,0.8470619658119658,0.88
language_zh_cookie_theft_phase2,task_specific_semantic,50,20,svm,rbf_c1,0.8455882352941176,0.8571428571428572,0.75,0.9411764705882352,0.8571428571428571,0.8897058823529411,0.876131221719457,0.88
language_zh_cookie_theft_phase2,task_specific_semantic,100,20,svm,rbf_c1,0.8455882352941176,0.8571428571428572,0.75,0.9411764705882352,0.8571428571428571,0.8897058823529411,0.876131221719457,0.88
language_zh_cookie_theft_phase2,semantic_plus_pause,50,41,svm,rbf_c1,0.8455882352941176,0.8571428571428572,0.75,0.9411764705882352,0.8571428571428571,0.8897058823529411,0.8613095238095239,0.88
language_zh_cookie_theft_phase2,semantic_plus_pause,100,41,svm,rbf_c1,0.8455882352941176,0.8571428571428572,0.75,0.9411764705882352,0.8571428571428571,0.8897058823529411,0.8613095238095239,0.88
language_zh_cookie_theft_phase2,semantic_plus_pause,50,41,dt,depth20,0.8786764705882353,0.8663101604278074,0.875,0.8823529411764706,0.7777777777777778,0.8786764705882353,0.7205555555555556,0.88
language_zh_cookie_theft_phase2,semantic_plus_pause,100,41,dt,depth20,0.8786764705882353,0.8663101604278074,0.875,0.8823529411764706,0.7777777777777778,0.8786764705882353,0.7205555555555556,0.88
language_zh_cookie_theft_phase2,rich_universal,50,50,lr,c1,0.8161764705882353,0.8161764705882353,0.75,0.8823529411764706,0.75,0.9338235294117646,0.8668650793650794,0.84
language_zh_cookie_theft_phase2,task_specific_semantic,50,20,svm,linear_c1,0.8161764705882353,0.8161764705882353,0.75,0.8823529411764706,0.75,0.9338235294117646,0.9089285714285714,0.84
language_zh_cookie_theft_phase2,task_specific_semantic,100,20,svm,linear_c1,0.8161764705882353,0.8161764705882353,0.75,0.8823529411764706,0.75,0.9338235294117646,0.9089285714285714,0.84
language_zh_cookie_theft_phase2,all_phase2,50,50,lr,c1,0.8161764705882353,0.8161764705882353,0.75,0.8823529411764706,0.75,0.9338235294117646,0.8668650793650794,0.84
language_zh_cookie_theft_phase2,phase1_universal,100,100,lr,c1,0.8161764705882353,0.8161764705882353,0.75,0.8823529411764706,0.75,0.926470588235294,0.8571428571428572,0.84
language_zh_cookie_theft_phase2,rich_universal,50,50,svm,rbf_c1,0.7830882352941176,0.8015873015873016,0.625,0.9411764705882352,0.8333333333333334,0.9044117647058822,0.8477564102564104,0.84
language_zh_cookie_theft_phase2,all_phase2,50,50,svm,rbf_c1,0.7830882352941176,0.8015873015873016,0.625,0.9411764705882352,0.8333333333333334,0.8970588235294117,0.8373397435897436,0.84
language_zh_cookie_theft_phase2,phase1_universal,50,50,svm,rbf_c1,0.7830882352941176,0.8015873015873016,0.625,0.9411764705882352,0.8333333333333334,0.8897058823529411,0.799404761904762,0.84
language_zh_cookie_theft_phase2,rich_universal,100,100,lr,c1,0.8161764705882353,0.8161764705882353,0.75,0.8823529411764706,0.75,0.8602941176470589,0.7872023809523809,0.84
language_zh_cookie_theft_phase2,rich_universal,100,100,svm,rbf_c1,0.7830882352941176,0.8015873015873016,0.625,0.9411764705882352,0.8333333333333334,0.801470588235294,0.6917395104895104,0.84
language_zh_cookie_theft_phase2,all_phase2,100,100,svm,rbf_c1,0.7830882352941176,0.8015873015873016,0.625,0.9411764705882352,0.8333333333333334,0.801470588235294,0.7277243589743589,0.84
language_zh_cookie_theft_phase2,task_specific_semantic,50,20,lr,c1,0.8198529411764706,0.7877758913412564,0.875,0.7647058823529411,0.6363636363636364,0.9411764705882352,0.9186507936507936,0.8
