feature_name,importance_mean,importance_std,feature_group
len_speech_duration,0.1985294117647059,0.06431196942844082,len
lex_mattr_20,0.11764705882352941,0.04159451654038515,lex
disc_repeated_trigram_ratio,0.11102941176470589,0.03701386161368594,disc
syn_adp_ratio,0.1,0.05000000000000001,syn
syn_determiner_noun_ratio,0.09411764705882353,0.03358290366667423,syn
syn_nsubj_ratio,0.09338235294117647,0.027960519620340508,syn
graph_node_count,0.08823529411764705,0.03594678400464799,graph
len_type_count,0.08823529411764705,0.03594678400464799,len
disc_adjacent_utterance_similarity_mean,0.08161764705882353,0.03701386161368594,disc
disc_local_coherence,0.08161764705882353,0.03701386161368594,disc
disc_semantic_drift,0.08161764705882353,0.03701386161368594,disc
syn_noun_ratio,0.08161764705882353,0.03701386161368594,syn
syn_obl_ratio,0.07573529411764705,0.057409474399832745,syn
syn_pronoun_ratio,0.07573529411764705,0.045600093334451926,syn
lex_mattr_10,0.075,0.025,lex
lex_mean_token_length,0.06764705882352942,0.023205490938322793,lex
disc_repeated_bigram_ratio,0.0625,0.0,disc
disc_mean_pairwise_utt_similarity,0.0625,0.03952847075210474,disc
syn_clause_density,0.0625,0.03952847075210474,syn
syn_obj_ratio,0.05661764705882353,0.06323529411764706,syn
pause_pause_to_word_ratio,0.05588235294117647,0.03017394783629881,pause
syn_pronoun_noun_ratio,0.05073529411764706,0.053398757809897966,syn
len_mean_utterance_length,0.05,0.04677071733467427,len
syn_content_function_ratio,0.05,0.06327802933514753,syn
len_tokens_per_utterance,0.05,0.04677071733467427,len
syn_subordination_ratio,0.05,0.04677071733467427,syn
syn_aux_verb_ratio,0.05,0.025000000000000005,syn
syn_mean_utterance_length_words,0.05,0.04677071733467427,syn
pause_articulation_rate_words_per_speaking_second,0.044117647058823525,0.05709784899505053,pause
syn_num_ratio,0.04338235294117647,0.0414251941794214,syn
pause_long_count,0.038235294117647055,0.023205490938322793,pause
syn_mean_tree_depth,0.0375,0.05984408808639943,syn
syn_sconj_ratio,0.0375,0.049999999999999996,syn
syn_verb_ratio,0.025735294117647058,0.023598244905707666,syn
syn_max_dependency_length,0.025,0.03061862178478973,syn
graph_density,0.025,0.05000000000000001,graph
lex_type_token_ratio,0.013235294117647057,0.031591986851383584,lex
lex_repetition_rate,0.013235294117647057,0.031591986851383584,lex
disc_repeated_unigram_ratio,0.013235294117647057,0.031591986851383584,disc
disc_adjacent_utterance_similarity_std,0.007352941176470585,0.03594678400464799,disc
syn_max_tree_depth,0.0066176470588235285,0.013235294117647057,syn
lex_content_word_ratio,0.0,0.0,lex
pause_speech_rate_words_per_second,0.0,0.0,pause
len_syllables_per_second,0.0,0.0,len
lex_std_token_length,0.0,0.0,lex
len_tokens_per_second,0.0,0.0,len
lex_lemma_type_token_ratio,0.0,0.0,lex
syn_std_dependency_length,0.0,0.0,syn
len_utterance_count,-0.005882352941176472,0.011764705882352944,len
syn_utterance_count,-0.005882352941176472,0.011764705882352944,syn
