feature_group,num_features,mean_available_fraction,mean_missing_fraction
ac,105,0.2682335837169857,0.7317664162830142
cmd,9,0.0242306760358614,0.9784616213014566
disc,9,1.0,0.06501898069622808
fc,8,0.006542282529682578,0.9934577174703174
ft,12,0.000969227041434456,0.9990307729585656
graph,6,1.0,4.0384460059769e-05
len,11,1.0,0.2514703614776307
lex,12,1.0,0.0005048057507471125
ms,8,0.003149987884661982,0.996850012115338
na,9,0.09910346498667313,0.9008965350133269
par,112,0.0,1.0
pause,17,1.0,0.5752362490913496
pd,20,0.6222437606009208,0.42730797189241587
pr,45,0.0,1.0
rd,10,0.08626120668766658,0.9223649139811002
rep,8,0.007753816331475648,0.9922461836685244
sr,8,0.007026896050399806,0.9929731039496001
sx,31,1.0,0.29210470778586345
syn,34,1.0,0.1559600336378797
