feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
len_token_count,token count,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,39.46052631578947,38.54385964912281,0.039046979562101986,0.039046979562101986,higher_in_AD,0.824110439165549,0.8240020568941037,1.0,1.0,False,False,194.0,193.0,False,False,False,False,False,False,False,False,False,False
len_type_count,type count,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,26.986842105263158,28.771929824561404,-0.1340424505229307,0.1340424505229307,lower_in_AD,0.4533706579254554,0.44564820695076274,1.0,1.0,False,False,155.0,154.0,False,False,False,False,False,False,False,False,False,False
len_utterance_count,utterance count,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,5.815789473684211,5.228070175438597,0.14046249538532718,0.14046249538532718,higher_in_AD,0.4204405543512715,0.42421358144099225,1.0,1.0,False,False,150.0,150.0,False,False,False,False,False,False,False,False,False,False
len_mean_utterance_length,mean utterance length,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,9.278290268729574,9.571206425153793,-0.03382187923390721,0.03382187923390721,lower_in_AD,0.838562610689872,0.8472374374898035,1.0,1.0,False,False,198.0,199.0,False,False,False,False,False,False,False,False,False,False
len_std_utterance_length,std utterance length,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,3.334022207925843,4.0444538254474995,-0.2390342962177396,0.2390342962177396,lower_in_AD,0.19178447286722783,0.17484320686100766,1.0,1.0,False,False,115.0,111.0,False,False,False,False,False,False,False,False,False,False
len_tokens_per_utterance,tokens per utterance,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,9.270160898100203,9.571206425153793,-0.034770265140231724,0.034770265140231724,lower_in_AD,0.8341088752137177,0.843009458723016,1.0,1.0,False,False,195.0,198.0,False,False,False,False,False,False,False,False,False,False
len_syllable_count,syllable count,len,length/rate,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,39.64473684210526,38.80701754385965,0.035754160418701275,0.035754160418701275,higher_in_AD,0.838940587802689,0.8386280098653339,1.0,1.0,False,False,200.0,195.0,False,False,False,False,False,False,False,False,False,False
lex_type_token_ratio,type token ratio,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.7232956459548183,0.7906021595612466,-0.47500685800719017,0.47500685800719017,lower_in_AD,0.008788569251007568,0.007608935674297652,1.0,1.0,False,False,40.0,30.0,False,False,False,False,False,False,True,True,True,True
lex_lemma_type_token_ratio,lemma type token ratio,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.6744323487176738,0.7139156815380135,-0.29544074603282067,0.29544074603282067,lower_in_AD,0.09818609622261133,0.09415274725953827,1.0,1.0,False,False,84.0,85.0,False,False,False,False,False,False,False,False,True,True
lex_mattr_10,MATTR 10,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.8868759147940414,0.9193217715010045,-0.352805918445427,0.352805918445427,lower_in_AD,0.04739254297186121,0.04610951956925094,1.0,1.0,False,False,68.0,61.0,False,False,False,False,False,False,False,False,True,True
