feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
pd_unique_units_count,PD unique units count,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,1.6,2.215686274509804,-0.3766938799982417,0.3766938799982417,lower_in_AD,0.058928848256112415,0.05536321758940942,1.0,1.0,False,False,2.0,2.0,True,True,True,True,True,True,True,True,True,True
pd_unique_units_ratio,PD unique units ratio,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.16,0.2215686274509804,-0.37669387999824167,0.37669387999824167,lower_in_AD,0.058928848256112484,0.05536321758940948,1.0,1.0,False,False,3.0,3.0,True,True,True,True,True,True,True,True,True,True
pd_total_unit_mentions,total unit mentions,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,2.6,3.176470588235294,-0.21372596123079696,0.21372596123079696,lower_in_AD,0.2780211214660545,0.2741155626289478,1.0,1.0,False,False,10.0,10.0,False,False,True,True,True,True,True,True,True,True
pd_content_density,content density,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.07533462617811312,0.08785910691091824,-0.16232488493796424,0.16232488493796424,lower_in_AD,0.40855808906617636,0.4056187128880236,1.0,1.0,False,False,17.0,17.0,False,False,False,False,True,True,True,True,True,True
pd_object_units_ratio,object units ratio,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,41,35,0.6927603561749903,0.6306998556998556,0.19530387976378955,0.19530387976378955,higher_in_AD,0.38974779655546915,0.39881148483887807,1.0,1.0,False,False,16.0,16.0,False,False,False,False,True,True,True,True,True,True
pd_action_units_ratio,action units ratio,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,41,35,0.3072396438250097,0.36930014430014424,-0.1953038797637899,0.1953038797637899,lower_in_AD,0.38974779655546815,0.39881148483887807,1.0,1.0,False,False,15.0,15.0,False,False,False,False,True,True,True,True,True,True
pd_keyword_to_nonkeyword_ratio,keyword to nonkeyword ratio,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.08843815891352844,0.10636203914241622,-0.17366033471188488,0.17366033471188488,lower_in_AD,0.37738009346886997,0.3737405869876927,1.0,1.0,False,False,14.0,14.0,False,False,False,False,True,True,True,True,True,True
pd_repeated_content_unit_ratio,repeated content unit ratio,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,41,35,0.2973867595818815,0.24618326118326114,0.21953095975272058,0.21953095975272058,higher_in_AD,0.33515036079341964,0.34322658209253637,1.0,1.0,False,False,13.0,13.0,False,False,False,False,True,True,True,True,True,True
pd_semantic_similarity_to_unit_list,semantic similarity to unit list,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.03223168290869323,0.042193343899942254,-0.2787698621780744,0.2787698621780744,lower_in_AD,0.1593068886046236,0.15456259607532286,1.0,1.0,False,False,7.0,7.0,False,False,True,True,True,True,True,True,True,True
pd_num_unique_keywords,PD unique keywords,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,4.363636363636363,6.588235294117647,-0.4586108138370082,0.4586108138370082,lower_in_AD,0.022152671682680085,0.020183658097719145,0.4430534336536017,0.4036731619543829,False,False,1.0,1.0,True,True,True,True,True,True,True,True,True,True
