feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
pd_unique_units_count,PD unique units count,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_unique_units_ratio,PD unique units ratio,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_total_unit_mentions,total unit mentions,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_content_density,content density,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_object_units_ratio,object units ratio,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_action_units_ratio,action units ratio,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_keyword_to_nonkeyword_ratio,keyword to nonkeyword ratio,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_repeated_content_unit_ratio,repeated content unit ratio,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_semantic_similarity_to_unit_list,semantic similarity to unit list,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_num_unique_keywords,PD unique keywords,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_num_total_keywords,num total keywords,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_unique_unit_density,unique unit density,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_total_unit_density,total unit density,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_unique_unit_efficiency,unique unit efficiency,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_total_unit_efficiency,total unit efficiency,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_percentage_units_mentioned,PD units mentioned,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_keyword_ttr,keyword ttr,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_mean_utterance_to_unit_similarity,mean utterance to unit similarity,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_global_prompt_coherence,global prompt coherence,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_detected_prompt_score,detected prompt score,pd,task:PD,True,PD_CTP,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_reference_token_coverage,reference token coverage,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_reference_bigram_coverage,reference bigram coverage,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_prompt_similarity,prompt similarity,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_sequence_match_ratio,sequence match ratio,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_reference_order_score,reference order score,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_omission_ratio,omission ratio,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_insertion_ratio,insertion ratio,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
rd_repetition_ratio,repetition ratio,rd,task:reading,True,READING,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,False,False,False,False,0,0,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
