feature_name,feature_label,feature_group,task_type,paper_task_labels,diagnostic_strength_within_task,language_specificity_within_task,direction_consistency,valid_languages,valid_cells,languages,cell_ids,max_abs_effect,significant_cells,top50_cells
pd_unique_unit_density,unique unit density,pd,PD_CTP,FT|PD,0.5090533778092784,0.4977784506047171,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,1.1425030586141558,1,1
pd_object_units_ratio,object units ratio,pd,PD_CTP,FT|PD,0.4003132467080201,0.486005840176116,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8592657448876083,0,0
pd_action_units_ratio,action units ratio,pd,PD_CTP,FT|PD,0.4003132467080199,0.48600584017611587,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8592657448876083,0,0
pd_detected_prompt_score,detected prompt score,pd,PD_CTP,FT|PD,0.34034601317254337,0.3619519827533015,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8416342568240031,2,1
pd_keyword_ttr,keyword ttr,pd,PD_CTP,FT|PD,0.3339573331525098,0.3542854100468776,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.433576949506257,0,0
pd_keyword_to_nonkeyword_ratio,keyword to nonkeyword ratio,pd,PD_CTP,FT|PD,0.2961694380139512,0.30148942594661177,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.6916324718130026,0,0
pd_content_density,content density,pd,PD_CTP,FT|PD,0.29627252053789105,0.2916285144381964,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.7010544330277773,0,0
pd_total_unit_density,total unit density,pd,PD_CTP,FT|PD,0.29627252053789105,0.2916285144381964,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.7010544330277773,0,0
pd_percentage_units_mentioned,PD units mentioned,pd,PD_CTP,FT|PD,0.5748504821140353,0.21927164143416636,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8804972945290428,1,1
pd_unique_units_ratio,PD unique units ratio,pd,PD_CTP,FT|PD,0.5748504821140353,0.21927164143416636,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8804972945290428,1,1
pd_num_unique_keywords,PD unique keywords,pd,PD_CTP,FT|PD,0.5413805234327131,0.20554141030612003,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8240800864562045,1,1
pd_unique_units_count,PD unique units count,pd,PD_CTP,FT|PD,0.5606525014887563,0.1995096062930604,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.8379033526532051,1,1
pd_mean_utterance_to_unit_similarity,mean utterance to unit similarity,pd,PD_CTP,FT|PD,0.18884195421511707,0.18740729967395464,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.23668200347823445,0,0
pd_num_total_keywords,num total keywords,pd,PD_CTP,FT|PD,0.33974913885702307,0.16880937859983497,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.5783555125603347,1,1
pd_total_unit_mentions,total unit mentions,pd,PD_CTP,FT|PD,0.33974913885702307,0.16880937859983497,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.5783555125603347,1,1
pd_global_prompt_coherence,global prompt coherence,pd,PD_CTP,FT|PD,0.1685759448787829,0.14794292601713877,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.2787698621780744,0,0
pd_repeated_content_unit_ratio,repeated content unit ratio,pd,PD_CTP,FT|PD,0.12057452463569059,0.14488162909648547,0.6666666666666666,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.21953095975272058,0,0
pd_semantic_similarity_to_unit_list,semantic similarity to unit list,pd,PD_CTP,FT|PD,0.14211886475213384,0.11387297658507714,1.0,3,3,el|en|zh,el|PD_CTP|en|PD_CTP|zh|PD_CTP,0.2787698621780744,0,0
pd_unique_unit_efficiency,unique unit efficiency,pd,PD_CTP,FT|PD,0.5834561241013151,0.37615401529868486,1.0,2,2,el|zh,el|PD_CTP|zh|PD_CTP,0.9596101394000001,1,1
