feature_name,feature_label,language,task_type,cell_id,cell_label,n_ad,n_hc,cohens_d,welch_p,welch_bonferroni_p,welch_rank,welch_significant_bonferroni,welch_top_50
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_f0_mean,F0 mean,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_f0_std,F0 variability,el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",10,3,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_f0_mean,F0 mean,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_f0_std,F0 variability,el,OTHER,el|OTHER,"EL PD+FT
OTHER",0,4,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.1556748078369636,0.3613848326834744,1.0,139.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,-0.2229727780904178,0.2010912698106999,1.0,116.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.3625478522960588,0.0339475960296735,1.0,56.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.0983430111328599,0.5683269136552266,1.0,175.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.0355628908917789,0.838164030163815,1.0,197.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,-0.194671839744671,0.2800700948883154,1.0,132.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.1866800417154707,0.2669560580932564,1.0,128.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.236934135047527,0.1668018851583867,1.0,108.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,-0.1265816901937076,0.4661084413495871,1.0,161.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,-0.1352606187962445,0.4535302437414793,1.0,157.0,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,-0.2207460385115024,0.2046484713602926,1.0,117.0,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.0104029878644395,0.9520385510093126,1.0,220.0,False,False
ac_f0_mean,F0 mean,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.2510117071603734,0.1450099327237048,1.0,101.0,False,False
ac_f0_std,F0 variability,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",76,57,0.1255887615045465,0.4568023101583319,1.0,159.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.140005400478233,0.7755286745579341,1.0,176.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.3951325679927607,0.4335123595981148,1.0,119.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.2814795740609509,0.5700418432237395,1.0,148.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.0106546972847489,0.9822840161478088,1.0,210.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.146348097152085,0.7144535352394306,1.0,171.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.5868355514203428,0.1968799527165991,1.0,73.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.257368489288872,0.5720500368244593,1.0,149.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.3942410145982169,0.4597419630877949,1.0,130.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.3249376089520411,0.5608583132873781,1.0,146.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.2260346132169899,0.5942356364967885,1.0,153.0,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.9366985268167624,0.1586391523928874,1.0,64.0,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.2124843685757134,0.6670821263003486,1.0,161.0,False,False
ac_f0_mean,F0 mean,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,-0.7313003759338575,0.1458449088670811,1.0,55.0,False,False
ac_f0_std,F0 variability,el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",22,7,0.4193391095289077,0.2453569274286698,1.0,87.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.260728489496709,0.5730543107389154,1.0,160.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.4633131732956656,0.3656562951955297,1.0,123.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.2498334034846935,0.5709568741274806,1.0,159.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.0871089877228539,0.855910481277522,1.0,191.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.7762629656191867,0.1485309533039851,1.0,82.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.4292622864027752,0.3356891714936197,1.0,117.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.4464842858926475,0.3628403886110822,1.0,122.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.1599022052222032,0.7272066609900222,1.0,179.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.8411385998113812,0.0201534382568007,1.0,44.0,False,True
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.2266848325476699,0.5923177407284365,1.0,162.0,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.4052863410112614,0.504824941070161,1.0,150.0,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.1382261822925513,0.773652383505233,1.0,182.0,False,False
ac_f0_mean,F0 mean,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.5770976156851554,0.208072229269382,1.0,94.0,False,False
ac_f0_std,F0 variability,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.2079473536703508,0.6465363703440579,1.0,169.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
