feature_name,feature_label,language,task_type,cell_id,cell_label,n_ad,n_hc,cohens_d,welch_p,welch_bonferroni_p,welch_rank,welch_significant_bonferroni,welch_top_50,feature_label_short
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.8493269206120576,8.74481501210008e-05,0.0189762485762571,34.0,True,True,logRelF0 H1-A3
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.6571334480564632,0.0011241988645873,0.2439511536154448,46.0,False,True,F0 falling slope mean
ac_f0_mean,F0 mean,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,0.6283043395795398,0.0026391618640017,0.572698124488389,56.0,False,False,F0 mean
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.5608088198464442,0.0041404208490576,0.8984713242455137,61.0,False,False,F0 semitone variability
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.521796908671182,0.005405457881012,1.0,62.0,False,False,F0 falling slope variability
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.4703867249561204,0.016570907618545,1.0,69.0,False,False,F0 semitone range
ac_f0_std,F0 variability,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.3381638753646311,0.0932134864525025,1.0,91.0,False,False,F0 variability
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,0.2435665570466434,0.2253450828582521,1.0,116.0,False,False,F0 semitone p20
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,0.257515201817202,0.2411840067424851,1.0,119.0,False,False,logRelF0 H1-H2
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.1802843972144405,0.4398868443971758,1.0,149.0,False,False,F0 rising slope variability
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,-0.1790448616779959,0.4406354884031262,1.0,150.0,False,False,F0 rising slope mean
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,0.1565805416539751,0.4492773882631158,1.0,152.0,False,False,F0 semitone mean
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,0.1359835012605414,0.5144180389539839,1.0,158.0,False,False,F0 semitone median
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",33,62,0.0668969447662918,0.7480859316632316,1.0,184.0,False,False,F0 semitone p80
