feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.4874478367533983,0.5,0.5018158104565174,0.5532621190697008,4,2,4,FC|FT|PD,2,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,ac,acoustic,False,0.3026101148361905,0.75,0.3679455331387246,0.3286004311626258,4,2,4,FC|FT|PD,1,language-sensitive candidate,0.3015316163575025,0.3765128914283396
ac_f0_mean,F0 mean,ac,acoustic,False,0.5469285095897316,0.5,0.4903832171995431,0.5655942205506593,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,ac,acoustic,False,0.455061527039182,0.75,0.3892127519651888,0.427436261974677,4,2,4,FC|FT|PD,0,language-task confounded,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,ac,acoustic,False,0.4202891006309773,0.5,0.3720976954911347,0.4350275072695153,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,ac,acoustic,False,0.4105568348063221,0.5,0.3863165704562235,0.4282576769449578,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.2843568467220866,0.5,0.1499107993982527,0.287669202156139,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.2774442433080216,0.5,0.3138082588303269,0.3092760076641787,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_f0_std,F0 variability,ac,acoustic,False,0.272759775017109,0.75,0.2945611417996164,0.2766850007134427,4,2,4,FC|FT|PD,0,translingual candidate,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.2673944196437465,0.5,0.1521550705588723,0.2840842835294505,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.2562677246073356,1.0,0.1262471865606958,0.3029229650661579,4,2,4,FC|FT|PD,0,translingual candidate,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.2428404380205969,0.5,0.0905747528858058,0.2558034350431998,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,ac,acoustic,False,0.1782473098664702,0.5,0.1191334511833173,0.1832865626460985,4,2,4,FC|FT|PD,0,unstable / insufficient evidence,0.3015316163575025,0.3765128914283396
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,ac,acoustic,False,0.083022549350251,0.75,0.0643436305144782,0.0860718437611973,4,2,4,FC|FT|PD,0,translingual candidate,0.3015316163575025,0.3765128914283396
