language,significance_rank,feature_name,feature_group,h_statistic,p_value,bonferroni_p,fdr_bh_p,significant_bonferroni,significant_fdr,median_ad,median_hc,mean_ad,mean_hc,direction,tested_features,bonferroni_significant_count,fdr_significant_count
English,1,syn_mean_dependency_length,syn,254.59606048512822,2.5851916651670545e-57,1.809634165616938e-55,1.809634165616938e-55,True,True,4.6923076923076925,2.6906453142200544,4.719058604373917,2.736548913914242,AD>HC,70,47,58
English,2,len_utterance_count,len,243.2659757752266,7.631266817162222e-55,5.341886772013556e-53,1.7806289240045186e-53,True,True,8.0,16.0,11.671772428884026,30.29669540229885,AD<HC,70,47,58
English,3,syn_utterance_count,syn,243.2659757752266,7.631266817162222e-55,5.341886772013556e-53,1.7806289240045186e-53,True,True,8.0,16.0,11.671772428884026,30.29669540229885,AD<HC,70,47,58
English,4,syn_std_dependency_length,syn,226.94922850617195,2.758569409077868e-51,1.9309985863545076e-49,4.827496465886269e-50,True,True,6.782174711780296,2.7710356665852647,7.676147703438642,2.9206593124249656,AD>HC,70,47,58
English,5,syn_obl_ratio,syn,174.80943100875993,6.5890404561581845e-40,4.612328319310729e-38,9.224656638621458e-39,True,True,0.0297029702970297,0.0456431535269709,0.029875437844652353,0.04782214664104628,AD<HC,70,47,58
English,6,syn_propn_ratio,syn,169.03599766305535,1.2014830221400287e-38,8.410381154980201e-37,1.2301198622629533e-37,True,True,0.0,0.0,0.02126473324379587,0.004672618322299334,AD<HC,70,47,58
English,7,syn_num_ratio,syn,168.98916165614506,1.2301198622629532e-38,8.610839035840673e-37,1.2301198622629533e-37,True,True,0.0,0.0,0.0476218011859539,0.007237289273088014,AD<HC,70,47,58
English,8,syn_aux_verb_ratio,syn,159.39849444061758,1.531339753247701e-36,1.0719378272733908e-34,1.3399222840917385e-35,True,True,0.75,0.3888888888888889,0.8384950622357991,0.4330229395310776,AD>HC,70,47,58
English,9,syn_mean_tree_depth,syn,134.13900732484294,5.0941034555203575e-31,3.5658724188642505e-29,3.9620804654047226e-30,True,True,3.436170212765957,1.7396011396011395,4.874478077149855,1.9378728664244016,AD>HC,70,47,58
English,10,syn_max_dependency_length,syn,129.7404871512562,4.670122165479155e-30,3.2690855158354084e-28,3.2690855158354083e-29,True,True,47.0,23.0,54.29718875502008,25.004032258064516,AD>HC,70,47,58
