language,list_name,list_rank,feature_name,feature_group,p_value,bonferroni_p,fdr_bh_p,h_statistic,other_rank
English,significance_top10,1,syn_mean_dependency_length,syn,2.5851916651670545e-57,1.809634165616938e-55,1.809634165616938e-55,254.59606048512822,3.0
English,significance_top10,2,len_utterance_count,len,7.631266817162222e-55,5.341886772013556e-53,1.7806289240045186e-53,243.2659757752266,
English,significance_top10,3,syn_utterance_count,syn,7.631266817162222e-55,5.341886772013556e-53,1.7806289240045186e-53,243.2659757752266,4.0
English,significance_top10,4,syn_std_dependency_length,syn,2.758569409077868e-51,1.9309985863545076e-49,4.827496465886269e-50,226.94922850617195,5.0
English,significance_top10,5,syn_obl_ratio,syn,6.5890404561581845e-40,4.612328319310729e-38,9.224656638621458e-39,174.80943100875993,
English,significance_top10,6,syn_propn_ratio,syn,1.2014830221400287e-38,8.410381154980201e-37,1.2301198622629533e-37,169.03599766305535,
English,significance_top10,7,syn_num_ratio,syn,1.2301198622629532e-38,8.610839035840673e-37,1.2301198622629533e-37,168.98916165614506,2.0
English,significance_top10,8,syn_aux_verb_ratio,syn,1.531339753247701e-36,1.0719378272733908e-34,1.3399222840917385e-35,159.39849444061758,
English,significance_top10,9,syn_mean_tree_depth,syn,5.0941034555203575e-31,3.5658724188642505e-29,3.9620804654047226e-30,134.13900732484294,
English,significance_top10,10,syn_max_dependency_length,syn,4.670122165479155e-30,3.2690855158354084e-28,3.2690855158354083e-29,129.7404871512562,
English,permutation_top10,1,lex_std_token_length,lex,0.0101626566059293,0.711385962415051,0.013173814118797242,6.60616020349986,
English,permutation_top10,2,syn_num_ratio,syn,1.2301198622629532e-38,8.610839035840673e-37,1.2301198622629533e-37,168.98916165614506,7.0
English,permutation_top10,3,syn_mean_dependency_length,syn,2.5851916651670545e-57,1.809634165616938e-55,1.809634165616938e-55,254.59606048512822,1.0
English,permutation_top10,4,syn_utterance_count,syn,7.631266817162222e-55,5.341886772013556e-53,1.7806289240045186e-53,243.2659757752266,3.0
English,permutation_top10,5,syn_std_dependency_length,syn,2.758569409077868e-51,1.9309985863545076e-49,4.827496465886269e-50,226.94922850617195,4.0
English,permutation_top10,6,disc_immediate_repetition_count,disc,0.03784630318751138,1.0,0.045676572812513735,4.311916436946244,
English,permutation_top10,7,syn_clause_density,syn,2.0180541765346593e-24,1.4126379235742614e-22,1.0866445565955856e-23,104.00500703145875,
English,permutation_top10,8,disc_repeated_unigram_ratio,disc,0.0006459475451132421,0.04521632815792695,0.0009620495352750415,11.638670491330418,
English,permutation_top10,9,syn_pronoun_noun_ratio,syn,0.020981648030226417,1.0,0.026227060037783023,5.328316039283003,
English,permutation_top10,10,syn_pronoun_ratio,syn,2.1158818988798286e-07,1.48111732921588e-05,4.231763797759657e-07,26.924242526957777,
Spanish,significance_top10,1,lex_mean_token_length,lex,6.525208076126957e-08,4.5023935725276e-06,4.5023935725276e-06,29.200805264468844,7.0
Spanish,significance_top10,2,pause_filled_count,pause,2.0320507243260267e-07,1.4021149997849584e-05,5.6893736810007384e-06,27.002380293915945,
Spanish,significance_top10,3,disc_immediate_repetition_count,disc,3.507199286987792e-07,2.4199675080215765e-05,5.6893736810007384e-06,25.948102886293853,
Spanish,significance_top10,4,syn_interjection_ratio,syn,3.5992825521499257e-07,2.483504960983449e-05,5.6893736810007384e-06,25.8980730828035,
Spanish,significance_top10,5,lex_std_token_length,lex,4.1227345514498103e-07,2.844686840500369e-05,5.6893736810007384e-06,25.63601053461841,4.0
Spanish,significance_top10,6,syn_pronoun_noun_ratio,syn,6.235107881956414e-07,4.302224438549926e-05,7.170374064249876e-06,24.838152560217942,
Spanish,significance_top10,7,lex_brunet,lex,7.777685753494122e-07,5.366603169910945e-05,7.666575957015636e-06,24.412144226358265,
Spanish,significance_top10,8,pause_filled_per_100_words,pause,1.0661660881898987e-06,7.356546008510301e-05,9.195682510637876e-06,23.80479364409309,
Spanish,significance_top10,9,syn_determiner_ratio,syn,1.8263416166310658e-06,0.00012601757154754353,1.4001952394171503e-05,22.7695764461393,
Spanish,significance_top10,10,syn_pronoun_ratio,syn,2.1343939139996387e-06,0.00014727318006597508,1.4727318006597509e-05,22.470107642352758,
Spanish,permutation_top10,1,lex_mattr_10,lex,0.0018727660880356008,0.12922086007445646,0.0034005489493278015,9.670242333853492,
Spanish,permutation_top10,2,graph_average_degree,graph,1.3834235071149371e-05,0.0009545622199093066,4.941732044679726e-05,18.891851272980528,
Spanish,permutation_top10,3,lex_mattr_20,lex,4.715464823964871e-05,0.003253670728535761,0.00012671740065141324,16.559200470540546,
