language,rank,feature_name,feature_group,combined_feature_model,combined_feature_top_k,combined_feature_accuracy
English,1,lex_std_token_length,lex,rf:n200,100,0.8618556701030928
English,2,syn_num_ratio,syn,rf:n200,100,0.8618556701030928
English,3,syn_mean_dependency_length,syn,rf:n200,100,0.8618556701030928
English,4,syn_utterance_count,syn,rf:n200,100,0.8618556701030928
English,5,syn_std_dependency_length,syn,rf:n200,100,0.8618556701030928
English,6,disc_immediate_repetition_count,disc,rf:n200,100,0.8618556701030928
English,7,syn_clause_density,syn,rf:n200,100,0.8618556701030928
English,8,disc_repeated_unigram_ratio,disc,rf:n200,100,0.8618556701030928
English,9,syn_pronoun_noun_ratio,syn,rf:n200,100,0.8618556701030928
English,10,syn_pronoun_ratio,syn,rf:n200,100,0.8618556701030928
Spanish,1,lex_mattr_10,lex,rf:n200,all,0.8524590163934426
Spanish,2,graph_average_degree,graph,rf:n200,all,0.8524590163934426
Spanish,3,lex_mattr_20,lex,rf:n200,all,0.8524590163934426
Spanish,4,lex_std_token_length,lex,rf:n200,all,0.8524590163934426
Spanish,5,disc_mean_pairwise_utt_similarity,disc,rf:n200,all,0.8524590163934426
Spanish,6,disc_repeated_unigram_ratio,disc,rf:n200,all,0.8524590163934426
Spanish,7,lex_mean_token_length,lex,rf:n200,all,0.8524590163934426
Spanish,8,disc_repeated_bigram_ratio,disc,rf:n200,all,0.8524590163934426
Spanish,9,len_std_utterance_length,len,rf:n200,all,0.8524590163934426
Spanish,10,disc_semantic_drift,disc,rf:n200,all,0.8524590163934426
Chinese,1,lex_mattr_20,lex,svm:linear_c1,all,0.8125
Chinese,2,len_speech_duration,len,svm:linear_c1,all,0.8125
Chinese,3,ac_egemaps_slopeuv0_500_sma3nz_amean,ac,svm:linear_c1,all,0.8125
Chinese,4,ac_mfcc_3_std,ac,svm:linear_c1,all,0.8125
Chinese,5,syn_determiner_ratio,syn,svm:linear_c1,all,0.8125
Chinese,6,ac_egemaps_mfcc2_sma3_stddevnorm,ac,svm:linear_c1,all,0.8125
Chinese,7,pause_filled_count,pause,svm:linear_c1,all,0.8125
Chinese,8,ac_mfcc_1_std,ac,svm:linear_c1,all,0.8125
Chinese,9,ac_zcr_mean,ac,svm:linear_c1,all,0.8125
Chinese,10,syn_pronoun_ratio,syn,svm:linear_c1,all,0.8125
Greek,1,ac_egemaps_loudness_sma3_stddevrisingslope,ac,rf:n200,all,0.8333333333333334
Greek,2,ac_egemaps_jitterlocal_sma3nz_stddevnorm,ac,rf:n200,all,0.8333333333333334
Greek,3,ac_egemaps_spectralfluxv_sma3nz_stddevnorm,ac,rf:n200,all,0.8333333333333334
Greek,4,ac_egemaps_slopev0_500_sma3nz_amean,ac,rf:n200,all,0.8333333333333334
Greek,5,ac_mfcc_5_std,ac,rf:n200,all,0.8333333333333334
Greek,6,ac_egemaps_spectralfluxv_sma3nz_amean,ac,rf:n200,all,0.8333333333333334
Greek,7,syn_determiner_ratio,syn,rf:n200,all,0.8333333333333334
Greek,8,ac_egemaps_f3frequency_sma3nz_amean,ac,rf:n200,all,0.8333333333333334
Greek,9,len_std_utterance_length,len,rf:n200,all,0.8333333333333334
Greek,10,ac_rms_mean,ac,rf:n200,all,0.8333333333333334
