language,feature_name,feature_group,t_statistic,p_value,mean_ad,mean_hc,median_ad,median_hc,cohens_d,cohens_d_abs,direction,bonferroni_p,fdr_bh_p,significant_bonferroni,significant_fdr,tested_features,bonferroni_significant_count,fdr_significant_count
English,syn_mean_dependency_length,syn,18.18243257139647,2.5376494129048615e-48,4.719058604373917,2.736548913914242,4.6923076923076925,2.6906453142200544,1.6084845514500021,1.6084845514500021,AD>HC,1.7763545890334032e-46,1.7763545890334032e-46,True,True,70,54,58
English,syn_std_dependency_length,syn,15.54436221494195,5.791959462349206e-39,7.676147703438642,2.9206593124249656,6.782174711780296,2.7710356665852647,1.377658536069028,1.377658536069028,AD>HC,4.054371623644444e-37,2.027185811822222e-37,True,True,70,54,58
English,len_utterance_count,len,-13.248380610518213,3.164632497682197e-38,11.671772428884026,30.29669540229885,8.0,16.0,-0.5769707562898435,0.5769707562898435,AD<HC,2.215242748377538e-36,5.538106870943845e-37,True,True,70,54,58
English,syn_utterance_count,syn,-13.248380610518213,3.164632497682197e-38,11.671772428884026,30.29669540229885,8.0,16.0,-0.5769707562898435,0.5769707562898435,AD<HC,2.215242748377538e-36,5.538106870943845e-37,True,True,70,54,58
English,syn_obl_ratio,syn,-14.103602025108716,2.2736600484291504e-37,0.029875437844652353,0.04782214664104628,0.0297029702970297,0.0456431535269709,-1.1261391733017652,1.1261391733017652,AD<HC,1.5915620339004054e-35,3.183124067800811e-36,True,True,70,54,58
English,graph_node_count,graph,-12.871396691212892,2.7713526510620322e-36,75.76805251641137,115.1558908045977,70.0,84.0,-0.5584120680458464,0.5584120680458464,AD<HC,1.9399468557434224e-34,2.771352651062032e-35,True,True,70,54,58
English,len_type_count,len,-12.871396691212892,2.7713526510620322e-36,75.76805251641137,115.1558908045977,70.0,84.0,-0.5584120680458464,0.5584120680458464,AD<HC,1.9399468557434224e-34,2.771352651062032e-35,True,True,70,54,58
English,syn_num_ratio,syn,13.408322650216439,1.2899334190262655e-35,0.0476218011859539,0.007237289273088014,0.0,0.0,0.8186788995460621,0.8186788995460621,AD>HC,9.029533933183859e-34,1.1286917416479824e-34,True,True,70,54,58
English,graph_edge_count,graph,-11.644626967063314,2.7948921943231163e-30,116.93435448577681,225.91594827586206,101.0,119.5,-0.49285784328673915,0.49285784328673915,AD<HC,1.9564245360261813e-28,2.1738050400290904e-29,True,True,70,54,58
English,len_syllable_count,len,-11.412667008394244,3.386519533991833e-29,173.32603938730853,373.6329022988506,138.0,170.0,-0.4793017502585926,0.4793017502585926,AD<HC,2.3705636737942832e-27,2.3705636737942834e-28,True,True,70,54,58
English,syn_interjection_ratio,syn,11.704381871343383,3.726919000103661e-28,0.01941098597746733,0.005061814077063052,0.0049261083743842,0.0,0.7383901076742426,0.7383901076742426,AD>HC,2.608843300072563e-26,2.3716757273386935e-27,True,True,70,54,58
English,syn_max_dependency_length,syn,12.116104920365535,1.630470111759534e-27,54.29718875502008,25.004032258064516,47.0,23.0,1.0517511070910366,1.0517511070910366,AD>HC,1.141329078231674e-25,9.511075651930617e-27,True,True,70,54,58
English,len_token_count,len,-10.924216226131964,5.915343163458348e-27,134.24070021881838,276.117816091954,107.0,130.0,-0.46240212829454447,0.46240212829454447,AD<HC,4.140740214420844e-25,3.1851847803237264e-26,True,True,70,54,58
English,syn_subordination_ratio,syn,10.807497870744198,1.757098509586597e-24,2.5910599392717675,0.34497754475763004,0.375,0.0,0.7019998649990784,0.7019998649990784,AD>HC,1.2299689567106178e-22,8.785492547932985e-24,True,True,70,54,58
English,syn_clause_density,syn,10.470448346020273,3.215718487633717e-23,4.97919616936423,0.934333310056093,1.1666666666666667,0.0,0.6793327563569173,0.6793327563569173,AD>HC,2.251002941343602e-21,1.5006686275624012e-22,True,True,70,54,58
English,len_mean_utterance_length,len,10.447723897513926,4.269129238976241e-23,33.0847470229768,10.316683069438238,9.545454545454543,8.764615384615386,0.6839271714120729,0.6839271714120729,AD>HC,2.9883904672833688e-21,1.7453480562004267e-22,True,True,70,54,58
English,syn_mean_utterance_length_words,syn,10.447723897513926,4.269129238976241e-23,33.0847470229768,10.316683069438238,9.545454545454543,8.764615384615386,0.6839271714120729,0.6839271714120729,AD>HC,2.9883904672833688e-21,1.7453480562004267e-22,True,True,70,54,58
English,len_tokens_per_utterance,len,10.44368764066945,4.488037858801097e-23,35.73455870931206,9.833182473748852,9.12,8.358571428571429,0.6847417844491446,0.6847417844491446,AD>HC,3.141626501160768e-21,1.7453480562004267e-22,True,True,70,54,58
English,graph_average_degree,graph,-9.087452901648948,3.375319712284979e-19,2.8737149774122273,3.2081932557746367,2.808080808080808,2.8947368421052637,-0.42087349154721554,0.42087349154721554,AD<HC,2.3627237985994853e-17,1.24353884136815e-18,True,True,70,54,58
English,pause_pause_to_word_ratio,pause,-8.720810466581751,7.733854970893457e-18,0.0,0.008015884441025373,0.0,0.0,-0.3305614676569024,0.3305614676569024,AD<HC,5.41369847962542e-16,2.70684923981271e-17,True,True,70,54,58
English,syn_determiner_noun_ratio,syn,-8.67176032717914,1.3084665469348929e-16,0.5211410640331605,0.6548072758155292,0.5,0.6594000594000594,-0.7103884361249709,0.7103884361249709,AD<HC,9.15926582854425e-15,4.361555156449643e-16,True,True,70,54,58
English,syn_mean_tree_depth,syn,8.79462971796445,2.0679553343477216e-16,4.874478077149855,1.9378728664244016,3.436170212765957,1.7396011396011395,0.7802316636518987,0.7802316636518987,AD>HC,1.4475687340434052e-14,6.579857882015478e-16,True,True,70,54,58
English,syn_propn_ratio,syn,8.13223809641969,2.8789276977298347e-15,0.02126473324379587,0.004672618322299334,0.0,0.0,0.4966615514054,0.4966615514054,AD>HC,2.0152493884108844e-13,8.76195386265602e-15,True,True,70,54,58
English,lex_brunet,lex,-7.967978804245915,4.316731002855531e-15,10.189954511256738,10.894401745774895,10.184134161421063,10.451639296976301,-0.3994804781631869,0.3994804781631869,AD<HC,3.021711701998872e-13,1.25904654249953e-14,True,True,70,54,58
English,graph_density,graph,7.928654766535682,9.438183264359746e-15,0.023081608470229636,0.018763758969439524,0.0207330618289522,0.01712708587708585,0.4497039021499378,0.4497039021499378,AD>HC,6.606728285051823e-13,2.6426913140207292e-14,True,True,70,54,58
English,syn_aux_verb_ratio,syn,7.691621226360554,2.925598121311447e-13,0.8384950622357991,0.4330229395310776,0.75,0.3888888888888889,0.6797345373962146,0.6797345373962146,AD>HC,2.047918684918013e-11,7.876610326607742e-13,True,True,70,54,58
English,syn_aux_ratio,syn,7.239522720274896,1.1992658078315911e-12,0.036701556972148594,0.022140479745758564,0.0319148936170212,0.0,0.4043966714243855,0.4043966714243855,AD>HC,8.394860654821138e-11,3.109207649933755e-12,True,True,70,54,58
English,syn_max_tree_depth,syn,7.352236461943887,2.4933270370511218e-12,11.763052208835342,6.358870967741935,8.0,6.0,0.6502001900613721,0.6502001900613721,AD>HC,1.7453289259357853e-10,6.233317592627805e-12,True,True,70,54,58
English,syn_part_ratio,syn,6.967191437623598,8.31322537786767e-12,0.013932023080793696,0.0075641627606399045,0.0,0.0,0.40488805436555786,0.40488805436555786,AD>HC,5.819257764507369e-10,2.0066406084508172e-11,True,True,70,54,58
English,lex_std_token_length,lex,6.732801007693513,2.7726695727600878e-11,2.789727773014094,2.6091066260799507,2.8595217474297057,2.8673923450981484,0.33697995290130206,0.33697995290130206,AD>HC,1.9408687009320615e-09,6.469562336440204e-11,True,True,70,54,58
English,syn_obj_ratio,syn,-6.789560746245063,4.052614607252086e-11,0.042761513320800644,0.054822436618552225,0.0390625,0.0536362751251727,-0.5486148553579719,0.5486148553579719,AD<HC,2.8368302250764605e-09,9.151065242182131e-11,True,True,70,54,58
