language_code,language,feature_source,rank,feature_name
en,English,permutation,1,lex_std_token_length
en,English,permutation,2,syn_num_ratio
en,English,permutation,3,syn_mean_dependency_length
en,English,permutation,4,syn_utterance_count
en,English,permutation,5,syn_std_dependency_length
en,English,permutation,6,disc_immediate_repetition_count
en,English,permutation,7,syn_clause_density
en,English,permutation,8,disc_repeated_unigram_ratio
en,English,permutation,9,syn_pronoun_noun_ratio
en,English,permutation,10,syn_pronoun_ratio
en,English,permutation,11,syn_subordination_ratio
en,English,permutation,12,disc_mean_pairwise_utt_similarity
en,English,permutation,13,len_utterance_count
en,English,permutation,14,pause_filled_count
en,English,permutation,15,graph_density
en,English,permutation,16,lex_repetition_rate
en,English,bonferroni,1,syn_mean_dependency_length
en,English,bonferroni,2,len_utterance_count
en,English,bonferroni,3,syn_utterance_count
en,English,bonferroni,4,syn_std_dependency_length
en,English,bonferroni,5,syn_obl_ratio
en,English,bonferroni,6,syn_propn_ratio
en,English,bonferroni,7,syn_num_ratio
en,English,bonferroni,8,syn_aux_verb_ratio
en,English,bonferroni,9,syn_mean_tree_depth
en,English,bonferroni,10,syn_max_dependency_length
en,English,bonferroni,11,syn_subordination_ratio
en,English,bonferroni,12,syn_interjection_ratio
en,English,bonferroni,13,syn_clause_density
en,English,bonferroni,14,syn_determiner_noun_ratio
en,English,bonferroni,15,graph_density
en,English,bonferroni,16,pause_filled_per_100_words
zh,Chinese,permutation,1,lex_mattr_20
zh,Chinese,permutation,2,len_speech_duration
zh,Chinese,permutation,3,ac_egemaps_slopeuv0_500_sma3nz_amean
zh,Chinese,permutation,4,ac_mfcc_3_std
zh,Chinese,permutation,5,syn_determiner_ratio
zh,Chinese,permutation,6,ac_egemaps_mfcc2_sma3_stddevnorm
zh,Chinese,permutation,7,pause_filled_count
zh,Chinese,permutation,8,ac_mfcc_1_std
zh,Chinese,permutation,9,ac_zcr_mean
zh,Chinese,permutation,10,syn_pronoun_ratio
zh,Chinese,permutation,11,disc_repeated_bigram_ratio
zh,Chinese,permutation,12,len_tokens_per_utterance
zh,Chinese,permutation,13,syn_max_tree_depth
zh,Chinese,permutation,14,ac_f0_mean
zh,Chinese,permutation,15,ac_f0_std
zh,Chinese,permutation,16,syn_max_dependency_length
zh,Chinese,bonferroni,1,ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm
zh,Chinese,bonferroni,2,ac_egemaps_alpharatiov_sma3nz_amean
zh,Chinese,bonferroni,3,ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope
zh,Chinese,bonferroni,4,ac_egemaps_jitterlocal_sma3nz_amean
zh,Chinese,bonferroni,5,ac_egemaps_logrelf0_h1_a3_sma3nz_amean
zh,Chinese,bonferroni,6,ac_egemaps_f2bandwidth_sma3nz_stddevnorm
zh,Chinese,bonferroni,7,ac_mfcc_3_mean
zh,Chinese,bonferroni,8,ac_egemaps_slopev500_1500_sma3nz_amean
zh,Chinese,bonferroni,9,ac_egemaps_mfcc1v_sma3nz_amean
zh,Chinese,bonferroni,10,ac_egemaps_hammarbergindexv_sma3nz_amean
zh,Chinese,bonferroni,11,ac_egemaps_f3bandwidth_sma3nz_stddevnorm
zh,Chinese,bonferroni,12,ac_egemaps_slopeuv500_1500_sma3nz_amean
zh,Chinese,bonferroni,13,ac_mfcc_2_std
zh,Chinese,bonferroni,14,ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope
zh,Chinese,bonferroni,15,ac_egemaps_hnrdbacf_sma3nz_amean
zh,Chinese,bonferroni,16,ac_egemaps_slopev0_500_sma3nz_stddevnorm
el,Greek,permutation,1,ac_egemaps_loudness_sma3_stddevrisingslope
el,Greek,permutation,2,ac_egemaps_jitterlocal_sma3nz_stddevnorm
el,Greek,permutation,3,ac_egemaps_spectralfluxv_sma3nz_stddevnorm
el,Greek,permutation,4,ac_egemaps_slopev0_500_sma3nz_amean
el,Greek,permutation,5,ac_mfcc_5_std
el,Greek,permutation,6,ac_egemaps_spectralfluxv_sma3nz_amean
el,Greek,permutation,7,syn_determiner_ratio
el,Greek,permutation,8,ac_egemaps_f3frequency_sma3nz_amean
el,Greek,permutation,9,len_std_utterance_length
el,Greek,permutation,10,ac_rms_mean
el,Greek,permutation,11,ac_egemaps_slopev500_1500_sma3nz_stddevnorm
el,Greek,permutation,12,ac_egemaps_mfcc1_sma3_stddevnorm
el,Greek,permutation,13,ac_egemaps_hammarbergindexv_sma3nz_amean
el,Greek,permutation,14,syn_mean_tree_depth
el,Greek,permutation,15,ac_egemaps_mfcc4_sma3_amean
el,Greek,permutation,16,ac_egemaps_meanvoicedsegmentlengthsec
el,Greek,bonferroni,1,ac_egemaps_loudness_sma3_stddevfallingslope
el,Greek,bonferroni,2,ac_rms_std
el,Greek,bonferroni,3,ac_egemaps_loudness_sma3_stddevrisingslope
el,Greek,bonferroni,4,ac_egemaps_loudness_sma3_meanrisingslope
el,Greek,bonferroni,5,ac_egemaps_loudness_sma3_pctlrange0_2
el,Greek,bonferroni,6,ac_egemaps_loudness_sma3_meanfallingslope
el,Greek,bonferroni,7,ac_egemaps_equivalentsoundlevel_dbp
el,Greek,bonferroni,8,ac_egemaps_spectralfluxv_sma3nz_stddevnorm
el,Greek,bonferroni,9,ac_egemaps_loudness_sma3_percentile80_0
es,Spanish,permutation,1,lex_mattr_10
es,Spanish,permutation,2,graph_average_degree
es,Spanish,permutation,3,lex_mattr_20
es,Spanish,permutation,4,lex_std_token_length
es,Spanish,permutation,5,disc_mean_pairwise_utt_similarity
es,Spanish,permutation,6,disc_repeated_unigram_ratio
es,Spanish,permutation,7,lex_mean_token_length
es,Spanish,permutation,8,disc_repeated_bigram_ratio
es,Spanish,permutation,9,len_std_utterance_length
es,Spanish,permutation,10,disc_semantic_drift
es,Spanish,permutation,11,syn_part_ratio
es,Spanish,permutation,12,syn_clause_density
es,Spanish,permutation,13,syn_advmod_ratio
es,Spanish,permutation,14,syn_adv_ratio
es,Spanish,permutation,15,syn_pronoun_ratio
es,Spanish,permutation,16,syn_amod_ratio
es,Spanish,bonferroni,1,lex_mean_token_length
es,Spanish,bonferroni,2,pause_filled_count
es,Spanish,bonferroni,3,disc_immediate_repetition_count
es,Spanish,bonferroni,4,syn_interjection_ratio
es,Spanish,bonferroni,5,lex_std_token_length
es,Spanish,bonferroni,6,syn_pronoun_noun_ratio
es,Spanish,bonferroni,7,lex_brunet
es,Spanish,bonferroni,8,pause_filled_per_100_words
es,Spanish,bonferroni,9,syn_determiner_ratio
es,Spanish,bonferroni,10,syn_pronoun_ratio
es,Spanish,bonferroni,11,len_token_count
es,Spanish,bonferroni,12,graph_edge_count
es,Spanish,bonferroni,13,graph_self_loop_ratio
es,Spanish,bonferroni,14,disc_repeated_trigram_ratio
es,Spanish,bonferroni,15,syn_noun_ratio
es,Spanish,bonferroni,16,lex_lemma_type_token_ratio
