feature_name,feature_type,mu_ad,mu_hc,cohens_d,label_correlation,svm_weight,svm_weight_abs,p_value,bonferroni_p,fdr_bh_p,significant_bonferroni,significant_fdr
syn_num_ratio,syn,0.03202769396527422,0.006231694444036353,0.773216346005751,0.3872461901945705,-0.0320682045858022,0.0320682045858022,4.969522302280028e-34,4.969522302280028e-32,4.969522302280028e-32,True,True
len_syllables_per_second,len,0.7536324172119054,2.0138051516090525,-1.5059652605170633,-0.5169104349606483,-0.5252653678481076,0.5252653678481076,2.0486750685507877e-33,2.048675068550788e-31,1.024337534275394e-31,True,True
len_utterance_count,len,9.310679611650485,14.230029585798816,-0.5858355223788798,-0.24880341294670477,-0.0704834717538287,0.0704834717538287,4.6846614551878033e-29,4.684661455187803e-27,1.1711653637969508e-27,True,True
syn_utterance_count,syn,9.310679611650485,14.230029585798816,-0.5858355223788798,-0.24880341294670477,-0.0704834717538287,0.0704834717538287,4.6846614551878033e-29,4.684661455187803e-27,1.1711653637969508e-27,True,True
pause_speech_rate_words_per_second,pause,0.7527214119736461,1.786545245225398,-1.490123361604238,-0.5317171062203475,-0.2260538962798675,0.2260538962798675,6.030750317672399e-28,6.0307503176724e-26,1.0051250529454e-26,True,True
len_tokens_per_second,len,0.7527214119736461,1.786545245225398,-1.490123361604238,-0.5317171062203475,-0.2260538962798675,0.2260538962798675,6.030750317672399e-28,6.0307503176724e-26,1.0051250529454e-26,True,True
syn_interjection_ratio,syn,0.015124030069702416,0.0030618888468479967,0.656795680647612,0.3396361403190915,0.1705113664015236,0.1705113664015236,1.628207109947912e-25,1.628207109947912e-23,2.326010157068446e-24,True,True
syn_mean_dependency_length,syn,4.042575914442189,2.823939587276482,0.8923907382592845,0.43049618221881303,0.6311203715751148,0.6311203715751148,3.08311395868495e-25,3.08311395868495e-23,3.853892448356187e-24,True,True
syn_pronoun_ratio,syn,0.06665886899486123,0.030663818989668468,0.585873620512731,0.2705393936712427,0.3260652502414674,0.3260652502414674,1.0680729024974325e-24,1.0680729024974324e-22,1.1867476694415916e-23,True,True
syn_cconj_ratio,syn,0.031004940066101466,0.012114200402086004,0.5855082003118328,0.2749688496699625,0.1263210292769931,0.1263210292769931,5.008364597121785e-24,5.008364597121786e-22,5.0083645971217856e-23,True,True
pause_articulation_rate_words_per_speaking_second,pause,1.093556911126231,2.434536005133485,-1.3727071317690032,-0.5065457119625167,0.823593687659919,0.823593687659919,8.363688571089247e-24,8.363688571089247e-22,7.603353246444769e-23,True,True
syn_aux_ratio,syn,0.043774236549197126,0.02256584675965491,0.5058201450129858,0.23188556391212933,-0.1971762312856189,0.1971762312856189,1.2247277561289954e-19,1.2247277561289954e-17,1.0206064634408294e-18,True,True
syn_propn_ratio,syn,0.010065022214337473,0.0022428617230432477,0.5394135794298024,0.27084235936574774,0.0835421634186854,0.0835421634186854,3.256825054412194e-19,3.256825054412194e-17,2.505250041855534e-18,True,True
lex_function_word_ratio,lex,0.263100309534406,0.15628018484155506,0.4655095355603837,0.20471197722348117,-0.7606640600228416,0.7606640600228416,1.9823367943197063e-18,1.9823367943197064e-16,1.4159548530855047e-17,True,True
syn_std_dependency_length,syn,6.149434189426493,3.467722787816684,0.718692480351712,0.35328520320787005,-0.8269632704465621,0.8269632704465621,2.8778242867077513e-18,2.877824286707751e-16,1.9185495244718342e-17,True,True
