language,feature_name,feature_group,t_statistic,p_value,mean_ad,mean_hc,median_ad,median_hc,cohens_d,cohens_d_abs,direction,bonferroni_p,fdr_bh_p,significant_bonferroni,significant_fdr,tested_features,bonferroni_significant_count,fdr_significant_count
Pooled,len_utterance_count,len,-13.99280716472969,6.418977329986605e-43,9.550906555090656,24.897491821155942,6.0,13.0,-0.5055359871197678,0.5055359871197678,AD<HC,3.0169193450937045e-41,1.5084596725468522e-41,True,True,47,35,43
Pooled,syn_utterance_count,syn,-13.99280716472969,6.418977329986605e-43,9.550906555090656,24.897491821155942,6.0,13.0,-0.5055359871197678,0.5055359871197678,AD<HC,3.0169193450937045e-41,1.5084596725468522e-41,True,True,47,35,43
Pooled,graph_node_count,graph,-11.552068050645804,5.338473332068111e-30,68.88005578800558,101.64176663031625,57.0,72.0,-0.4513958959470227,0.4513958959470227,AD<HC,2.509082466072012e-28,6.27270616518003e-29,True,True,47,35,43
Pooled,len_type_count,len,-11.552068050645804,5.338473332068111e-30,68.88005578800558,101.64176663031625,57.0,72.0,-0.4513958959470227,0.4513958959470227,AD<HC,2.509082466072012e-28,6.27270616518003e-29,True,True,47,35,43
Pooled,syn_num_ratio,syn,11.139534688842014,3.4571411485935845e-27,0.034552525560374095,0.011464159758189868,0.0095238095238095,0.0,0.5329539795337084,0.5329539795337084,AD>HC,1.6248563398389848e-25,3.24971267967797e-26,True,True,47,35,43
Pooled,graph_edge_count,graph,-9.998884249983478,4.360925686676076e-23,111.38493723849372,195.60468920392586,79.0,102.0,-0.3795126359526114,0.3795126359526114,AD<HC,2.049635072737756e-21,3.4160584545629263e-22,True,True,47,35,43
Pooled,syn_interjection_ratio,syn,9.820310602523188,1.3927415489402988e-21,0.01230168945493934,0.00389708234607732,0.0,0.0,0.4957506372452696,0.4957506372452696,AD>HC,6.545885280019405e-20,9.351264685742006e-21,True,True,47,35,43
Pooled,len_token_count,len,-9.58817705614113,2.1169462794051266e-21,129.20781032078102,238.24100327153764,87.0,110.0,-0.3598084601077494,0.3598084601077494,AD<HC,9.949647513204095e-20,1.2437059391505118e-20,True,True,47,35,43
Pooled,syn_aux_ratio,syn,9.539837395312343,9.295815090388403e-21,0.04471283672758769,0.02687600356042166,0.04,0.0,0.44231889777711964,0.44231889777711964,AD>HC,4.36903309248255e-19,4.854481213869499e-20,True,True,47,35,43
Pooled,len_syllable_count,len,-9.29300753277601,3.298840004131384e-20,171.22454672245468,320.5054525627045,118.0,143.0,-0.3538558721510807,0.3538558721510807,AD<HC,1.5504548019417504e-18,1.5504548019417504e-19,True,True,47,35,43
