language_code,language,feature_source,rank,feature_name
en,English,permutation,1,lex_std_token_length
en,English,permutation,2,syn_num_ratio
en,English,permutation,3,syn_mean_dependency_length
en,English,permutation,4,syn_utterance_count
en,English,permutation,5,syn_std_dependency_length
en,English,permutation,6,disc_immediate_repetition_count
en,English,permutation,7,syn_clause_density
en,English,permutation,8,disc_repeated_unigram_ratio
en,English,permutation,9,syn_pronoun_noun_ratio
en,English,permutation,10,syn_pronoun_ratio
en,English,permutation,11,syn_subordination_ratio
en,English,permutation,12,disc_mean_pairwise_utt_similarity
en,English,permutation,13,len_utterance_count
en,English,permutation,14,pause_filled_count
en,English,permutation,15,graph_density
en,English,permutation,16,lex_repetition_rate
en,English,welch_bonferroni_d,1,syn_mean_dependency_length
en,English,welch_bonferroni_d,2,syn_std_dependency_length
en,English,welch_bonferroni_d,3,syn_obl_ratio
en,English,welch_bonferroni_d,4,syn_max_dependency_length
en,English,welch_bonferroni_d,5,syn_num_ratio
en,English,welch_bonferroni_d,6,syn_mean_tree_depth
en,English,welch_bonferroni_d,7,syn_interjection_ratio
en,English,welch_bonferroni_d,8,syn_determiner_noun_ratio
en,English,welch_bonferroni_d,9,syn_subordination_ratio
en,English,welch_bonferroni_d,10,len_tokens_per_utterance
en,English,welch_bonferroni_d,11,len_mean_utterance_length
en,English,welch_bonferroni_d,12,syn_mean_utterance_length_words
en,English,welch_bonferroni_d,13,syn_aux_verb_ratio
en,English,welch_bonferroni_d,14,syn_clause_density
en,English,welch_bonferroni_d,15,syn_max_tree_depth
en,English,welch_bonferroni_d,16,len_utterance_count
zh,Chinese,permutation,1,lex_mattr_20
zh,Chinese,permutation,2,len_speech_duration
zh,Chinese,permutation,3,ac_egemaps_slopeuv0_500_sma3nz_amean
zh,Chinese,permutation,4,ac_mfcc_3_std
zh,Chinese,permutation,5,syn_determiner_ratio
zh,Chinese,permutation,6,ac_egemaps_mfcc2_sma3_stddevnorm
zh,Chinese,permutation,7,pause_filled_count
zh,Chinese,permutation,8,ac_mfcc_1_std
zh,Chinese,permutation,9,ac_zcr_mean
zh,Chinese,permutation,10,syn_pronoun_ratio
zh,Chinese,permutation,11,disc_repeated_bigram_ratio
zh,Chinese,permutation,12,len_tokens_per_utterance
zh,Chinese,permutation,13,syn_max_tree_depth
zh,Chinese,permutation,14,ac_f0_mean
zh,Chinese,permutation,15,ac_f0_std
zh,Chinese,permutation,16,syn_max_dependency_length
zh,Chinese,welch_bonferroni_d,1,ac_egemaps_alpharatiov_sma3nz_amean
zh,Chinese,welch_bonferroni_d,2,ac_egemaps_logrelf0_h1_a3_sma3nz_amean
zh,Chinese,welch_bonferroni_d,3,ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm
zh,Chinese,welch_bonferroni_d,4,ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope
zh,Chinese,welch_bonferroni_d,5,ac_egemaps_mfcc1v_sma3nz_amean
zh,Chinese,welch_bonferroni_d,6,ac_egemaps_slopeuv500_1500_sma3nz_amean
zh,Chinese,welch_bonferroni_d,7,ac_mfcc_3_mean
zh,Chinese,welch_bonferroni_d,8,ac_egemaps_hammarbergindexv_sma3nz_amean
zh,Chinese,welch_bonferroni_d,9,ac_egemaps_f2bandwidth_sma3nz_stddevnorm
zh,Chinese,welch_bonferroni_d,10,ac_egemaps_f3bandwidth_sma3nz_stddevnorm
zh,Chinese,welch_bonferroni_d,11,ac_egemaps_slopev500_1500_sma3nz_amean
zh,Chinese,welch_bonferroni_d,12,ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0
zh,Chinese,welch_bonferroni_d,13,ac_egemaps_jitterlocal_sma3nz_amean
zh,Chinese,welch_bonferroni_d,14,ac_mfcc_2_std
zh,Chinese,welch_bonferroni_d,15,ac_egemaps_hnrdbacf_sma3nz_amean
zh,Chinese,welch_bonferroni_d,16,ac_egemaps_mfcc1_sma3_amean
el,Greek,permutation,1,ac_egemaps_loudness_sma3_stddevrisingslope
el,Greek,permutation,2,ac_egemaps_jitterlocal_sma3nz_stddevnorm
el,Greek,permutation,3,ac_egemaps_spectralfluxv_sma3nz_stddevnorm
el,Greek,permutation,4,ac_egemaps_slopev0_500_sma3nz_amean
el,Greek,permutation,5,ac_mfcc_5_std
el,Greek,permutation,6,ac_egemaps_spectralfluxv_sma3nz_amean
el,Greek,permutation,7,syn_determiner_ratio
el,Greek,permutation,8,ac_egemaps_f3frequency_sma3nz_amean
el,Greek,permutation,9,len_std_utterance_length
el,Greek,permutation,10,ac_rms_mean
el,Greek,permutation,11,ac_egemaps_slopev500_1500_sma3nz_stddevnorm
el,Greek,permutation,12,ac_egemaps_mfcc1_sma3_stddevnorm
el,Greek,permutation,13,ac_egemaps_hammarbergindexv_sma3nz_amean
el,Greek,permutation,14,syn_mean_tree_depth
el,Greek,permutation,15,ac_egemaps_mfcc4_sma3_amean
el,Greek,permutation,16,ac_egemaps_meanvoicedsegmentlengthsec
el,Greek,welch_bonferroni_d,1,ac_egemaps_loudness_sma3_stddevfallingslope
el,Greek,welch_bonferroni_d,2,ac_egemaps_loudness_sma3_stddevrisingslope
el,Greek,welch_bonferroni_d,3,ac_rms_std
el,Greek,welch_bonferroni_d,4,ac_egemaps_loudness_sma3_meanrisingslope
el,Greek,welch_bonferroni_d,5,ac_egemaps_loudness_sma3_meanfallingslope
el,Greek,welch_bonferroni_d,6,ac_egemaps_equivalentsoundlevel_dbp
el,Greek,welch_bonferroni_d,7,ac_egemaps_loudness_sma3_pctlrange0_2
el,Greek,welch_bonferroni_d,8,ac_egemaps_loudness_sma3_percentile80_0
el,Greek,welch_bonferroni_d,9,ac_egemaps_spectralfluxv_sma3nz_stddevnorm
es,Spanish,permutation,1,lex_mattr_10
es,Spanish,permutation,2,graph_average_degree
es,Spanish,permutation,3,lex_mattr_20
es,Spanish,permutation,4,lex_std_token_length
es,Spanish,permutation,5,disc_mean_pairwise_utt_similarity
es,Spanish,permutation,6,disc_repeated_unigram_ratio
es,Spanish,permutation,7,lex_mean_token_length
es,Spanish,permutation,8,disc_repeated_bigram_ratio
es,Spanish,permutation,9,len_std_utterance_length
es,Spanish,permutation,10,disc_semantic_drift
es,Spanish,permutation,11,syn_part_ratio
es,Spanish,permutation,12,syn_clause_density
es,Spanish,permutation,13,syn_advmod_ratio
es,Spanish,permutation,14,syn_adv_ratio
es,Spanish,permutation,15,syn_pronoun_ratio
es,Spanish,permutation,16,syn_amod_ratio
es,Spanish,welch_bonferroni_d,1,lex_mean_token_length
es,Spanish,welch_bonferroni_d,2,syn_determiner_ratio
es,Spanish,welch_bonferroni_d,3,syn_noun_ratio
es,Spanish,welch_bonferroni_d,4,lex_type_token_ratio
es,Spanish,welch_bonferroni_d,5,disc_repeated_unigram_ratio
es,Spanish,welch_bonferroni_d,6,lex_repetition_rate
es,Spanish,welch_bonferroni_d,7,lex_lemma_type_token_ratio
es,Spanish,welch_bonferroni_d,8,syn_pronoun_noun_ratio
es,Spanish,welch_bonferroni_d,9,lex_brunet
es,Spanish,welch_bonferroni_d,10,lex_std_token_length
es,Spanish,welch_bonferroni_d,11,lex_hapax_ratio
es,Spanish,welch_bonferroni_d,12,syn_pronoun_ratio
es,Spanish,welch_bonferroni_d,13,graph_average_degree
es,Spanish,welch_bonferroni_d,14,disc_repeated_bigram_ratio
es,Spanish,welch_bonferroni_d,15,graph_node_count
es,Spanish,welch_bonferroni_d,16,len_type_count
