language_code,language,ranking_method,top_k,anova_features,welch_features,overlap,overlap_pct_of_welch
en,English,welch,10,10,10,6,0.6
en,English,welch,25,25,25,15,0.6
en,English,welch,50,50,50,38,0.76
en,English,welch,100,100,70,62,0.8857142857142857
en,English,welch_bonferroni,10,10,10,5,0.5
en,English,welch_bonferroni,25,25,25,14,0.56
en,English,welch_bonferroni,50,50,50,39,0.78
en,English,welch_bonferroni,100,100,70,62,0.8857142857142857
es,Spanish,welch,10,10,10,5,0.5
es,Spanish,welch,25,25,25,16,0.64
es,Spanish,welch,50,50,50,40,0.8
es,Spanish,welch,100,69,69,69,1.0
es,Spanish,welch_bonferroni,10,10,10,5,0.5
es,Spanish,welch_bonferroni,25,25,25,17,0.68
es,Spanish,welch_bonferroni,50,50,50,40,0.8
es,Spanish,welch_bonferroni,100,69,69,69,1.0
zh,Chinese,welch,10,10,10,4,0.4
zh,Chinese,welch,25,25,25,13,0.52
zh,Chinese,welch,50,50,50,26,0.52
zh,Chinese,welch,100,100,100,64,0.64
zh,Chinese,welch_bonferroni,10,10,10,3,0.3
zh,Chinese,welch_bonferroni,25,25,25,12,0.48
zh,Chinese,welch_bonferroni,50,50,50,26,0.52
zh,Chinese,welch_bonferroni,100,100,100,61,0.61
el,Greek,welch,10,10,10,6,0.6
el,Greek,welch,25,25,25,13,0.52
el,Greek,welch,50,50,50,28,0.56
el,Greek,welch,100,100,100,66,0.66
el,Greek,welch_bonferroni,10,10,10,6,0.6
el,Greek,welch_bonferroni,25,25,25,13,0.52
el,Greek,welch_bonferroni,50,50,50,29,0.58
el,Greek,welch_bonferroni,100,100,100,65,0.65
