run_name,subset,top_k,num_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,language_code,language,ranking_method,ranking_description,tested_features,bonferroni_significant_features,fdr_significant_features
language_en_all_rich,all_universal,100,100,rf,n200,0.8618556701030928,0.7218514755461137,0.7643257591691386,0.4491525423728814,0.994550408719346,0.9636363636363636,0.8399990763404609,0.7482971874767876,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,all,193,rf,n200,0.8577319587628865,0.7076271186440678,0.7504492882230558,0.4152542372881356,1.0,1.0,0.8464185101371635,0.7575252936328692,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,50,50,rf,n200,0.843298969072165,0.7067150048492126,0.7407876230661041,0.4406779661016949,0.9727520435967304,0.8387096774193549,0.8354038701334688,0.7337492770421522,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,20,20,rf,n200,0.8412371134020619,0.7082274973444789,0.7406975371647191,0.4491525423728814,0.9673024523160764,0.8153846153846154,0.7784718052925692,0.6929337283029876,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,5,5,rf,n200,0.8391752577319588,0.7068650995243153,0.7384251576501826,0.4491525423728814,0.9645776566757494,0.803030303030303,0.775469911790514,0.5929821726933466,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,50,50,svm,rbf_c1,0.8185567010309278,0.7392393663695562,0.7461699495670377,0.5847457627118644,0.8937329700272479,0.6388888888888888,0.8074054403546852,0.6539294706683805,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,20,20,svm,rbf_c1,0.8164948453608247,0.7378769685493927,0.7440724293108661,0.5847457627118644,0.8910081743869209,0.6330275229357798,0.817992887821549,0.6694473833752657,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,100,100,svm,rbf_c1,0.8103092783505155,0.7337897750889022,0.7378378378378379,0.5847457627118644,0.8828337874659401,0.6160714285714286,0.8168844963746364,0.680146154385161,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,10,10,rf,n200,0.8041237113402062,0.6779545559506766,0.6974343483428662,0.4322033898305085,0.9237057220708448,0.6455696202531646,0.7681383641989564,0.6387741448307488,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,all,193,svm,rbf_c1,0.8,0.7327275666189442,0.7307236604868668,0.6016949152542372,0.8637602179836512,0.5867768595041323,0.8108576178820488,0.697235337672189,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,5,5,svm,rbf_c1,0.7896907216494845,0.6684177712095322,0.683420365535248,0.4322033898305085,0.904632152588556,0.5930232558139535,0.7333625825520712,0.556868057571397,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
