language,ranking_method,top_k,accuracy_mean,accuracy_sd,n_seeds,most_common_model,most_common_model_count
Chinese,anova,10,0.764295210325961,0.05066418556134227,15,RF,11
Chinese,anova,100,0.8424686674387923,0.03307077062323065,15,RF,7
Chinese,anova,20,0.7846211825670034,0.05166647227880198,15,RF,9
Chinese,anova,5,0.7212233092109825,0.06301949292853612,15,RF,10
Chinese,anova,50,0.8072006733100735,0.05180673011339076,15,RF,11
Chinese,anova,all,0.8440867899105292,0.027163349822977682,15,RF,8
Chinese,welch,10,0.7463858746709455,0.050400585682459274,15,RF,7
Chinese,welch,100,0.8476993597845162,0.03191792307249672,15,RF,8
Chinese,welch,20,0.7751561762505629,0.049210757969449466,15,SVM,8
Chinese,welch,5,0.6937099973768699,0.0649539305040749,15,RF,9
Chinese,welch,50,0.8371523806838149,0.036622380466682224,15,SVM,7
Chinese,welch,all,0.8440867899105292,0.027163349822977682,15,RF,8
Chinese,welch_bonferroni,10,0.7469331466546651,0.04423919650863713,15,RF,9
Chinese,welch_bonferroni,100,0.8552459573736283,0.032823972829924546,15,LR,6
Chinese,welch_bonferroni,20,0.7717527825892012,0.049834520968181174,15,SVM,9
Chinese,welch_bonferroni,5,0.7065099178041462,0.06927074927335779,15,RF,12
Chinese,welch_bonferroni,50,0.8450146396946676,0.04082802675384827,15,SVM,6
Chinese,welch_bonferroni,all,0.8440867899105292,0.027163349822977682,15,RF,8
English,anova,10,0.8352062804198501,0.010282587313040116,15,RF,12
English,anova,100,0.846727960826519,0.011178119890094394,15,RF,11
English,anova,20,0.8275760172710541,0.010970704343272169,15,RF,8
English,anova,5,0.8215333662201182,0.01222032016279616,15,RF,14
English,anova,50,0.8450764693035266,0.009440288714388314,15,RF,13
English,anova,all,0.8502138578529359,0.011668091275946448,15,RF,13
English,welch,10,0.8195076002153765,0.014828444029008092,15,RF,8
English,welch,100,0.8483325752928117,0.01107424354351768,15,RF,14
English,welch,20,0.8317634267781163,0.00979880631443749,15,LR,11
English,welch,5,0.8115114063590713,0.01154832404838744,15,RF,15
English,welch,50,0.8433116961140646,0.010374078382252183,15,RF,14
English,welch,all,0.8502138578529359,0.011668091275946448,15,RF,13
English,welch_bonferroni,10,0.8271961682745527,0.010976680910158965,15,RF,11
English,welch_bonferroni,100,0.8487532672567487,0.011694207111357928,15,RF,13
English,welch_bonferroni,20,0.8353244870336771,0.010764152048774418,15,LR,9
English,welch_bonferroni,5,0.8169550734983552,0.011448936228193487,15,LR,7
English,welch_bonferroni,50,0.8427549824714576,0.009967000577337229,15,RF,11
English,welch_bonferroni,all,0.8502138578529359,0.011668091275946448,15,RF,13
Greek,anova,10,0.7389277280672834,0.06877222313796304,15,RF,6
Greek,anova,100,0.8185822220938392,0.054859435911864755,15,RF,13
Greek,anova,20,0.7760075300854123,0.03437920808636469,15,RF,10
Greek,anova,5,0.7366276051988919,0.05315211509169201,15,RF,6
Greek,anova,50,0.7924652513566971,0.06899939818098512,15,RF,8
Greek,anova,all,0.8159885003947138,0.06445963163296875,15,RF,10
Greek,welch,10,0.7360185362843222,0.047441211488184844,15,RF,7
Greek,welch,100,0.7980118190225169,0.046343389417011646,15,RF,10
Greek,welch,20,0.7595348762922011,0.05588168649341983,15,RF,8
Greek,welch,5,0.7468611589400281,0.052591216157100135,15,LR,7
Greek,welch,50,0.7697317022605012,0.06227739645649187,15,RF,7
Greek,welch,all,0.8159885003947138,0.06445963163296875,15,RF,10
Greek,welch_bonferroni,10,0.7264070406165077,0.05789571543895508,15,RF,8
Greek,welch_bonferroni,100,0.7902749365771802,0.05053524260670145,15,RF,6
Greek,welch_bonferroni,20,0.7543298774392293,0.05519742431258189,15,RF,12
Greek,welch_bonferroni,5,0.7468611589400281,0.052591216157100135,15,LR,7
Greek,welch_bonferroni,50,0.7770661089071876,0.0533712142736068,15,RF,8
Greek,welch_bonferroni,all,0.8159885003947138,0.06445963163296875,15,RF,10
Spanish,anova,10,0.7412937612921547,0.046341634785101206,15,LR,9
Spanish,anova,100,0.7577692598145681,0.04462146681330526,15,LR,8
Spanish,anova,20,0.745399351924564,0.05321130263891278,15,LR,8
Spanish,anova,5,0.7419606873842025,0.056637031949963335,15,RF,7
Spanish,anova,50,0.7522530791608566,0.0430556261802767,15,RF,9
Spanish,anova,all,0.7552585398505532,0.04418856445989041,15,LR,10
Spanish,welch,10,0.7003220328957588,0.04712904968639982,15,LR,12
Spanish,welch,100,0.7575732093080797,0.04330364470301832,15,LR,9
Spanish,welch,20,0.7006019425842588,0.05828608307605221,15,LR,10
Spanish,welch,5,0.6996442841957252,0.04241112461211444,15,LR,8
Spanish,welch,50,0.7343461852559493,0.05414134891516648,15,LR,10
Spanish,welch,all,0.7552585398505532,0.04418856445989041,15,LR,10
Spanish,welch_bonferroni,10,0.7007553131535503,0.05282580502355695,15,LR,7
Spanish,welch_bonferroni,100,0.7602124244575988,0.04844515254772446,15,RF,7
Spanish,welch_bonferroni,20,0.7122233644978851,0.04527170459551003,15,LR,6
Spanish,welch_bonferroni,5,0.7046221006876185,0.05233426568188236,15,LR,7
Spanish,welch_bonferroni,50,0.7390458664945648,0.056295524450990994,15,LR,9
Spanish,welch_bonferroni,all,0.7552585398505532,0.04418856445989041,15,LR,10
