language,ranking_method,top_k,accuracy_mean,accuracy_sd,n_seeds,most_common_model,most_common_model_count
Chinese,anova,10,0.7585393780425559,0.05218259757480495,15,RF,12
Chinese,anova,100,0.841703964550255,0.03893589029800418,15,RF,6
Chinese,anova,20,0.7810157332732682,0.049838990402918754,15,RF,11
Chinese,anova,5,0.7152126739812678,0.0734001044179862,15,RF,11
Chinese,anova,50,0.8001829748546087,0.059791938006270695,15,RF,10
Chinese,anova,all,0.8409652393278176,0.030983575811132154,15,RF,7
Chinese,welch,10,0.7359316662152807,0.06557571693013217,15,RF,6
Chinese,welch,100,0.8415159004988245,0.03751825807380671,15,RF,6
Chinese,welch,20,0.7714361507828841,0.054205344972187465,15,SVM,7
Chinese,welch,5,0.6927708694457034,0.08842527503488236,15,RF,10
Chinese,welch,50,0.8390967199719127,0.034691590572377154,15,SVM,7
Chinese,welch,all,0.8409652393278176,0.030983575811132154,15,RF,7
Chinese,welch_bonferroni,10,0.7281670096384193,0.05416166465706942,15,RF,11
Chinese,welch_bonferroni,100,0.8390946101550842,0.04262829045152747,15,RF,7
Chinese,welch_bonferroni,20,0.770894190995736,0.053060645276070455,15,SVM,11
Chinese,welch_bonferroni,5,0.6895241042990842,0.06685050728558,15,RF,11
Chinese,welch_bonferroni,50,0.8389074971566605,0.03065455338034867,15,SVM,6
Chinese,welch_bonferroni,all,0.8409652393278176,0.030983575811132154,15,RF,7
English,anova,10,0.7868991898979861,0.016575236499407554,15,RF,10
English,anova,100,0.8464877639072423,0.009412560883813053,15,RF,15
English,anova,20,0.8199701286349689,0.013542639084117274,15,RF,15
English,anova,5,0.8202193107484728,0.014234978230240343,15,RF,15
English,anova,50,0.8411924495164842,0.010606937318997338,15,RF,15
English,anova,all,0.8473437790191365,0.010012464552838551,15,RF,15
English,welch,10,0.8127969141191507,0.02015328680311972,15,RF,8
English,welch,100,0.845874443925654,0.010728682220917135,15,RF,15
English,welch,20,0.8208416614368974,0.010887996746860874,15,RF,13
English,welch,5,0.8125154212303989,0.010109762718776035,15,RF,15
English,welch,50,0.8397416681601662,0.01064640898966752,15,RF,15
English,welch,all,0.8473437790191365,0.010012464552838551,15,RF,15
English,welch_bonferroni,10,0.8257590491342142,0.013899379301986488,15,RF,15
English,welch_bonferroni,100,0.8449167608682961,0.009293161157047739,15,RF,15
English,welch_bonferroni,20,0.829206933830886,0.013164190711262496,15,RF,15
English,welch_bonferroni,5,0.7834399644952027,0.017592266562136926,15,SVM,8
English,welch_bonferroni,50,0.8407400492694318,0.010617700709477797,15,RF,15
English,welch_bonferroni,all,0.8473437790191365,0.010012464552838551,15,RF,15
Greek,anova,10,0.7413529590801491,0.06772895047553368,15,RF,9
Greek,anova,100,0.7988679599193437,0.05673163520098701,15,RF,10
Greek,anova,20,0.7810605726041686,0.048269514834478784,15,RF,10
Greek,anova,5,0.7247541560212813,0.0825430726630888,15,RF,7
Greek,anova,50,0.8001993082866463,0.05585415903485681,15,RF,8
Greek,anova,all,0.8097554740725103,0.0479721259033152,15,RF,13
Greek,welch,10,0.7436236774392054,0.048763281261879975,15,RF,8
Greek,welch,100,0.8030717280806242,0.04798731887856063,15,RF,9
Greek,welch,20,0.7542352121416248,0.04967431098724702,15,RF,12
Greek,welch,5,0.7371125914005733,0.047878082870057785,15,RF,10
Greek,welch,50,0.7763243463539191,0.048140005173585514,15,RF,10
Greek,welch,all,0.8097554740725103,0.0479721259033152,15,RF,13
Greek,welch_bonferroni,10,0.7330208719979582,0.04754772013185576,15,RF,6
Greek,welch_bonferroni,100,0.7943362235428919,0.05143668946776958,15,RF,8
Greek,welch_bonferroni,20,0.7485849658957344,0.058676526741760396,15,RF,8
Greek,welch_bonferroni,5,0.7384731356182604,0.05033660776390653,15,RF,11
Greek,welch_bonferroni,50,0.7736385540805454,0.049294095308389935,15,RF,10
Greek,welch_bonferroni,all,0.8097554740725103,0.0479721259033152,15,RF,13
Spanish,anova,10,0.7255607663745576,0.05791167545150834,15,RF,11
Spanish,anova,100,0.7480248237266991,0.04042187611870925,15,RF,10
Spanish,anova,20,0.7298932980374017,0.05344349239774323,15,RF,6
Spanish,anova,5,0.7139675958730912,0.059215900872659516,15,RF,14
Spanish,anova,50,0.738722152080849,0.04776856428492692,15,RF,8
Spanish,anova,all,0.7467662018716413,0.043132789326172497,15,RF,12
Spanish,welch,10,0.6827087019808445,0.04884930068400155,15,SVM,6
Spanish,welch,100,0.7496275909387214,0.038307372003077406,15,RF,11
Spanish,welch,20,0.6721391495520248,0.06551222842927501,15,SVM,9
Spanish,welch,5,0.6792432961619995,0.045931024013353104,15,SVM,10
Spanish,welch,50,0.7198129643509238,0.05328508597286815,15,RF,10
Spanish,welch,all,0.7467662018716413,0.043132789326172497,15,RF,12
Spanish,welch_bonferroni,10,0.6888935818753983,0.05867549533636634,15,SVM,6
Spanish,welch_bonferroni,100,0.7545945388346773,0.04783262892295741,15,RF,10
Spanish,welch_bonferroni,20,0.6906878686933652,0.04596517009276822,15,SVM,7
Spanish,welch_bonferroni,5,0.6848107471521867,0.06356186581575246,15,SVM,7
Spanish,welch_bonferroni,50,0.7259275147136208,0.05492158092439351,15,RF,5
Spanish,welch_bonferroni,all,0.7467662018716413,0.043132789326172497,15,RF,12
