language_code,language,seed,ranking_method,top_k,num_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
en,English,42,anova,5,5,485,381,RF,0.8412371134020619,{'clf__n_estimators': 100},0.7890558851534462
en,English,42,anova,10,10,485,381,RF,0.8020618556701031,{'clf__n_estimators': 100},0.7582216362704168
en,English,42,anova,20,20,485,381,RF,0.8391752577319588,{'clf__n_estimators': 50},0.8020068849337143
en,English,42,anova,50,50,485,381,RF,0.843298969072165,{'clf__n_estimators': 100},0.814459825679338
en,English,42,anova,100,100,485,381,RF,0.8618556701030928,{'clf__n_estimators': 200},0.7885182743719329
en,English,42,anova,all,193,485,381,RF,0.8577319587628865,{'clf__n_estimators': 200},0.7809463121658243
en,English,42,welch,5,5,485,381,RF,0.8185567010309278,{'clf__n_estimators': 200},0.8004072365047975
en,English,42,welch,10,10,485,381,SVM,0.7938144329896907,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7528367391782026
en,English,42,welch,20,20,485,381,RF,0.8329896907216495,{'clf__n_estimators': 50},0.8068834688346884
en,English,42,welch,50,50,485,381,RF,0.845360824742268,{'clf__n_estimators': 50},0.8177045338020947
en,English,42,welch,100,70,485,381,RF,0.8618556701030928,{'clf__n_estimators': 200},0.8241924851680948
en,English,42,welch,all,193,485,381,RF,0.8577319587628865,{'clf__n_estimators': 200},0.7809463121658243
en,English,42,welch_bonferroni,5,5,485,381,RF,0.797938144329897,{'clf__n_estimators': 100},0.7511946092433897
en,English,42,welch_bonferroni,10,10,485,381,RF,0.8329896907216495,{'clf__n_estimators': 100},0.8160931663370687
en,English,42,welch_bonferroni,20,20,485,381,RF,0.8309278350515464,{'clf__n_estimators': 50},0.8095920310554456
en,English,42,welch_bonferroni,50,50,485,381,RF,0.8515463917525773,{'clf__n_estimators': 200},0.8193290851827436
en,English,42,welch_bonferroni,100,70,485,381,RF,0.8556701030927835,{'clf__n_estimators': 50},0.8214868527063649
en,English,42,welch_bonferroni,all,193,485,381,RF,0.8577319587628865,{'clf__n_estimators': 200},0.7809463121658243
es,Spanish,42,anova,5,5,61,25,RF,0.7704918032786885,{'clf__n_estimators': 200},0.6493987049028678
es,Spanish,42,anova,10,10,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6321924144310823
es,Spanish,42,anova,20,20,61,25,RF,0.819672131147541,{'clf__n_estimators': 100},0.6233117483811286
es,Spanish,42,anova,50,50,61,25,RF,0.819672131147541,{'clf__n_estimators': 100},0.6364477335800185
es,Spanish,42,anova,100,69,61,25,RF,0.8032786885245902,{'clf__n_estimators': 50},0.6365402405180388
es,Spanish,42,anova,all,69,61,25,RF,0.7704918032786885,{'clf__n_estimators': 50},0.6276595744680852
es,Spanish,42,welch,5,5,61,25,SVM,0.7213114754098361,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.6756706753006476
es,Spanish,42,welch,10,10,61,25,SVM,0.7213114754098361,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6757631822386679
es,Spanish,42,welch,20,20,61,25,SVM,0.7540983606557377,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.671322849213691
es,Spanish,42,welch,50,50,61,25,RF,0.8360655737704918,{'clf__n_estimators': 200},0.6102682701202589
es,Spanish,42,welch,100,69,61,25,RF,0.8032786885245902,{'clf__n_estimators': 100},0.6104532839962997
es,Spanish,42,welch,all,69,61,25,RF,0.7704918032786885,{'clf__n_estimators': 50},0.6276595744680852
es,Spanish,42,welch_bonferroni,5,5,61,25,LR,0.7213114754098361,{'clf__C': 0.1},0.654209065679926
es,Spanish,42,welch_bonferroni,10,10,61,25,RF,0.7377049180327869,{'clf__n_estimators': 50},0.6278445883441258
es,Spanish,42,welch_bonferroni,20,20,61,25,SVM,0.7704918032786885,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6669750231267344
es,Spanish,42,welch_bonferroni,50,50,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6061054579093432
es,Spanish,42,welch_bonferroni,100,69,61,25,RF,0.8524590163934426,{'clf__n_estimators': 200},0.6320074005550417
es,Spanish,42,welch_bonferroni,all,69,61,25,RF,0.7704918032786885,{'clf__n_estimators': 50},0.6276595744680852
zh,Chinese,42,anova,5,5,80,45,DT,0.65,{'clf__max_depth': 20},0.6540297339593114
zh,Chinese,42,anova,10,10,80,45,RF,0.7,{'clf__n_estimators': 50},0.7437010954616589
zh,Chinese,42,anova,20,20,80,45,SVM,0.8125,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7238654147104852
zh,Chinese,42,anova,50,50,80,45,LR,0.8125,{'clf__C': 1},0.7041471048513301
zh,Chinese,42,anova,100,100,80,45,LR,0.8125,{'clf__C': 10},0.7097809076682318
zh,Chinese,42,anova,all,192,80,45,LR,0.825,{'clf__C': 10},0.6931533646322379
zh,Chinese,42,welch,5,5,80,45,DT,0.6125,{'clf__max_depth': 10},0.6288732394366197
zh,Chinese,42,welch,10,10,80,45,RF,0.625,{'clf__n_estimators': 100},0.6931142410015649
zh,Chinese,42,welch,20,20,80,45,SVM,0.6875,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7068466353677622
zh,Chinese,42,welch,50,50,80,45,SVM,0.8125,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7378716744913928
zh,Chinese,42,welch,100,100,80,45,LR,0.85,{'clf__C': 0.1},0.6788732394366197
zh,Chinese,42,welch,all,192,80,45,LR,0.825,{'clf__C': 10},0.6931533646322379
zh,Chinese,42,welch_bonferroni,5,5,80,45,RF,0.6375,{'clf__n_estimators': 50},0.6735133020344288
zh,Chinese,42,welch_bonferroni,10,10,80,45,RF,0.6375,{'clf__n_estimators': 50},0.6791471048513303
zh,Chinese,42,welch_bonferroni,20,20,80,45,SVM,0.675,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.6874021909233176
zh,Chinese,42,welch_bonferroni,50,50,80,45,SVM,0.825,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7434663536776214
zh,Chinese,42,welch_bonferroni,100,100,80,45,LR,0.8125,{'clf__C': 10},0.6790297339593114
zh,Chinese,42,welch_bonferroni,all,192,80,45,LR,0.825,{'clf__C': 10},0.6931533646322379
el,Greek,42,anova,5,5,42,29,LR,0.7857142857142857,{'clf__C': 0.1},0.6643697478991596
el,Greek,42,anova,10,10,42,29,LR,0.7619047619047619,{'clf__C': 10},0.6524369747899159
el,Greek,42,anova,20,20,42,29,RF,0.7857142857142857,{'clf__n_estimators': 200},0.7109243697478991
el,Greek,42,anova,50,50,42,29,SVM,0.8095238095238095,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7917647058823529
el,Greek,42,anova,100,100,42,29,RF,0.8095238095238095,{'clf__n_estimators': 200},0.7223529411764705
el,Greek,42,anova,all,192,42,29,RF,0.8095238095238095,{'clf__n_estimators': 50},0.7458823529411764
el,Greek,42,welch,5,5,42,29,RF,0.7380952380952381,{'clf__n_estimators': 200},0.6931092436974791
el,Greek,42,welch,10,10,42,29,RF,0.7380952380952381,{'clf__n_estimators': 100},0.6647058823529413
el,Greek,42,welch,20,20,42,29,SVM,0.7619047619047619,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7226890756302521
el,Greek,42,welch,50,50,42,29,RF,0.8095238095238095,{'clf__n_estimators': 100},0.7342857142857142
