language,ranking_method,balanced_best_top_k,balanced_accuracy_mean,balanced_accuracy_sd,balanced_most_common_model,balanced_most_common_model_count,standard_best_top_k,standard_accuracy_mean,standard_accuracy_sd,standard_most_common_model,standard_most_common_model_count,delta_balanced_minus_standard_accuracy
Chinese,anova,100,0.841703964550255,0.03893589029800418,RF,6,all,0.8440867899105292,0.0271633498229776,RF,8,-0.002382825360274232
Chinese,welch,100,0.8415159004988245,0.03751825807380671,RF,6,100,0.8476993597845162,0.0319179230724967,RF,8,-0.006183459285691639
Chinese,welch_bonferroni,all,0.8409652393278176,0.030983575811132154,RF,7,100,0.8552459573736283,0.0328239728299245,LR,6,-0.014280718045810659
English,anova,all,0.8473437790191365,0.010012464552838551,RF,15,all,0.8502138578529359,0.0116680912759464,RF,13,-0.0028700788337994165
English,welch,all,0.8473437790191365,0.010012464552838551,RF,15,all,0.8502138578529359,0.0116680912759464,RF,13,-0.0028700788337994165
English,welch_bonferroni,all,0.8473437790191365,0.010012464552838551,RF,15,all,0.8502138578529359,0.0116680912759464,RF,13,-0.0028700788337994165
Greek,anova,all,0.8097554740725103,0.0479721259033152,RF,13,100,0.8185822220938392,0.0548594359118647,RF,13,-0.00882674802132899
Greek,welch,all,0.8097554740725103,0.0479721259033152,RF,13,all,0.8159885003947138,0.0644596316329687,RF,10,-0.006233026322203572
Greek,welch_bonferroni,all,0.8097554740725103,0.0479721259033152,RF,13,all,0.8159885003947138,0.0644596316329687,RF,10,-0.006233026322203572
Spanish,anova,100,0.7480248237266991,0.04042187611870925,RF,10,100,0.7577692598145681,0.0446214668133052,LR,8,-0.009744436087869013
Spanish,welch,100,0.7496275909387214,0.038307372003077406,RF,11,100,0.7575732093080797,0.0433036447030183,LR,9,-0.007945618369358254
Spanish,welch_bonferroni,100,0.7545945388346773,0.04783262892295741,RF,10,100,0.7602124244575988,0.0484451525477244,RF,7,-0.005617885622921537
