language_code,language,seed,ranking_method,top_k,num_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
en,English,42,anova,5,5,485,381,RF,0.8412371134020619,{'clf__n_estimators': 100},0.7890558851534462
en,English,42,anova,10,10,485,381,RF,0.845360824742268,{'clf__n_estimators': 50},0.811219512195122
en,English,42,anova,20,20,485,381,RF,0.8391752577319588,{'clf__n_estimators': 200},0.7879601552772284
en,English,42,anova,50,50,485,381,RF,0.8515463917525773,{'clf__n_estimators': 200},0.8031114040870138
en,English,42,anova,100,100,485,381,RF,0.8597938144329897,{'clf__n_estimators': 200},0.7652721013696623
en,English,42,anova,all,193,485,381,RF,0.8556701030927835,{'clf__n_estimators': 200},0.7587870797626894
en,English,42,welch,5,5,485,381,RF,0.8164948453608247,{'clf__n_estimators': 200},0.793920750018311
en,English,42,welch,10,10,485,381,DT,0.8206185567010309,{'clf__max_depth': 10},0.7555379770013916
en,English,42,welch,20,20,485,381,LR,0.845360824742268,{'clf__C': 0.1},0.793920750018311
en,English,42,welch,50,50,485,381,RF,0.8556701030927835,{'clf__n_estimators': 200},0.8009507068043653
en,English,42,welch,100,70,485,381,RF,0.8577319587628865,{'clf__n_estimators': 100},0.8052721013696624
en,English,42,welch,all,193,485,381,RF,0.8556701030927835,{'clf__n_estimators': 200},0.7587870797626894
en,English,42,welch_bonferroni,5,5,485,381,RF,0.8371134020618557,{'clf__n_estimators': 200},0.8085168094924192
en,English,42,welch_bonferroni,10,10,485,381,LR,0.8206185567010309,{'clf__C': 1},0.7782450743426353
en,English,42,welch_bonferroni,20,20,485,381,RF,0.843298969072165,{'clf__n_estimators': 200},0.8068966527503113
en,English,42,welch_bonferroni,50,50,485,381,RF,0.8494845360824742,{'clf__n_estimators': 50},0.8009477770453379
en,English,42,welch_bonferroni,100,70,485,381,RF,0.8577319587628865,{'clf__n_estimators': 100},0.805812641910203
en,English,42,welch_bonferroni,all,193,485,381,RF,0.8556701030927835,{'clf__n_estimators': 200},0.7587870797626894
es,Spanish,42,anova,5,5,61,25,RF,0.7868852459016393,{'clf__n_estimators': 100},0.6625346901017577
es,Spanish,42,anova,10,10,61,25,RF,0.7868852459016393,{'clf__n_estimators': 200},0.6193339500462535
es,Spanish,42,anova,20,20,61,25,RF,0.8360655737704918,{'clf__n_estimators': 200},0.6188714153561516
es,Spanish,42,anova,50,50,61,25,RF,0.7704918032786885,{'clf__n_estimators': 200},0.6623496762257168
es,Spanish,42,anova,100,69,61,25,RF,0.7868852459016393,{'clf__n_estimators': 200},0.6406105457909343
es,Spanish,42,anova,all,69,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6449583718778908
es,Spanish,42,welch,5,5,61,25,DT,0.7540983606557377,{'clf__max_depth': 10},0.597872340425532
es,Spanish,42,welch,10,10,61,25,LR,0.7213114754098361,{'clf__C': 0.1},0.6795559666975024
es,Spanish,42,welch,20,20,61,25,SVM,0.7540983606557377,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.671322849213691
es,Spanish,42,welch,50,50,61,25,LR,0.7868852459016393,{'clf__C': 0.1},0.653931544865865
es,Spanish,42,welch,100,69,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6448658649398704
es,Spanish,42,welch,all,69,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6449583718778908
es,Spanish,42,welch_bonferroni,5,5,61,25,LR,0.7377049180327869,{'clf__C': 0.1},0.6839037927844588
es,Spanish,42,welch_bonferroni,10,10,61,25,LR,0.7540983606557377,{'clf__C': 10},0.6839962997224791
es,Spanish,42,welch_bonferroni,20,20,61,25,SVM,0.7704918032786885,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6669750231267344
es,Spanish,42,welch_bonferroni,50,50,61,25,LR,0.819672131147541,{'clf__C': 1},0.6540240518038853
es,Spanish,42,welch_bonferroni,100,69,61,25,RF,0.8032786885245902,{'clf__n_estimators': 50},0.6580943570767809
es,Spanish,42,welch_bonferroni,all,69,61,25,RF,0.819672131147541,{'clf__n_estimators': 200},0.6449583718778908
zh,Chinese,42,anova,5,5,80,45,DT,0.7375,{'clf__max_depth': 10},0.6347417840375588
zh,Chinese,42,anova,10,10,80,45,DT,0.7625,{'clf__max_depth': 10},0.6656494522691706
zh,Chinese,42,anova,20,20,80,45,SVM,0.8125,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7238654147104852
zh,Chinese,42,anova,50,50,80,45,LR,0.8125,{'clf__C': 1},0.706924882629108
zh,Chinese,42,anova,100,100,80,45,RF,0.8125,{'clf__n_estimators': 100},0.7269953051643193
zh,Chinese,42,anova,all,192,80,45,RF,0.825,{'clf__n_estimators': 50},0.7130672926447574
zh,Chinese,42,welch,5,5,80,45,LR,0.6625,{'clf__C': 0.1},0.6150625978090767
zh,Chinese,42,welch,10,10,80,45,DT,0.7125,{'clf__max_depth': 20},0.5649061032863849
zh,Chinese,42,welch,20,20,80,45,RF,0.75,{'clf__n_estimators': 100},0.6626369327073552
zh,Chinese,42,welch,50,50,80,45,SVM,0.8125,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7378716744913928
zh,Chinese,42,welch,100,100,80,45,LR,0.85,{'clf__C': 0.1},0.6789906103286385
zh,Chinese,42,welch,all,192,80,45,RF,0.825,{'clf__n_estimators': 50},0.7130672926447574
zh,Chinese,42,welch_bonferroni,5,5,80,45,RF,0.7,{'clf__n_estimators': 200},0.6485133020344287
zh,Chinese,42,welch_bonferroni,10,10,80,45,RF,0.7375,{'clf__n_estimators': 100},0.6569640062597809
zh,Chinese,42,welch_bonferroni,20,20,80,45,RF,0.725,{'clf__n_estimators': 100},0.6514084507042254
zh,Chinese,42,welch_bonferroni,50,50,80,45,SVM,0.825,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7434663536776214
zh,Chinese,42,welch_bonferroni,100,100,80,45,LR,0.875,{'clf__C': 1},0.6733176838810642
zh,Chinese,42,welch_bonferroni,all,192,80,45,RF,0.825,{'clf__n_estimators': 50},0.7130672926447574
el,Greek,42,anova,5,5,42,29,SVM,0.7380952380952381,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7221848739495798
el,Greek,42,anova,10,10,42,29,LR,0.7380952380952381,{'clf__C': 10},0.682016806722689
el,Greek,42,anova,20,20,42,29,DT,0.8095238095238095,{'clf__max_depth': 10},0.6761344537815126
el,Greek,42,anova,50,50,42,29,SVM,0.8095238095238095,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7917647058823529
el,Greek,42,anova,100,100,42,29,DT,0.8571428571428571,{'clf__max_depth': 10},0.4984873949579832
el,Greek,42,anova,all,192,42,29,RF,0.8095238095238095,{'clf__n_estimators': 100},0.7453781512605041
el,Greek,42,welch,5,5,42,29,LR,0.7380952380952381,{'clf__C': 10},0.6636974789915966
el,Greek,42,welch,10,10,42,29,RF,0.7857142857142857,{'clf__n_estimators': 200},0.6647058823529413
el,Greek,42,welch,20,20,42,29,SVM,0.7619047619047619,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7226890756302521
el,Greek,42,welch,50,50,42,29,SVM,0.7857142857142857,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7109243697478991
el,Greek,42,welch,100,100,42,29,RF,0.7857142857142857,{'clf__n_estimators': 50},0.7514285714285714
el,Greek,42,welch,all,192,42,29,RF,0.8095238095238095,{'clf__n_estimators': 100},0.7453781512605041
el,Greek,42,welch_bonferroni,5,5,42,29,LR,0.7380952380952381,{'clf__C': 10},0.6636974789915966
el,Greek,42,welch_bonferroni,10,10,42,29,RF,0.8095238095238095,{'clf__n_estimators': 50},0.6589915966386555
el,Greek,42,welch_bonferroni,20,20,42,29,SVM,0.7380952380952381,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7221848739495799
el,Greek,42,welch_bonferroni,50,50,42,29,LR,0.7380952380952381,{'clf__C': 0.1},0.6536134453781512
el,Greek,42,welch_bonferroni,100,100,42,29,RF,0.7380952380952381,{'clf__n_estimators': 50},0.7102521008403362
el,Greek,42,welch_bonferroni,all,192,42,29,RF,0.8095238095238095,{'clf__n_estimators': 100},0.7453781512605041
en,English,43,anova,5,5,462,381,RF,0.8225108225108225,{'clf__n_estimators': 100},0.8001953654188949
en,English,43,anova,10,10,462,381,RF,0.8354978354978355,{'clf__n_estimators': 50},0.8097967914438502
en,English,43,anova,20,20,462,381,RF,0.8354978354978355,{'clf__n_estimators': 100},0.800685918003565
en,English,43,anova,50,50,462,381,RF,0.8484848484848485,{'clf__n_estimators': 100},0.8124563279857397
en,English,43,anova,100,100,462,381,RF,0.8528138528138528,{'clf__n_estimators': 200},0.7873868092691623
en,English,43,anova,all,193,462,381,RF,0.8528138528138528,{'clf__n_estimators': 50},0.7884549019607843
en,English,43,welch,5,5,462,381,RF,0.803030303030303,{'clf__n_estimators': 50},0.7841910873440285
en,English,43,welch,10,10,462,381,LR,0.8073593073593074,{'clf__C': 10},0.7836606060606061
en,English,43,welch,20,20,462,381,LR,0.8268398268398268,{'clf__C': 0.1},0.7980705882352941
en,English,43,welch,50,50,462,381,RF,0.8441558441558441,{'clf__n_estimators': 200},0.8028420677361854
en,English,43,welch,100,70,462,381,RF,0.8441558441558441,{'clf__n_estimators': 100},0.8097882352941177
en,English,43,welch,all,193,462,381,RF,0.8528138528138528,{'clf__n_estimators': 50},0.7884549019607843
en,English,43,welch_bonferroni,5,5,462,381,LR,0.816017316017316,{'clf__C': 10},0.7777868092691621
en,English,43,welch_bonferroni,10,10,462,381,RF,0.8333333333333334,{'clf__n_estimators': 100},0.8081711229946524
en,English,43,welch_bonferroni,20,20,462,381,LR,0.8311688311688312,{'clf__C': 10},0.7975215686274508
en,English,43,welch_bonferroni,50,50,462,381,LR,0.8398268398268398,{'clf__C': 0.1},0.8049910873440285
en,English,43,welch_bonferroni,100,70,462,381,RF,0.8484848484848485,{'clf__n_estimators': 200},0.8076520499108735
en,English,43,welch_bonferroni,all,193,462,381,RF,0.8528138528138528,{'clf__n_estimators': 50},0.7884549019607843
es,Spanish,43,anova,5,5,62,25,LR,0.7096774193548387,{'clf__C': 1},0.7043478260869565
es,Spanish,43,anova,10,10,62,25,LR,0.7258064516129032,{'clf__C': 0.1},0.6956521739130435
es,Spanish,43,anova,20,20,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.6956521739130436
es,Spanish,43,anova,50,50,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.7
es,Spanish,43,anova,100,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,anova,all,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch,5,5,62,25,LR,0.6935483870967742,{'clf__C': 1},0.6608695652173913
es,Spanish,43,welch,10,10,62,25,LR,0.6612903225806451,{'clf__C': 0.1},0.6695652173913043
es,Spanish,43,welch,20,20,62,25,LR,0.6290322580645161,{'clf__C': 10},0.6782608695652174
es,Spanish,43,welch,50,50,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.6434782608695652
es,Spanish,43,welch,100,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch,all,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch_bonferroni,5,5,62,25,LR,0.6774193548387096,{'clf__C': 1},0.6608695652173913
es,Spanish,43,welch_bonferroni,10,10,62,25,LR,0.6774193548387096,{'clf__C': 0.1},0.6695652173913043
es,Spanish,43,welch_bonferroni,20,20,62,25,LR,0.6935483870967742,{'clf__C': 10},0.6695652173913044
es,Spanish,43,welch_bonferroni,50,50,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.6434782608695652
es,Spanish,43,welch_bonferroni,100,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch_bonferroni,all,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
zh,Chinese,43,anova,5,5,78,45,DT,0.7692307692307693,{'clf__max_depth': 20},0.6089041095890411
zh,Chinese,43,anova,10,10,78,45,RF,0.782051282051282,{'clf__n_estimators': 200},0.6783866057838661
zh,Chinese,43,anova,20,20,78,45,RF,0.8076923076923077,{'clf__n_estimators': 100},0.6867199391171994
zh,Chinese,43,anova,50,50,78,45,SVM,0.8589743589743589,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7004566210045662
zh,Chinese,43,anova,100,100,78,45,LR,0.8974358974358975,{'clf__C': 1},0.7198630136986301
zh,Chinese,43,anova,all,192,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.667351598173516
zh,Chinese,43,welch,5,5,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6173515981735159
zh,Chinese,43,welch,10,10,78,45,SVM,0.8205128205128205,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.658675799086758
zh,Chinese,43,welch,20,20,78,45,SVM,0.8846153846153846,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6561263318112633
zh,Chinese,43,welch,50,50,78,45,LR,0.8846153846153846,{'clf__C': 10},0.728310502283105
zh,Chinese,43,welch,100,100,78,45,RF,0.8589743589743589,{'clf__n_estimators': 200},0.7006468797564688
zh,Chinese,43,welch,all,192,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.667351598173516
zh,Chinese,43,welch_bonferroni,5,5,78,45,RF,0.7692307692307693,{'clf__n_estimators': 100},0.6146118721461187
zh,Chinese,43,welch_bonferroni,10,10,78,45,RF,0.8076923076923077,{'clf__n_estimators': 50},0.6367199391171994
zh,Chinese,43,welch_bonferroni,20,20,78,45,SVM,0.8717948717948718,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6644596651445965
zh,Chinese,43,welch_bonferroni,50,50,78,45,LR,0.8846153846153846,{'clf__C': 10},0.7172374429223745
zh,Chinese,43,welch_bonferroni,100,100,78,45,SVM,0.8589743589743589,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.7031202435312023
zh,Chinese,43,welch_bonferroni,all,192,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.667351598173516
el,Greek,43,anova,5,5,43,29,LR,0.7441860465116279,{'clf__C': 10},0.691764705882353
el,Greek,43,anova,10,10,43,29,SVM,0.813953488372093,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6848739495798319
el,Greek,43,anova,20,20,43,29,RF,0.7906976744186046,{'clf__n_estimators': 100},0.7731092436974789
el,Greek,43,anova,50,50,43,29,RF,0.7906976744186046,{'clf__n_estimators': 50},0.7273949579831933
el,Greek,43,anova,100,100,43,29,RF,0.7674418604651163,{'clf__n_estimators': 100},0.7389915966386555
el,Greek,43,anova,all,192,43,29,LR,0.7674418604651163,{'clf__C': 0.1},0.6857142857142857
el,Greek,43,welch,5,5,43,29,RF,0.6976744186046512,{'clf__n_estimators': 200},0.7035294117647058
