feature_group,permutation_importance_mean,rank,run_name,language
len,0.0038910807476363,1,language_en_all_rich,en
lex,0.0022892324389229,2,language_en_all_rich,en
disc,0.002241798673009,3,language_en_all_rich,en
syn,-0.0001510455010989,4,language_en_all_rich,en
len,0.093313953488372,1,language_es_all_rich,es
disc,0.0768733850129198,2,language_es_all_rich,es
lex,0.0531294860752224,3,language_es_all_rich,es
syn,0.0316537467700258,4,language_es_all_rich,es
pause,0.0198592257415786,1,language_zh_all_rich,zh
len,0.0181753431753431,2,language_zh_all_rich,zh
lex,0.0162393162393161,3,language_zh_all_rich,zh
disc,0.0156220322886989,4,language_zh_all_rich,zh
syn,0.0102348269014935,5,language_zh_all_rich,zh
ac,-0.0023392857142857,1,language_el_all_rich,el
