feature_name,languages_present,num_languages,mean_rank,mean_importance,max_importance
lex_mattr_20,"en,es,zh",3,9.666666666666666,0.0455787082113096,0.0960594315245477
disc_repeated_bigram_ratio,"en,es,zh",3,14.0,0.021478438972989133,0.0381782945736434
lex_lemma_type_token_ratio,"en,es,zh",3,14.333333333333334,0.025966853025315966,0.050968992248062
lex_repetition_rate,"en,es,zh",3,19.333333333333332,0.0268363894690625,0.0608527131782945
lex_type_token_ratio,"en,es,zh",3,22.0,0.019213650450974666,0.037984496124031
lex_content_word_ratio,"en,es,zh",3,22.0,0.012884979912312267,0.0187338501291989
disc_repeated_unigram_ratio,"en,es,zh",3,22.333333333333332,0.0166512042838773,0.0302971576227389
lex_mattr_10,"en,es",2,4.0,0.036507899854780104,0.0638888888888888
len_type_count,"en,zh",2,6.5,0.02005168151429625,0.0322649572649571
lex_brunet,"en,es",2,10.0,0.0101059958989038,0.0123308548469033
disc_mean_pairwise_utt_similarity,"es,zh",2,12.5,0.0900467103955475,0.1621447028423772
len_token_count,"en,es",2,15.0,0.0101191944447725,0.0159560723514211
syn_pronoun_noun_ratio,"en,es",2,15.0,0.0090713689290716,0.0134366925064599
syn_pronoun_ratio,"es,zh",2,18.5,0.018555787451136202,0.019088319088319
syn_content_function_ratio,"en,zh",2,19.5,0.01521370218663885,0.0284900284900284
syn_noun_verb_ratio,"en,zh",2,22.5,0.0112795029948541,0.0202279202279201
len_std_utterance_length,es,1,1.0,0.1706718346253229,0.1706718346253229
len_speech_duration,zh,1,1.0,0.0512108262108261,0.0512108262108261
ac_egemaps_loudness_sma3_stddevnorm,el,1,1.0,0.0071428571428571,0.0071428571428571
pause_std_duration,zh,1,2.0,0.0450142450142449,0.0450142450142449
syn_amod_ratio,en,1,2.0,0.0117454856140026,0.0117454856140026
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,el,1,2.0,0.0035714285714285,0.0035714285714285
pause_articulation_rate_words_per_speaking_second,zh,1,3.0,0.0426638176638175,0.0426638176638175
