feature_name,permutation_importance_mean,permutation_importance_std,rank_metric,is_missingness_indicator
pause_median_duration,0.35763888888888895,0.054790742493262164,0.35763888888888895,False
len_tokens_per_second,0.2993055555555556,0.07312800062430697,0.2993055555555556,False
pause_pause_to_word_ratio,0.19583333333333336,0.07731758699842654,0.19583333333333336,False
len_audio_duration,0.1798611111111111,0.05191639914323797,0.1798611111111111,False
pause_iqr_duration,0.11319444444444446,0.0439260127801902,0.11319444444444446,False
pause_medium_count,0.1,0.05,0.1,False
len_speech_duration,0.07569444444444448,0.03560678817581742,0.07569444444444448,False
pause_to_speech_ratio,0.025,0.03061862178478973,0.025,False
pause_speaking_to_total_ratio,0.009722222222222266,0.006364688465216473,0.009722222222222266,False
pause_speech_rate_words_per_second,0.0,0.0,0.0,False
pause_long_count,0.0,0.0,0.0,False
len_syllables_per_second,0.0,0.0,0.0,False
pause_silence_ratio,0.0,0.0,0.0,False
pause_articulation_rate_words_per_speaking_second,0.0,0.0,0.0,False
pause_long_ratio,0.0,0.0,0.0,False
pause_filled_count,0.0,0.0,0.0,False
pause_filled_per_100_words,0.0,0.0,0.0,False
pause_total_duration,0.0,0.0,0.0,False
pause_mean_duration,0.0,0.0,0.0,False
pause_short_count,0.0,0.0,0.0,False
