feature_name,languages_present,num_languages,mean_rank,mean_importance,max_importance
pause_median_duration,zh,1,1.0,0.3576388888888889,0.3576388888888889
ac_egemaps_jitterlocal_sma3nz_amean,el,1,1.0,0.2075,0.2075
len_type_count,en,1,1.0,0.1424186941410129,0.1424186941410129
len_tokens_per_second,zh,1,2.0,0.2993055555555556,0.2993055555555556
ac_egemaps_loudness_sma3_stddevnorm,el,1,2.0,0.1908333333333333,0.1908333333333333
syn_num_ratio,en,1,2.0,0.1023709036742801,0.1023709036742801
pause_pause_to_word_ratio,zh,1,3.0,0.1958333333333333,0.1958333333333333
ac_mfcc_5_std,el,1,3.0,0.1883333333333333,0.1883333333333333
syn_determiner_ratio,en,1,3.0,0.1015330188679246,0.1015330188679246
len_audio_duration,zh,1,4.0,0.1798611111111111,0.1798611111111111
ac_egemaps_loudness_sma3_percentile50_0,el,1,4.0,0.17,0.17
syn_aux_ratio,en,1,4.0,0.0861066285998014,0.0861066285998014
ac_egemaps_mfcc4_sma3_stddevnorm,el,1,5.0,0.1325,0.1325
pause_iqr_duration,zh,1,5.0,0.1131944444444444,0.1131944444444444
lex_lemma_type_token_ratio,en,1,5.0,0.0584067775571003,0.0584067775571003
ac_mfcc_3_std,el,1,6.0,0.125,0.125
pause_medium_count,zh,1,6.0,0.1,0.1
len_token_count,en,1,6.0,0.0562096573982125,0.0562096573982125
ac_egemaps_mfcc2_sma3_amean,el,1,7.0,0.1208333333333333,0.1208333333333333
len_speech_duration,zh,1,7.0,0.0756944444444444,0.0756944444444444
syn_mean_dependency_length,en,1,7.0,0.0540963257199603,0.0540963257199603
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,el,1,8.0,0.1125,0.1125
syn_noun_ratio,en,1,8.0,0.0505678997020854,0.0505678997020854
pause_to_speech_ratio,zh,1,8.0,0.025,0.025
ac_mfcc_2_mean,el,1,9.0,0.1041666666666667,0.1041666666666667
syn_open_closed_ratio,en,1,9.0,0.0504034260178749,0.0504034260178749
pause_speaking_to_total_ratio,zh,1,9.0,0.0097222222222222,0.0097222222222222
ac_mfcc_2_std,el,1,10.0,0.0925,0.0925
lex_function_word_ratio,en,1,10.0,0.0464529543197617,0.0464529543197617
pause_speech_rate_words_per_second,zh,1,10.0,0.0,0.0
ac_egemaps_shimmerlocaldb_sma3nz_amean,el,1,11.0,0.0908333333333333,0.0908333333333333
syn_pronoun_ratio,en,1,11.0,0.0450626861966236,0.0450626861966236
pause_long_count,zh,1,11.0,0.0,0.0
ac_egemaps_f2bandwidth_sma3nz_stddevnorm,el,1,12.0,0.0883333333333333,0.0883333333333333
syn_pronoun_noun_ratio,en,1,12.0,0.0315851539225422,0.0315851539225422
len_syllables_per_second,zh,1,12.0,0.0,0.0
ac_egemaps_alpharatiov_sma3nz_stddevnorm,el,1,13.0,0.085,0.085
syn_determiner_noun_ratio,en,1,13.0,0.023345953326713,0.023345953326713
pause_silence_ratio,zh,1,13.0,0.0,0.0
ac_egemaps_spectralfluxuv_sma3nz_amean,el,1,14.0,0.0775,0.0775
syn_clause_density,en,1,14.0,0.0224335898709037,0.0224335898709037
pause_articulation_rate_words_per_speaking_second,zh,1,14.0,0.0,0.0
ac_zcr_mean,el,1,15.0,0.0758333333333333,0.0758333333333333
lex_content_word_ratio,en,1,15.0,0.0207423038728898,0.0207423038728898
pause_long_ratio,zh,1,15.0,0.0,0.0
ac_egemaps_alpharatiouv_sma3nz_amean,el,1,16.0,0.075,0.075
syn_adj_ratio,en,1,16.0,0.0165311569016882,0.0165311569016882
pause_filled_count,zh,1,16.0,0.0,0.0
ac_egemaps_loudness_sma3_pctlrange0_2,el,1,17.0,0.07,0.07
syn_content_function_ratio,en,1,17.0,0.016400819265144,0.016400819265144
