feature_name,permutation_importance_mean,permutation_importance_std,rank_metric,is_missingness_indicator,rank,run_name,language
len_type_count,0.1424186941410129,0.0234937383110223,0.1424186941410129,False,1,language_en_pd_ctp_rich,en
syn_num_ratio,0.1023709036742801,0.0079894384733903,0.1023709036742801,False,2,language_en_pd_ctp_rich,en
syn_determiner_ratio,0.1015330188679246,0.0161874368226609,0.1015330188679246,False,3,language_en_pd_ctp_rich,en
syn_aux_ratio,0.0861066285998014,0.0103584957136207,0.0861066285998014,False,4,language_en_pd_ctp_rich,en
lex_lemma_type_token_ratio,0.0584067775571003,0.0122266316116572,0.0584067775571003,False,5,language_en_pd_ctp_rich,en
len_token_count,0.0562096573982125,0.0232092265652123,0.0562096573982125,False,6,language_en_pd_ctp_rich,en
syn_mean_dependency_length,0.0540963257199603,0.0064039308432698,0.0540963257199603,False,7,language_en_pd_ctp_rich,en
syn_noun_ratio,0.0505678997020854,0.0099021408575848,0.0505678997020854,False,8,language_en_pd_ctp_rich,en
syn_open_closed_ratio,0.0504034260178749,0.0117960275901974,0.0504034260178749,False,9,language_en_pd_ctp_rich,en
lex_function_word_ratio,0.0464529543197617,0.0101034947367677,0.0464529543197617,False,10,language_en_pd_ctp_rich,en
syn_pronoun_ratio,0.0450626861966236,0.0110161217309803,0.0450626861966236,False,11,language_en_pd_ctp_rich,en
syn_pronoun_noun_ratio,0.0315851539225422,0.0079669747265051,0.0315851539225422,False,12,language_en_pd_ctp_rich,en
syn_determiner_noun_ratio,0.023345953326713,0.0073329596438362,0.023345953326713,False,13,language_en_pd_ctp_rich,en
syn_clause_density,0.0224335898709037,0.0074332062848725,0.0224335898709037,False,14,language_en_pd_ctp_rich,en
lex_content_word_ratio,0.0207423038728898,0.0082650493272082,0.0207423038728898,False,15,language_en_pd_ctp_rich,en
syn_adj_ratio,0.0165311569016882,0.0061130627674479,0.0165311569016882,False,16,language_en_pd_ctp_rich,en
syn_content_function_ratio,0.016400819265144,0.0118432717808982,0.016400819265144,False,17,language_en_pd_ctp_rich,en
syn_aux_verb_ratio,0.0143030039721946,0.0102110213499726,0.0143030039721946,False,18,language_en_pd_ctp_rich,en
lex_std_token_length,0.0107404419066534,0.0092477078444039,0.0107404419066534,False,19,language_en_pd_ctp_rich,en
syn_subordination_ratio,0.0090305362462761,0.0051855750396535,0.0090305362462761,False,20,language_en_pd_ctp_rich,en
syn_obl_ratio,0.0089560575968222,0.0084884833200547,0.0089560575968222,False,21,language_en_pd_ctp_rich,en
disc_repeated_trigram_ratio,0.0081957547169811,0.0041681632077704,0.0081957547169811,False,22,language_en_pd_ctp_rich,en
disc_semantic_drift,0.0075719960278053,0.0046253613266392,0.0075719960278053,False,23,language_en_pd_ctp_rich,en
disc_local_coherence,0.0075719960278053,0.0046253613266392,0.0075719960278053,False,24,language_en_pd_ctp_rich,en
disc_adjacent_utterance_similarity_mean,0.0075719960278053,0.0046253613266392,0.0075719960278053,False,25,language_en_pd_ctp_rich,en
syn_adp_ratio,0.006901688182721,0.0059757256173464,0.006901688182721,False,26,language_en_pd_ctp_rich,en
syn_adv_ratio,0.0066006703078451,0.0095637143682972,0.0066006703078451,False,27,language_en_pd_ctp_rich,en
lex_mean_token_length,0.0063182720953327,0.0035616428579299,0.0063182720953327,False,28,language_en_pd_ctp_rich,en
disc_adjacent_utterance_similarity_std,0.0062872393247269,0.0045709322295446,0.0062872393247269,False,29,language_en_pd_ctp_rich,en
syn_verb_ratio,0.0058372641509434,0.0057702505901477,0.0058372641509434,False,30,language_en_pd_ctp_rich,en
pause_median_duration,0.3576388888888889,0.0547907424932621,0.3576388888888889,False,1,language_zh_pd_ctp_rich,zh
len_tokens_per_second,0.2993055555555556,0.0731280006243069,0.2993055555555556,False,2,language_zh_pd_ctp_rich,zh
pause_pause_to_word_ratio,0.1958333333333333,0.0773175869984265,0.1958333333333333,False,3,language_zh_pd_ctp_rich,zh
len_audio_duration,0.1798611111111111,0.0519163991432379,0.1798611111111111,False,4,language_zh_pd_ctp_rich,zh
pause_iqr_duration,0.1131944444444444,0.0439260127801902,0.1131944444444444,False,5,language_zh_pd_ctp_rich,zh
pause_medium_count,0.1,0.05,0.1,False,6,language_zh_pd_ctp_rich,zh
len_speech_duration,0.0756944444444444,0.0356067881758174,0.0756944444444444,False,7,language_zh_pd_ctp_rich,zh
pause_to_speech_ratio,0.025,0.0306186217847897,0.025,False,8,language_zh_pd_ctp_rich,zh
pause_speaking_to_total_ratio,0.0097222222222222,0.0063646884652164,0.0097222222222222,False,9,language_zh_pd_ctp_rich,zh
pause_speech_rate_words_per_second,0.0,0.0,0.0,False,10,language_zh_pd_ctp_rich,zh
pause_long_count,0.0,0.0,0.0,False,11,language_zh_pd_ctp_rich,zh
len_syllables_per_second,0.0,0.0,0.0,False,12,language_zh_pd_ctp_rich,zh
pause_silence_ratio,0.0,0.0,0.0,False,13,language_zh_pd_ctp_rich,zh
pause_articulation_rate_words_per_speaking_second,0.0,0.0,0.0,False,14,language_zh_pd_ctp_rich,zh
pause_long_ratio,0.0,0.0,0.0,False,15,language_zh_pd_ctp_rich,zh
pause_filled_count,0.0,0.0,0.0,False,16,language_zh_pd_ctp_rich,zh
pause_filled_per_100_words,0.0,0.0,0.0,False,17,language_zh_pd_ctp_rich,zh
pause_total_duration,0.0,0.0,0.0,False,18,language_zh_pd_ctp_rich,zh
pause_mean_duration,0.0,0.0,0.0,False,19,language_zh_pd_ctp_rich,zh
pause_short_count,0.0,0.0,0.0,False,20,language_zh_pd_ctp_rich,zh
ac_egemaps_jitterlocal_sma3nz_amean,0.2075,0.070361171426039,0.2075,False,1,language_el_pd_ctp_rich,el
ac_egemaps_loudness_sma3_stddevnorm,0.1908333333333333,0.0639498501431655,0.1908333333333333,False,2,language_el_pd_ctp_rich,el
ac_mfcc_5_std,0.1883333333333333,0.0479003595439996,0.1883333333333333,False,3,language_el_pd_ctp_rich,el
ac_egemaps_loudness_sma3_percentile50_0,0.17,0.0385861230093007,0.17,False,4,language_el_pd_ctp_rich,el
ac_egemaps_mfcc4_sma3_stddevnorm,0.1325,0.0535477460880578,0.1325,False,5,language_el_pd_ctp_rich,el
ac_mfcc_3_std,0.125,0.0401386485959743,0.125,False,6,language_el_pd_ctp_rich,el
ac_egemaps_mfcc2_sma3_amean,0.1208333333333333,0.0652186493437438,0.1208333333333333,False,7,language_el_pd_ctp_rich,el
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,0.1125,0.0418744817546703,0.1125,False,8,language_el_pd_ctp_rich,el
ac_mfcc_2_mean,0.1041666666666667,0.0444487845103152,0.1041666666666667,False,9,language_el_pd_ctp_rich,el
ac_mfcc_2_std,0.0925,0.0409013039726934,0.0925,False,10,language_el_pd_ctp_rich,el
ac_egemaps_shimmerlocaldb_sma3nz_amean,0.0908333333333333,0.0517002578974869,0.0908333333333333,False,11,language_el_pd_ctp_rich,el
ac_egemaps_f2bandwidth_sma3nz_stddevnorm,0.0883333333333333,0.031446603773522,0.0883333333333333,False,12,language_el_pd_ctp_rich,el
ac_egemaps_alpharatiov_sma3nz_stddevnorm,0.085,0.0409606857581483,0.085,False,13,language_el_pd_ctp_rich,el
ac_egemaps_spectralfluxuv_sma3nz_amean,0.0775,0.0528427962082923,0.0775,False,14,language_el_pd_ctp_rich,el
ac_zcr_mean,0.0758333333333333,0.0409013039726934,0.0758333333333333,False,15,language_el_pd_ctp_rich,el
ac_egemaps_alpharatiouv_sma3nz_amean,0.075,0.0520416499866533,0.075,False,16,language_el_pd_ctp_rich,el
ac_egemaps_loudness_sma3_pctlrange0_2,0.07,0.0416999866773226,0.07,False,17,language_el_pd_ctp_rich,el
ac_egemaps_f3bandwidth_sma3nz_amean,0.0666666666666667,0.0381881307912986,0.0666666666666667,False,18,language_el_pd_ctp_rich,el
ac_egemaps_mfcc3_sma3_amean,0.0616666666666667,0.0519347881696096,0.0616666666666667,False,19,language_el_pd_ctp_rich,el
ac_egemaps_equivalentsoundlevel_dbp,0.0583333333333334,0.0408248290463863,0.0583333333333334,False,20,language_el_pd_ctp_rich,el
ac_egemaps_voicedsegmentspersec,0.0541666666666667,0.0190940653956493,0.0541666666666667,False,21,language_el_pd_ctp_rich,el
ac_zcr_std,0.0516666666666667,0.0254950975679639,0.0516666666666667,False,22,language_el_pd_ctp_rich,el
ac_egemaps_shimmerlocaldb_sma3nz_stddevnorm,0.05,0.0448763733927875,0.05,False,23,language_el_pd_ctp_rich,el
ac_egemaps_hnrdbacf_sma3nz_amean,0.0483333333333333,0.0404488703317053,0.0483333333333333,False,24,language_el_pd_ctp_rich,el
ac_egemaps_mfcc4v_sma3nz_amean,0.0475,0.0557835599039318,0.0475,False,25,language_el_pd_ctp_rich,el
ac_egemaps_f2bandwidth_sma3nz_amean,0.0458333333333333,0.0291666666666666,0.0458333333333333,False,26,language_el_pd_ctp_rich,el
ac_egemaps_f3bandwidth_sma3nz_stddevnorm,0.0458333333333333,0.0494764253626579,0.0458333333333333,False,27,language_el_pd_ctp_rich,el
ac_egemaps_f1bandwidth_sma3nz_amean,0.0458333333333333,0.0384147685720536,0.0458333333333333,False,28,language_el_pd_ctp_rich,el
ac_rms_std,0.0441666666666667,0.0453458928680426,0.0441666666666667,False,29,language_el_pd_ctp_rich,el
ac_egemaps_loudness_sma3_stddevrisingslope,0.0425,0.0274999999999999,0.0425,False,30,language_el_pd_ctp_rich,el
