run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_el_all_rich,acoustic_only,100,100,svm,rbf_c1,0.875,0.8485576923076923,0.8214285714285714,0.9285714285714286,0.9583333333333334,0.9336734693877552,0.9750417175417176,0.8571428571428571
language_el_all_rich,acoustic_only,all,105,svm,rbf_c1,0.875,0.8485576923076923,0.8214285714285714,0.9285714285714286,0.9583333333333334,0.9285714285714286,0.9729843941131306,0.8571428571428571
language_el_all_rich,acoustic_only,20,20,svm,rbf_c1,0.875,0.8485576923076923,0.8214285714285714,0.9285714285714286,0.9583333333333334,0.8877551020408163,0.9296621579173668,0.8571428571428571
language_el_all_rich,acoustic_only,50,50,svm,rbf_c1,0.8571428571428572,0.8253119429590018,0.7857142857142857,0.9285714285714286,0.9565217391304348,0.9311224489795918,0.9710214057191332,0.8333333333333334
language_el_all_rich,text_plus_pause_plus_acoustic,all,187,rf,n200,0.7857142857142858,0.800677966101695,0.9285714285714286,0.6428571428571429,0.8387096774193549,0.917091836734694,0.961094693329278,0.8333333333333334
language_el_all_rich,all_universal,all,192,rf,n200,0.8035714285714286,0.8089668615984404,0.8928571428571429,0.7142857142857143,0.8620689655172413,0.9056122448979592,0.9569944948723164,0.8333333333333334
language_el_all_rich,acoustic_only,100,100,rf,n200,0.8214285714285714,0.8156739811912226,0.8571428571428571,0.7857142857142857,0.8888888888888888,0.9005102040816326,0.9574195502320504,0.8333333333333334
language_el_all_rich,all_universal,5,5,lr,c1,0.8214285714285714,0.8156739811912226,0.8571428571428571,0.7857142857142857,0.8888888888888888,0.8520408163265306,0.9135644700739336,0.8333333333333334
language_el_all_rich,acoustic_only,5,5,lr,c1,0.8214285714285714,0.8156739811912226,0.8571428571428571,0.7857142857142857,0.8888888888888888,0.8520408163265306,0.9135644700739336,0.8333333333333334
language_el_all_rich,text_plus_pause_plus_acoustic,5,5,lr,c1,0.8214285714285714,0.8156739811912226,0.8571428571428571,0.7857142857142857,0.8888888888888888,0.8520408163265306,0.9135644700739336,0.8333333333333334
language_el_all_rich,text_plus_pause_plus_acoustic,100,100,rf,n200,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.9068877551020408,0.9528464513154686,0.8095238095238095
language_el_all_rich,acoustic_only,20,20,rf,n200,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.889030612244898,0.9468397755173228,0.8095238095238095
language_el_all_rich,all_universal,100,100,rf,n200,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8864795918367347,0.9423764488131796,0.8095238095238095
language_el_all_rich,acoustic_only,50,50,rf,n200,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8852040816326531,0.9485561372130618,0.8095238095238095
language_el_all_rich,all_universal,5,5,svm,linear_c1,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8724489795918366,0.9187268218309056,0.8095238095238095
language_el_all_rich,acoustic_only,5,5,svm,linear_c1,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8724489795918366,0.9187268218309056,0.8095238095238095
language_el_all_rich,text_plus_pause_plus_acoustic,5,5,svm,linear_c1,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8724489795918366,0.9187268218309056,0.8095238095238095
language_el_all_rich,all_universal,100,100,dt,depth20,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7857142857142858,0.8299319727891156,0.8095238095238095
language_el_all_rich,all_universal,50,50,rf,n200,0.75,0.7543859649122806,0.8571428571428571,0.6428571428571429,0.8275862068965517,0.8877551020408163,0.945447810269775,0.7857142857142857
language_el_all_rich,all_universal,100,100,lr,c1,0.8392857142857143,0.7826336975273145,0.6785714285714286,1.0,1.0,0.8852040816326531,0.9505922160425264,0.7857142857142857
