feature_name,f_score,p_value,rank_metric
syn_num_ratio,208.73412977053877,6.614295629179174e-45,208.73412977053877
syn_mean_dependency_length,157.86180047310924,8.414766841482361e-35,157.86180047310924
syn_propn_ratio,140.75281713398402,2.427131405149921e-31,140.75281713398402
syn_std_dependency_length,139.98060196439266,3.4835980334902077e-31,139.98060196439266
syn_max_dependency_length,125.35679143114146,3.3632528438239694e-28,125.35679143114146
syn_clause_density,116.9691427493163,1.777730776674559e-26,116.9691427493163
syn_subordination_ratio,114.28764160511656,6.345960960721867e-26,114.28764160511656
syn_interjection_ratio,113.58250642813155,8.870789053812873e-26,113.58250642813155
len_utterance_count,111.0578989855181,2.9462190103907196e-25,111.0578989855181
syn_utterance_count,111.0578989855181,2.9462190103907196e-25,111.0578989855181
syn_obl_ratio,85.6406486740965,5.782100057740903e-20,85.6406486740965
lex_std_token_length,79.30456297267213,1.2437599865372938e-18,79.30456297267213
syn_part_ratio,68.58510613735424,2.3033537193610024e-16,68.58510613735424
syn_determiner_noun_ratio,66.56609921951797,6.185695306098562e-16,66.56609921951797
syn_cconj_ratio,57.74783113650137,4.708083279993896e-14,57.74783113650137
syn_mean_tree_depth,56.624037542315605,8.194943455800933e-14,56.624037542315605
syn_max_tree_depth,52.49113703180285,6.319411653271065e-13,52.49113703180285
syn_adv_ratio,41.72900466412884,1.3371566994975392e-10,41.72900466412884
syn_determiner_ratio,40.783412039540096,2.1462543296665765e-10,40.783412039540096
lex_mean_token_length,39.564078133833156,3.95346097317338e-10,39.564078133833156
syn_aux_verb_ratio,38.128385723090084,8.124661818801207e-10,38.128385723090084
syn_nsubj_ratio,34.18243790431862,5.919875068390963e-09,34.18243790431862
syn_adp_ratio,33.66042372219515,7.704258106956404e-09,33.66042372219515
syn_verb_ratio,25.43129359375008,5.033414228713601e-07,25.43129359375008
disc_adjacent_utterance_similarity_std,25.206382079026856,5.646968524025014e-07,25.206382079026856
syn_obj_ratio,24.48990394559077,8.148646282013437e-07,24.48990394559077
syn_pronoun_noun_ratio,21.01019737633217,4.8745751240741745e-06,21.01019737633217
lex_brunet,19.07762890560193,1.3246723237945125e-05,19.07762890560193
syn_advmod_ratio,16.68625050086341,4.598500708957543e-05,16.68625050086341
lex_repetition_rate,16.51954165837522,5.017052756676645e-05,16.51954165837522
disc_repeated_unigram_ratio,16.51954165837522,5.017052756676645e-05,16.51954165837522
lex_type_token_ratio,16.5195416583752,5.017052756676645e-05,16.5195416583752
lex_hapax_ratio,14.974210194485808,0.00011277549710305523,14.974210194485808
lex_mattr_20,14.473499921297321,0.00014677100250888621,14.473499921297321
syn_aux_ratio,14.373948632955475,0.0001546744343245082,14.373948632955475
syn_content_function_ratio,13.646609846199114,0.00022705897616865376,13.646609846199114
syn_pronoun_ratio,13.295183311592584,0.00027345710532775786,13.295183311592584
len_syllable_count,12.655464092787033,0.00038391595791381085,12.655464092787033
lex_function_word_ratio,12.651131342650418,0.00038480060651543583,12.651131342650418
len_token_count,8.282825941816057,0.0040481873081729255,8.282825941816057
lex_lemma_type_token_ratio,7.638845297640279,0.005769153968681181,7.638845297640279
len_type_count,6.659802344308149,0.009937725949194249,6.659802344308149
lex_mattr_10,6.0098129378522325,0.014318590184746856,6.0098129378522325
syn_noun_verb_ratio,5.0654941286203945,0.02452394589920189,5.0654941286203945
syn_sconj_ratio,4.654676563630015,0.031097663521315825,4.654676563630015
disc_mean_pairwise_utt_similarity,4.500280738752911,0.03402214584556917,4.500280738752911
len_std_utterance_length,4.043794400636008,0.044479106864427055,4.043794400636008
lex_honore,3.7112652601139864,0.05419969024199523,3.7112652601139864
syn_mean_utterance_length_words,2.967357640848602,0.08512791885869953,2.967357640848602
len_mean_utterance_length,2.967357640848602,0.08512791885869953,2.967357640848602
len_tokens_per_utterance,2.6658223014088667,0.10269527630000873,2.6658223014088667
lex_content_word_ratio,2.0168520499971065,0.15573011928205743,2.0168520499971065
syn_amod_ratio,1.7123346995903277,0.19084553745562993,1.7123346995903277
syn_open_closed_ratio,1.4214214939852363,0.23332272626579023,1.4214214939852363
disc_immediate_repetition_count,0.9207287141806554,0.33740929820533994,0.9207287141806554
syn_adj_ratio,0.2184496932097921,0.6402788564179825,0.2184496932097921
syn_noun_ratio,0.11633749312402149,0.7330800257347343,0.11633749312402149
disc_semantic_drift,0.04244995344654243,0.8367871654165258,0.04244995344654243
disc_adjacent_utterance_similarity_mean,0.04244995344653865,0.8367871654165258,0.04244995344653865
disc_local_coherence,0.04244995344653865,0.8367871654165258,0.04244995344653865
disc_repeated_trigram_ratio,0.033791740018059485,0.8541706879943369,0.033791740018059485
disc_repeated_bigram_ratio,0.010513691904626782,0.9183421356226645,0.010513691904626782
