feature_name,f_score,p_value,rank_metric
syn_num_ratio,750.7063386428039,9.970481159466999e-136,750.7063386428039
syn_mean_dependency_length,564.7539673449708,4.2904488705467613e-107,564.7539673449708
syn_std_dependency_length,468.70627453166645,2.578727915264692e-91,468.70627453166645
syn_max_dependency_length,381.7030146638836,2.2851332291536933e-76,381.7030146638836
syn_propn_ratio,346.2442677337589,4.397191363377209e-70,346.2442677337589
syn_subordination_ratio,307.67160550886496,4.1054887189172697e-63,307.67160550886496
syn_clause_density,303.72015964519306,2.1653425647220864e-62,303.72015964519306
syn_interjection_ratio,289.60367707557225,8.473169836398986e-60,289.60367707557225
len_mean_utterance_length,289.5419529248069,8.698116923141876e-60,289.5419529248069
syn_mean_utterance_length_words,289.5419529248069,8.698116923141876e-60,289.5419529248069
len_tokens_per_utterance,287.2476014401028,2.3050364209887156e-59,287.2476014401028
len_utterance_count,187.5313440249453,1.9526335655841045e-40,187.5313440249453
syn_utterance_count,187.5313440249453,1.9526335655841045e-40,187.5313440249453
syn_determiner_noun_ratio,176.06250775314643,3.4511435949023703e-38,176.06250775314643
syn_max_tree_depth,168.72349495576321,9.641393679849491e-37,168.72349495576321
syn_mean_tree_depth,167.70028779083148,1.535581707567173e-36,167.70028779083148
syn_obl_ratio,157.18697665111733,1.8639249564369116e-34,157.18697665111733
syn_cconj_ratio,146.77809771046864,2.2238809368680384e-32,146.77809771046864
syn_part_ratio,126.62910023240119,2.544148701417131e-28,126.62910023240119
syn_aux_verb_ratio,108.31815567653632,1.3789361093247358e-24,108.31815567653632
syn_aux_ratio,103.41125906468974,1.4056737175960576e-23,103.41125906468974
syn_noun_ratio,99.8507345557093,7.614763893678729e-23,99.8507345557093
lex_content_word_ratio,99.23649462209997,1.0195845417237263e-22,99.23649462209997
len_std_utterance_length,96.4110709352317,3.9104444560774594e-22,96.4110709352317
syn_pronoun_ratio,93.90254200610012,1.2927404720311971e-21,93.90254200610012
syn_nsubj_ratio,89.48574036698193,1.066722139442764e-20,89.48574036698193
disc_mean_pairwise_utt_similarity,87.42272217460585,2.865098281329569e-20,87.42272217460585
lex_function_word_ratio,74.60751636895971,1.3713155903254014e-17,74.60751636895971
syn_adv_ratio,58.019836362785426,4.425686064155746e-14,58.019836362785426
disc_adjacent_utterance_similarity_std,52.33626755625956,7.23937392198855e-13,52.33626755625956
syn_content_function_ratio,46.37785952386115,1.3776352997010596e-11,46.37785952386115
syn_noun_verb_ratio,43.93373363905953,4.636522682668822e-11,43.93373363905953
syn_obj_ratio,41.96721575025131,1.2338565374901558e-10,41.96721575025131
disc_semantic_drift,41.12575089391934,1.8768767163857173e-10,41.12575089391934
disc_local_coherence,41.1257508939193,1.8768767163857173e-10,41.1257508939193
disc_adjacent_utterance_similarity_mean,41.1257508939193,1.8768767163857173e-10,41.1257508939193
disc_repeated_bigram_ratio,31.003556036102207,3.018018367838144e-08,31.003556036102207
syn_determiner_ratio,28.796124659828973,9.226539425376473e-08,28.796124659828973
len_type_count,25.81923895324199,4.191535364598053e-07,25.81923895324199
lex_mean_token_length,25.355586004586634,5.309749798369881e-07,25.355586004586634
syn_adj_ratio,23.276743388803958,1.5371305933595627e-06,23.276743388803958
syn_adp_ratio,20.74980572160004,5.6322492990394745e-06,20.74980572160004
len_syllable_count,18.168446490830725,2.1406391071136474e-05,18.168446490830725
syn_verb_ratio,17.75762546267886,2.6498828829505204e-05,17.75762546267886
disc_repeated_trigram_ratio,15.295899355173791,9.578053669761899e-05,15.295899355173791
syn_pronoun_noun_ratio,9.681461627251773,0.0018944304355090196,9.681461627251773
lex_std_token_length,8.733900379170136,0.0031693894823130266,8.733900379170136
len_token_count,6.8380507832704716,0.009007873192012102,6.8380507832704716
lex_lemma_type_token_ratio,5.312687975189529,0.0212987753226414,5.312687975189529
syn_open_closed_ratio,4.718078798460623,0.029994241300071656,4.718078798460623
lex_honore,2.233413634745113,0.13525334679756976,2.233413634745113
lex_mattr_10,2.096883006186882,0.14779666934928445,2.096883006186882
lex_brunet,1.7608463381117112,0.18470927185361768,1.7608463381117112
lex_mattr_20,1.4687868857277426,0.22571703224660267,1.4687868857277426
lex_hapax_ratio,1.341005666450364,0.24703038922960277,1.341005666450364
lex_repetition_rate,0.6788332277536294,0.41011220056206144,0.6788332277536294
disc_repeated_unigram_ratio,0.6788332277536294,0.41011220056206144,0.6788332277536294
lex_type_token_ratio,0.6788332277536251,0.41011220056206144,0.6788332277536251
syn_sconj_ratio,0.39463792461588215,0.529961637076307,0.39463792461588215
syn_amod_ratio,0.28683385564367553,0.5923314583199192,0.28683385564367553
disc_immediate_repetition_count,0.27743038068742637,0.598463781407107,0.27743038068742637
syn_advmod_ratio,0.15455144774554036,0.6942758684400783,0.15455144774554036
