run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_zh_all_rich,text_plus_pause,100,82,svm,rbf_c1,0.8376068376068375,0.8511904761904762,0.7307692307692307,0.9444444444444444,0.8636363636363636,0.9131054131054132,0.8340828852116506,0.875
language_zh_all_rich,text_plus_pause,all,82,svm,rbf_c1,0.8376068376068375,0.8511904761904762,0.7307692307692307,0.9444444444444444,0.8636363636363636,0.9131054131054132,0.8340828852116506,0.875
language_zh_all_rich,text_plus_pause_plus_graph,100,87,rf,n200,0.7891737891737891,0.8119122257053292,0.6153846153846154,0.9629629629629628,0.8888888888888888,0.9373219373219372,0.8716221977449073,0.85
language_zh_all_rich,text_plus_pause_plus_graph,all,87,rf,n200,0.7891737891737891,0.8119122257053292,0.6153846153846154,0.9629629629629628,0.8888888888888888,0.9305555555555556,0.8734559911418063,0.85
language_zh_all_rich,text_plus_pause,all,82,rf,n200,0.7891737891737891,0.8119122257053292,0.6153846153846154,0.9629629629629628,0.8888888888888888,0.9223646723646725,0.8519047520012554,0.85
language_zh_all_rich,text_plus_pause_plus_graph,100,87,svm,rbf_c1,0.809116809116809,0.8214285714285714,0.6923076923076923,0.925925925925926,0.8181818181818182,0.913105413105413,0.8370721984749243,0.85
language_zh_all_rich,text_plus_pause_plus_graph,all,87,svm,rbf_c1,0.809116809116809,0.8214285714285714,0.6923076923076923,0.925925925925926,0.8181818181818182,0.913105413105413,0.8370721984749243,0.85
language_zh_all_rich,text_plus_pause_plus_acoustic,all,187,rf,n200,0.75,0.7796143250688705,0.5,1.0,1.0,0.9138176638176638,0.8625681329252757,0.8375
language_zh_all_rich,text_plus_pause,100,82,rf,n200,0.76994301994302,0.79328165374677,0.5769230769230769,0.9629629629629628,0.8823529411764706,0.9198717948717948,0.8532036608853517,0.8374999999999998
language_zh_all_rich,text_plus_pause,50,50,rf,n200,0.76994301994302,0.79328165374677,0.5769230769230769,0.9629629629629628,0.8823529411764706,0.9013532763532764,0.8366894473487553,0.8374999999999998
language_zh_all_rich,text_plus_pause_plus_acoustic,all,187,svm,linear_c1,0.8005698005698005,0.8005698005698005,0.7307692307692307,0.8703703703703703,0.7307692307692307,0.9223646723646725,0.8755558060098627,0.825
language_zh_all_rich,text_plus_pause_plus_graph,50,50,rf,n200,0.7507122507122507,0.7740112994350282,0.5384615384615384,0.9629629629629628,0.875,0.8935185185185185,0.7990930002876983,0.825
language_zh_all_rich,text_plus_pause_plus_acoustic,100,100,lr,c1,0.7706552706552707,0.7864225781845919,0.6153846153846154,0.925925925925926,0.8,0.8618233618233618,0.8204895754185128,0.825
language_zh_all_rich,text_plus_pause,all,82,dt,depth20,0.7806267806267806,0.7916666666666667,0.6538461538461539,0.9074074074074074,0.7727272727272727,0.7806267806267807,0.6177447552447553,0.825
language_zh_all_rich,all_universal,all,192,svm,linear_c1,0.7813390313390314,0.784133837021047,0.6923076923076923,0.8703703703703703,0.72,0.9138176638176638,0.846424739702292,0.8125
language_zh_all_rich,all_universal,all,192,rf,n200,0.7314814814814814,0.7540479606476738,0.5,0.9629629629629628,0.8666666666666667,0.8967236467236468,0.8293988176906655,0.8125
language_zh_all_rich,all_universal,all,192,lr,c1,0.7713675213675213,0.7793712079426365,0.6538461538461539,0.8888888888888888,0.7391304347826086,0.8881766381766382,0.8381089615276682,0.8125
language_zh_all_rich,text_plus_pause,100,82,svm,linear_c1,0.8212250712250713,0.7986239301896292,0.8461538461538461,0.7962962962962963,0.6666666666666666,0.8782051282051282,0.7681285030218044,0.8125
language_zh_all_rich,text_plus_pause,all,82,svm,linear_c1,0.8212250712250713,0.7986239301896292,0.8461538461538461,0.7962962962962963,0.6666666666666666,0.8782051282051282,0.7681285030218044,0.8125
language_zh_all_rich,text_plus_pause_plus_graph,100,87,svm,linear_c1,0.8212250712250713,0.7986239301896292,0.8461538461538461,0.7962962962962963,0.6666666666666666,0.8760683760683761,0.789342005878305,0.8125
