run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_zh_pd_ctp_rich,pause_only,20,20,dt,depth20,0.9861111111111112,0.9635459817729909,1.0,0.9722222222222222,0.8888888888888888,0.986111111111111,0.8888888888888888
language_zh_pd_ctp_rich,pause_only,10,10,dt,depth20,0.9236111111111112,0.9236111111111112,0.875,0.9722222222222222,0.875,0.9236111111111112,0.7883522727272727
language_zh_pd_ctp_rich,pause_only,all,21,dt,depth20,0.9236111111111112,0.9236111111111112,0.875,0.9722222222222222,0.875,0.9236111111111112,0.7883522727272727
language_zh_pd_ctp_rich,text_only,10,10,lr,c1,0.9166666666666667,0.8181818181818181,1.0,0.8333333333333334,0.5714285714285714,0.9618055555555556,0.8665674603174602
language_zh_pd_ctp_rich,text_plus_pause_plus_acoustic,100,100,lr,c1,0.9097222222222222,0.8906379453189726,0.875,0.9444444444444444,0.7777777777777778,0.9583333333333334,0.888188608776844
language_zh_pd_ctp_rich,text_plus_pause_plus_acoustic,all,187,svm,linear_c1,0.9097222222222222,0.8906379453189726,0.875,0.9444444444444444,0.7777777777777778,0.9583333333333333,0.8795080532212886
language_zh_pd_ctp_rich,text_only,20,20,dt,depth20,0.9097222222222222,0.8906379453189726,0.875,0.9444444444444444,0.7777777777777778,0.9097222222222222,0.7032828282828283
language_zh_pd_ctp_rich,all_universal,10,10,svm,linear_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9618055555555556,0.8826388888888889
language_zh_pd_ctp_rich,text_plus_pause,10,10,svm,linear_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9618055555555556,0.8826388888888889
language_zh_pd_ctp_rich,text_plus_pause_plus_graph,10,10,svm,linear_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9618055555555556,0.8826388888888889
language_zh_pd_ctp_rich,text_plus_pause_plus_acoustic,10,10,svm,linear_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9618055555555556,0.8826388888888889
language_zh_pd_ctp_rich,text_only,10,10,svm,linear_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9444444444444444,0.7985930735930736
language_zh_pd_ctp_rich,all_universal,10,10,svm,rbf_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9270833333333334,0.7772095959595959
language_zh_pd_ctp_rich,text_plus_pause,10,10,svm,rbf_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9270833333333334,0.7772095959595959
language_zh_pd_ctp_rich,text_plus_pause_plus_graph,10,10,svm,rbf_c1,0.9027777777777778,0.7939799331103679,1.0,0.8055555555555556,0.5333333333333333,0.9270833333333334,0.7772095959595959
