feature_name,f_score,p_value
syn_num_ratio,233.3629875960456,9.90755039314654e-50
syn_propn_ratio,170.5730515144516,2.2913799527851998e-37
syn_mean_dependency_length,157.02979381742057,1.2018462644996564e-34
syn_interjection_ratio,154.64908494725924,3.6305073499453525e-34
syn_std_dependency_length,129.39837173426233,4.9045748721367064e-29
syn_max_dependency_length,119.194508508055,6.0862212357969064e-27
syn_clause_density,116.91730518963544,1.7917172072217688e-26
syn_subordination_ratio,115.5456452195414,3.435720107167568e-26
syn_utterance_count,87.33041036876757,2.5319072004562232e-20
len_utterance_count,87.33041036876757,2.5319072004562232e-20
lex_std_token_length,82.08278802030048,3.2064189515091427e-19
syn_max_tree_depth,82.02325213440577,3.3002800920597853e-19
syn_mean_tree_depth,74.62687073281508,1.1998413665864884e-17
syn_part_ratio,66.0988957949345,7.732487259770498e-16
syn_obl_ratio,56.25999353327557,9.767408524388471e-14
