feature_name,f_score,p_value,rank_metric
syn_num_ratio,339.1173023930418,5.607954942312366e-69,339.1173023930418
syn_mean_dependency_length,272.12103310863756,1.1233167917756944e-56,272.12103310863756
syn_std_dependency_length,233.61524377295387,2.1010930561564026e-49,233.61524377295387
syn_max_dependency_length,214.39391650774783,1.0243506400757744e-45,214.39391650774783
syn_propn_ratio,206.40087075242494,3.595737966259837e-44,206.40087075242494
syn_interjection_ratio,189.5285979684982,6.932173369654488e-41,189.5285979684982
syn_clause_density,186.83295324610768,2.3370125102146496e-40,186.83295324610768
syn_subordination_ratio,185.60330512437386,4.070906503188603e-40,185.60330512437386
syn_max_tree_depth,157.6456628887466,1.3697898411171851e-34,157.6456628887466
syn_mean_tree_depth,156.9895838750459,1.851189964553102e-34,156.9895838750459
lex_std_token_length,120.4409316607733,4.333017681779035e-27,120.4409316607733
syn_part_ratio,105.46140630731193,5.084324013086379e-24,105.46140630731193
len_utterance_count,103.28798154728284,1.4258802691856248e-23,103.28798154728284
syn_utterance_count,103.28798154728284,1.4258802691856248e-23,103.28798154728284
syn_aux_verb_ratio,99.87004012191889,7.239096079506232e-23,99.87004012191889
syn_obl_ratio,77.66326762209619,3.05238429110676e-18,77.66326762209619
lex_mean_token_length,69.99219508669893,1.2577348657519463e-16,69.99219508669893
syn_cconj_ratio,64.09953656393046,2.2215951461864773e-15,64.09953656393046
syn_nsubj_ratio,62.93085488492134,3.932760541248047e-15,62.93085488492134
syn_determiner_noun_ratio,53.83469521311483,3.416568033626387e-13,53.83469521311483
syn_verb_ratio,39.141936803875154,5.019145026111495e-10,39.141936803875154
syn_adv_ratio,37.679105700812876,1.0439981978629052e-09,37.679105700812876
syn_adp_ratio,36.13692921332527,2.2627626320200777e-09,36.13692921332527
graph_average_degree,31.43869991405741,2.4115015135240985e-08,31.43869991405741
syn_aux_ratio,28.348662927990798,1.1535013407742207e-07,28.348662927990798
syn_determiner_ratio,25.016639639616752,6.294234104360629e-07,25.016639639616752
syn_content_function_ratio,22.109051484485775,2.7919496943401104e-06,22.109051484485775
pause_filled_per_100_words,21.72701541672364,3.3979741268571472e-06,21.72701541672364
syn_noun_verb_ratio,19.69366446190934,9.69675578427929e-06,19.69366446190934
lex_function_word_ratio,17.718303987475657,2.7005088822471828e-05,17.718303987475657
lex_brunet,17.711641102077994,2.7098822450207067e-05,17.711641102077994
pause_filled_count,17.22843316816039,3.48471932137993e-05,17.22843316816039
syn_advmod_ratio,16.651323492150222,4.707999944815399e-05,16.651323492150222
syn_obj_ratio,16.474663451626785,5.162819438765431e-05,16.474663451626785
disc_adjacent_utterance_similarity_std,15.400906536020859,9.054521365975496e-05,15.400906536020859
syn_amod_ratio,13.977849258843946,0.00019133704873723872,13.977849258843946
lex_type_token_ratio,13.522742423063285,0.00024329871959148983,13.522742423063285
lex_repetition_rate,13.522742423063258,0.00024329871959151016,13.522742423063258
disc_repeated_unigram_ratio,13.522742423063258,0.00024329871959151016,13.522742423063258
lex_hapax_ratio,13.235744265707712,0.0002831740938843788,13.235744265707712
graph_density,12.351352044783926,0.0004526516653233694,12.351352044783926
syn_pronoun_ratio,11.366452971081081,0.0007652234407648691,11.366452971081081
syn_pronoun_noun_ratio,11.039593481355736,0.0009115112456339506,11.039593481355736
pause_articulation_rate_words_per_speaking_second,9.816701281987775,0.0017599708241970442,9.816701281987775
len_syllable_count,9.665012673828056,0.0019104244342881059,9.665012673828056
graph_edge_count,8.07616104460153,0.004540683900214414,8.07616104460153
lex_mattr_20,7.693126740168788,0.005606015879326606,7.693126740168788
len_type_count,5.990553761792019,0.014487049895997656,5.990553761792019
graph_node_count,5.990553761792019,0.014487049895997656,5.990553761792019
lex_lemma_type_token_ratio,5.523576980779936,0.018879936969892486,5.523576980779936
len_token_count,5.44939362063675,0.019695446501707913,5.44939362063675
lex_honore,5.315686380006321,0.021258680670215534,5.315686380006321
pause_speech_rate_words_per_second,5.2634777199711955,0.02190348253144116,5.2634777199711955
len_tokens_per_second,5.2634777199711955,0.02190348253144116,5.2634777199711955
len_syllables_per_second,5.184167105556596,0.022922069571274885,5.184167105556596
graph_self_loop_ratio,5.077105777920218,0.02437560981668336,5.077105777920218
syn_sconj_ratio,4.615968256618472,0.03182182957950631,4.615968256618472
len_speech_duration,4.610526102713893,0.03192267469373085,4.610526102713893
syn_adj_ratio,4.445459181850748,0.035145688571887206,4.445459181850748
pause_pause_to_word_ratio,3.9419375436648423,0.04726301902392902,3.9419375436648423
disc_mean_pairwise_utt_similarity,3.703550745156355,0.05446985318785972,3.703550745156355
syn_mean_utterance_length_words,3.6810671443167036,0.055207253518580746,3.6810671443167036
len_mean_utterance_length,3.6810671443167036,0.055207253518580746,3.6810671443167036
disc_immediate_repetition_count,3.540863281401784,0.060051477414443326,3.540863281401784
pause_long_count,3.4030401688241203,0.06525681570506017,3.4030401688241203
pause_short_count,3.349832040142524,0.0673934978614411,3.349832040142524
len_tokens_per_utterance,3.1432912723468065,0.07642562317904292,3.1432912723468065
len_std_utterance_length,2.8894211885448806,0.0893528059788111,2.8894211885448806
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,2.308321363652108,0.128875939352765,2.308321363652108
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,2.1724662212061556,0.14069290123484898,2.1724662212061556
disc_repeated_trigram_ratio,2.1540595770775752,0.14238546264189772,2.1540595770775752
ac_egemaps_loudness_sma3_percentile20_0,2.0812592196605944,0.14930830475546175,2.0812592196605944
ac_egemaps_jitterlocal_sma3nz_amean,1.9191981598268815,0.1661336965899862,1.9191981598268815
ac_egemaps_spectralfluxuv_sma3nz_amean,1.6554097065829994,0.19840604535699385,1.6554097065829994
ac_egemaps_alpharatiov_sma3nz_stddevnorm,1.628763396034141,0.20205509701269786,1.628763396034141
ac_egemaps_slopeuv0_500_sma3nz_amean,1.4249976856912794,0.23275541068373046,1.4249976856912794
lex_mattr_10,1.3768685029037422,0.2408058699383105,1.3768685029037422
ac_egemaps_slopev0_500_sma3nz_amean,1.3634028226564043,0.24311854835449137,1.3634028226564043
ac_egemaps_mfcc3_sma3_stddevnorm,1.3606818146120907,0.24358915398912778,1.3606818146120907
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,1.3438651433615387,0.24652245286108035,1.3438651433615387
syn_noun_ratio,1.241148835094358,0.2654132031784317,1.241148835094358
ac_duration,1.2300162887845838,0.2675666742305735,1.2300162887845838
ac_egemaps_slopev0_500_sma3nz_stddevnorm,1.1501006742222784,0.2836860488813991,1.1501006742222784
ac_egemaps_mfcc1v_sma3nz_amean,1.1288967666874135,0.28816740113536066,1.1288967666874135
ac_egemaps_logrelf0_h1_a3_sma3nz_stddevnorm,1.103943073054707,0.29355737426884904,1.103943073054707
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,1.0732077467563987,0.3003749253679659,1.0732077467563987
ac_egemaps_stddevunvoicedsegmentlength,0.9213924249102039,0.3372512972995103,0.9213924249102039
pause_std_duration,0.9156763512161601,0.3387539957792204,0.9156763512161601
ac_egemaps_voicedsegmentspersec,0.8961738133283814,0.3439493572006359,0.8961738133283814
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,0.8768552917725786,0.34920247418171924,0.8768552917725786
ac_mfcc_2_mean,0.8512688685939783,0.35632950877614566,0.8512688685939783
disc_repeated_bigram_ratio,0.8480629646834029,0.3572365001367548,0.8480629646834029
disc_adjacent_utterance_similarity_mean,0.8419492289161964,0.35897496686509434,0.8419492289161964
disc_local_coherence,0.8419492289161964,0.35897496686509434,0.8419492289161964
disc_semantic_drift,0.8419492289161647,0.35897496686519825,0.8419492289161647
pause_mean_duration,0.8325354858329344,0.3616746588577804,0.8325354858329344
lex_content_word_ratio,0.7913511888721879,0.3738224945778187,0.7913511888721879
ac_mfcc_5_mean,0.7692637726007869,0.3805735219012756,0.7692637726007869
ac_egemaps_mfcc4v_sma3nz_stddevnorm,0.7665585257237512,0.3814121762392316,0.7665585257237512
ac_egemaps_hammarbergindexv_sma3nz_stddevnorm,0.7165953345355759,0.3973866304068877,0.7165953345355759
ac_egemaps_logrelf0_h1_h2_sma3nz_stddevnorm,0.6993904061683164,0.40311058299922775,0.6993904061683164
ac_rms_mean,0.6985374436427363,0.4033974681239495,0.6985374436427363
ac_mfcc_5_std,0.6194613747682385,0.43136137374689054,0.6194613747682385
ac_egemaps_slopev500_1500_sma3nz_stddevnorm,0.6043809294556596,0.4370236306477061,0.6043809294556596
pause_to_speech_ratio,0.5771653430169589,0.4475348885014483,0.5771653430169589
ac_egemaps_hnrdbacf_sma3nz_stddevnorm,0.5401884350041192,0.4624598541138395,0.5401884350041192
ac_egemaps_loudness_sma3_meanrisingslope,0.5247904082032689,0.4689088101527674,0.5247904082032689
ac_egemaps_jitterlocal_sma3nz_stddevnorm,0.524093134645339,0.4692042479144575,0.524093134645339
ac_egemaps_f2frequency_sma3nz_amean,0.5070498880531238,0.476520139280042,0.5070498880531238
ac_mfcc_4_mean,0.5014831200824237,0.47894993142301034,0.5014831200824237
ac_egemaps_slopev500_1500_sma3nz_amean,0.4947945171241961,0.481896309093085,0.4947945171241961
pause_medium_count,0.4486550979624859,0.5030687290054091,0.4486550979624859
ac_egemaps_mfcc2v_sma3nz_stddevnorm,0.44711158064458256,0.5038040387986048,0.44711158064458256
ac_egemaps_f3amplitudelogrelf0_sma3nz_stddevnorm,0.4438362449145492,0.5053704657219227,0.4438362449145492
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,0.4386751016611928,0.5078557955425325,0.4386751016611928
ac_egemaps_meanvoicedsegmentlengthsec,0.4378300341574101,0.5082647381095855,0.4378300341574101
ac_egemaps_mfcc1_sma3_stddevnorm,0.41501218459536654,0.5195266153919961,0.41501218459536654
ac_egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,0.3748487403740624,0.5404580572746194,0.3748487403740624
ac_egemaps_mfcc1_sma3_amean,0.3677378426403137,0.5443239581086792,0.3677378426403137
ac_egemaps_shimmerlocaldb_sma3nz_amean,0.33545701351008567,0.5625429712751909,0.33545701351008567
ac_egemaps_f1frequency_sma3nz_stddevnorm,0.31177024138771176,0.5766722336017913,0.31177024138771176
ac_egemaps_f3frequency_sma3nz_amean,0.309469235787835,0.5780820509686695,0.309469235787835
ac_rms_std,0.306562198404828,0.5798730285525695,0.306562198404828
syn_open_closed_ratio,0.2934098802838013,0.588117308292604,0.2934098802838013
ac_egemaps_spectralflux_sma3_amean,0.2932708708898197,0.588205712061334,0.2932708708898197
pause_total_duration,0.2645290275866662,0.607094968552311,0.2645290275866662
