feature_name,importance_mean,importance_std,feature_group
syn_max_dependency_length,0.06957321559970564,0.010898489016291209,syn
lex_function_word_ratio,0.06081960717722308,0.012031347465011036,lex
lex_lemma_type_token_ratio,0.05849606611196014,0.007342460776935296,lex
syn_determiner_ratio,0.049015112922397706,0.008000639767292015,syn
len_token_count,0.045344427463632764,0.013313870827401889,len
graph_average_degree,0.0429756042338824,0.009085620277481925,graph
lex_repetition_rate,0.04281428652289576,0.006321673372365402,lex
lex_type_token_ratio,0.04281428652289576,0.006321673372365402,lex
disc_repeated_unigram_ratio,0.04281428652289576,0.006321673372365402,disc
syn_mean_dependency_length,0.04204448972660892,0.011235848786942504,syn
syn_subordination_ratio,0.03280409803588615,0.010128948601583686,syn
syn_propn_ratio,0.02605139525669322,0.009392655765859766,syn
len_syllable_count,0.02542593535971016,0.009675381128126496,len
syn_pronoun_noun_ratio,0.02394860474330669,0.0055529360175816484,syn
syn_pronoun_ratio,0.02387219109073411,0.010459339192102981,syn
graph_node_count,0.0226693835965359,0.00962404553110077,graph
len_type_count,0.0226693835965359,0.00962404553110077,len
syn_determiner_noun_ratio,0.021415633667289248,0.005749903042510071,syn
graph_edge_count,0.021194883115412934,0.013575124960626758,graph
syn_aux_verb_ratio,0.020914699722646722,0.010269893735409048,syn
syn_content_function_ratio,0.020082639950189596,0.004045909766849112,syn
syn_verb_ratio,0.016726099507556436,0.00942113309931426,syn
syn_noun_ratio,0.015200656591385054,0.007384735714711813,syn
syn_adj_ratio,0.014784626705156501,0.006547256024162393,syn
lex_content_word_ratio,0.014623308994169904,0.008092616321544366,lex
syn_part_ratio,0.014569536423841022,0.010462599421205627,syn
lex_hapax_ratio,0.013378049470764685,0.007071015830337349,lex
syn_std_dependency_length,0.012444104828210789,0.008794850185098759,syn
syn_aux_ratio,0.011835625742910482,0.007940698935648588,syn
syn_clause_density,0.011312050716024213,0.007633775677436738,syn
syn_max_tree_depth,0.009325295749136786,0.004099155669255348,syn
graph_density,0.008801720722250495,0.010662720119342021,graph
syn_interjection_ratio,0.008031923925963635,0.004224441221867421,syn
disc_adjacent_utterance_similarity_std,0.007446085922907142,0.0034562823614651948,disc
syn_amod_ratio,0.007338540782249337,0.0025890958622240127,syn
disc_mean_pairwise_utt_similarity,0.006452708439463395,0.005234281452094705,disc
pause_long_count,0.006014037470991096,0.002341481599099697,pause
len_speech_duration,0.005929133412577126,0.002564889633249958,len
lex_mattr_20,0.005906492330333335,0.004224488622342103,lex
syn_adv_ratio,0.005682911643176536,0.0022292880571559088,syn
syn_nsubj_ratio,0.004966887417218513,0.0023603905118128495,syn
syn_noun_verb_ratio,0.004774438218146782,0.001371801340902152,syn
syn_mean_tree_depth,0.004528216448746236,0.003893375456435127,syn
lex_mean_token_length,0.004412180902247154,0.003019230445280596,lex
disc_repeated_bigram_ratio,0.0039423784456896985,0.002067928548483289,disc
syn_mean_utterance_length_words,0.0034188034188034067,0.0015115572104809029,syn
len_mean_utterance_length,0.0034188034188034067,0.0015115572104809029,len
syn_obj_ratio,0.0032574857078168096,0.0028826480404453283,syn
len_tokens_per_utterance,0.002787683251259421,0.0022412277113316747,len
syn_advmod_ratio,0.0027339106809305624,0.003204413094485183,syn
syn_num_ratio,0.0026490066225165697,0.0016884170574810416,syn
syn_obl_ratio,0.002402784853115958,0.002340838406344397,syn
pause_mean_duration,0.0023178807947019874,0.0035140822339800536,pause
lex_mattr_10,0.002156563083715368,0.009283208696664474,lex
graph_self_loop_ratio,0.0018792098262296886,0.007522089631246029,graph
syn_adp_ratio,0.0009933774834437249,0.0027066127151460827,syn
pause_articulation_rate_words_per_speaking_second,0.0006622516556291647,0.0013245033112583293,pause
pause_std_duration,0.0004160298862285972,0.0028542247547531695,pause
syn_sconj_ratio,0.00033112582781458233,0.0006622516556291647,syn
ac_egemaps_slopev0_500_sma3nz_stddevnorm,0.00033112582781458233,0.0006622516556291647,ac
disc_local_coherence,0.000277353257485724,0.00347464780511221,disc
disc_semantic_drift,0.000277353257485724,0.00347464780511221,disc
disc_adjacent_utterance_similarity_mean,0.000277353257485724,0.00347464780511221,disc
pause_filled_per_100_words,0.00027735325748570185,0.003514870785084778,pause
len_utterance_count,0.0,0.0,len
syn_utterance_count,0.0,0.0,syn
len_std_utterance_length,0.0,0.0,len
pause_pause_to_word_ratio,0.0,0.0,pause
lex_honore,-0.00013867662874287313,0.002524766205794015,lex
pause_speech_rate_words_per_second,-0.0001924491990717314,0.0027136791651179177,pause
len_tokens_per_second,-0.0001924491990717314,0.0027136791651179177,len
syn_cconj_ratio,-0.00033112582781458233,0.0006622516556291647,syn
