feature_name,importance_mean,importance_std,feature_group
ac_egemaps_f3frequency_sma3nz_stddevnorm,0.14545454545454553,0.053008653589502706,ac
ac_egemaps_jitterlocal_sma3nz_amean,0.13636363636363646,0.02874797872880342,ac
lex_honore,0.10000000000000012,0.018181818181818177,lex
par_mfcc_12_skew,0.10000000000000012,0.03401506715249038,par
par_mfcc_10_std,0.10000000000000009,0.034015067152490384,par
par_mfcc_5_skew,0.10000000000000009,0.018181818181818188,par
par_mfcc_9_kurtosis,0.10000000000000009,0.034015067152490384,par
ac_egemaps_spectralflux_sma3_stddevnorm,0.09090909090909098,0.049792959773196914,ac
par_mfcc_8_kurtosis,0.09090909090909098,0.02874797872880346,par
ac_egemaps_mfcc4_sma3_stddevnorm,0.09090909090909098,0.049792959773196914,ac
par_mfcc_10_kurtosis,0.09090909090909097,0.02874797872880346,par
ac_egemaps_loudnesspeakspersec,0.08181818181818193,0.03401506715249039,ac
sx_std_log_lemma_freq,0.08181818181818193,0.03401506715249039,sx
ac_egemaps_spectralflux_sma3_amean,0.07272727272727282,0.03636363636363638,ac
ac_egemaps_mfcc4v_sma3nz_amean,0.07272727272727282,0.02226808857075618,ac
syn_pronoun_ratio,0.0727272727272728,0.06165754530113882,syn
par_mfcc_3_skew,0.07272727272727278,0.03636363636363638,par
lex_mattr_20,0.06363636363636369,0.04635472285084352,lex
syn_max_tree_depth,0.06363636363636367,0.036363636363636376,syn
syn_pronoun_noun_ratio,0.045454545454545525,0.028747978728803494,syn
ac_egemaps_loudness_sma3_percentile50_0,0.045454545454545525,0.028747978728803494,ac
syn_std_dependency_length,0.045454545454545525,0.04065578140908715,syn
syn_max_dependency_length,0.045454545454545525,0.028747978728803494,syn
ac_mfcc_1_mean,0.03636363636363642,0.03401506715249043,ac
ac_egemaps_spectralfluxv_sma3nz_amean,0.03636363636363642,0.018181818181818212,ac
par_mfcc_1_mean,0.03636363636363642,0.03401506715249043,par
ac_egemaps_loudness_sma3_amean,0.03636363636363642,0.03401506715249043,ac
par_f0_max,0.0363636363636364,0.0340150671524904,par
ac_egemaps_loudness_sma3_percentile20_0,0.027272727272727317,0.022268088570756198,ac
ac_egemaps_voicedsegmentspersec,0.027272727272727317,0.022268088570756198,ac
par_mfcc_6_skew,0.027272727272727292,0.03636363636363638,par
par_mfcc_5_std,0.01818181818181821,0.022268088570756198,par
ac_mfcc_5_std,0.01818181818181821,0.022268088570756198,ac
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,0.009090909090909104,0.01818181818181821,ac
graph_self_loop_ratio,0.009090909090909104,0.01818181818181821,graph
par_f0_q25,0.009090909090909104,0.01818181818181821,par
par_delta_mfcc_1_std,0.009090909090909104,0.01818181818181821,par
par_mfcc_9_skew,0.009090909090909104,0.01818181818181821,par
par_mfcc_7_std,0.009090909090909104,0.01818181818181821,par
par_mfcc_12_kurtosis,0.009090909090909104,0.01818181818181821,par
ac_egemaps_loudness_sma3_stddevnorm,0.0,0.0,ac
ac_mfcc_1_std,0.0,0.0,ac
par_mfcc_1_std,0.0,0.0,par
sx_pairwise_similarity_std,0.0,0.0,sx
par_mfcc_13_kurtosis,0.0,0.0,par
syn_mean_tree_depth,0.0,0.0,syn
ac_egemaps_f3bandwidth_sma3nz_amean,0.0,0.0,ac
par_mfcc_7_skew,0.0,0.0,par
par_zcr_std,0.0,0.0,par
ac_zcr_std,0.0,0.0,ac
