feature_name,f_score,p_value,rank_metric
syn_num_ratio,725.4342825924815,2.821575421279186e-131,725.4342825924815
syn_mean_dependency_length,545.6934460570476,1.4073438203233914e-103,545.6934460570476
syn_std_dependency_length,463.72640832949213,3.8590387780112384e-90,463.72640832949213
syn_max_dependency_length,398.7688028553771,4.3213879742889836e-79,398.7688028553771
syn_propn_ratio,370.51755685209105,3.616829579389712e-74,370.51755685209105
syn_clause_density,340.817863270194,6.509566985129433e-69,340.817863270194
syn_subordination_ratio,336.2531311347026,4.253195460007355e-68,336.2531311347026
len_mean_utterance_length,304.34938534000077,2.415074161793936e-62,304.34938534000077
syn_mean_utterance_length_words,304.34938534000077,2.415074161793936e-62,304.34938534000077
syn_interjection_ratio,303.9634061103729,2.8389952974278056e-62,303.9634061103729
len_tokens_per_utterance,298.03687163922774,3.415570172399062e-61,298.03687163922774
len_utterance_count,209.72436151956433,1.1685180721013869e-44,209.72436151956433
syn_utterance_count,209.72436151956433,1.1685180721013869e-44,209.72436151956433
syn_cconj_ratio,195.33503038129214,6.96628120454848e-42,195.33503038129214
syn_part_ratio,185.07065952730596,6.877983815153073e-40,185.07065952730596
syn_mean_tree_depth,174.83952858623007,6.884565912716571e-38,174.83952858623007
syn_max_tree_depth,170.46103009782405,4.986680937757267e-37,170.46103009782405
lex_content_word_ratio,138.3865955714944,1.1734315748246273e-30,138.3865955714944
syn_aux_ratio,137.48337584653686,1.7814386990505732e-30,137.48337584653686
disc_mean_pairwise_utt_similarity,129.4987491840099,7.215119898963375e-29,129.4987491840099
syn_adv_ratio,128.06799180615747,1.4033680612569158e-28,128.06799180615747
syn_determiner_noun_ratio,126.11415354598616,3.4847392075993005e-28,126.11415354598616
syn_noun_ratio,126.00234211708491,3.6710482064711157e-28,126.00234211708491
len_std_utterance_length,125.4620856838774,4.721817567499861e-28,125.4620856838774
syn_obl_ratio,122.29968569680801,2.064406603016746e-27,122.29968569680801
syn_pronoun_ratio,119.99167054053909,6.070690794651629e-27,119.99167054053909
lex_function_word_ratio,108.91456066181338,1.1006238048637472e-24,108.91456066181338
syn_aux_verb_ratio,101.49523732630547,3.6634723701052437e-23,101.49523732630547
syn_nsubj_ratio,96.93037623533675,3.194595075262732e-22,96.93037623533675
disc_semantic_drift,63.98205627765516,2.4440878635862175e-15,63.98205627765516
disc_local_coherence,63.98205627765512,2.4440878635862175e-15,63.98205627765512
disc_adjacent_utterance_similarity_mean,63.98205627765512,2.4440878635862175e-15,63.98205627765512
disc_adjacent_utterance_similarity_std,48.51878619885369,4.827874358161835e-12,48.51878619885369
syn_determiner_ratio,48.27920293526152,5.434998323871476e-12,48.27920293526152
syn_adj_ratio,47.27750844424093,8.921141205800311e-12,47.27750844424093
syn_content_function_ratio,45.61603237236649,2.0318623544533198e-11,45.61603237236649
pause_filled_per_100_words,45.08433449641851,2.6449907418900564e-11,45.08433449641851
