feature_group,num_features,mean_available_fraction,mean_missing_fraction
ac,105,0.2682335837169857,0.7317664162830142
disc,9,1.0,0.06501898069622808
fc,8,0.000969227041434456,0.9990307729585656
graph,6,1.0,4.0384460059769e-05
len,11,1.0,0.2514703614776307
lex,12,1.0,0.0005048057507471125
par,112,0.2682335837169857,0.7317664162830143
pause,17,1.0,0.5752362490913496
pd,20,0.6241822146837896,0.42532105645747514
rd,10,0.08626120668766658,0.9223649139811002
sx,31,1.0,0.20800081290009922
syn,34,1.0,0.1559600336378797
