feature_name,f_score,p_value,rank_metric
syn_num_ratio,339.1173023930418,5.607954942312366e-69,339.1173023930418
syn_mean_dependency_length,272.12103310863756,1.1233167917756944e-56,272.12103310863756
syn_std_dependency_length,233.61524377295387,2.1010930561564026e-49,233.61524377295387
syn_max_dependency_length,214.39391650774783,1.0243506400757744e-45,214.39391650774783
syn_propn_ratio,206.40087075242494,3.595737966259837e-44,206.40087075242494
syn_interjection_ratio,189.5285979684982,6.932173369654488e-41,189.5285979684982
syn_clause_density,186.83295324610768,2.3370125102146496e-40,186.83295324610768
syn_subordination_ratio,185.60330512437386,4.070906503188603e-40,185.60330512437386
syn_max_tree_depth,157.6456628887466,1.3697898411171851e-34,157.6456628887466
syn_mean_tree_depth,156.9895838750459,1.851189964553102e-34,156.9895838750459
lex_std_token_length,120.4409316607733,4.333017681779035e-27,120.4409316607733
syn_part_ratio,105.46140630731193,5.084324013086379e-24,105.46140630731193
len_utterance_count,103.28798154728284,1.4258802691856248e-23,103.28798154728284
syn_utterance_count,103.28798154728284,1.4258802691856248e-23,103.28798154728284
syn_aux_verb_ratio,99.87004012191889,7.239096079506232e-23,99.87004012191889
sx_modifier_density,94.87800243404408,7.819154901375846e-22,94.87800243404408
syn_obl_ratio,77.66326762209619,3.05238429110676e-18,77.66326762209619
lex_mean_token_length,69.99219508669893,1.2577348657519463e-16,69.99219508669893
syn_cconj_ratio,64.09953656393046,2.2215951461864773e-15,64.09953656393046
syn_nsubj_ratio,62.93085488492134,3.932760541248047e-15,62.93085488492134
syn_determiner_noun_ratio,53.83469521311483,3.416568033626387e-13,53.83469521311483
syn_verb_ratio,39.141936803875154,5.019145026111495e-10,39.141936803875154
syn_adv_ratio,37.679105700812876,1.0439981978629052e-09,37.679105700812876
syn_adp_ratio,36.13692921332527,2.2627626320200777e-09,36.13692921332527
sx_vp_like_ratio,31.950021332991323,1.862596091100292e-08,31.950021332991323
graph_average_degree,31.43869991405741,2.4115015135240985e-08,31.43869991405741
sx_dep_entropy,31.11370903127753,2.842005752669779e-08,31.11370903127753
sx_sentence_length_q25,28.87351369182988,8.83748645897056e-08,28.87351369182988
syn_aux_ratio,28.348662927990798,1.1535013407742207e-07,28.348662927990798
sx_coordination_density,28.218689691887437,1.2322045055990334e-07,28.218689691887437
syn_determiner_ratio,25.016639639616752,6.294234104360629e-07,25.016639639616752
syn_content_function_ratio,22.109051484485775,2.7919496943401104e-06,22.109051484485775
pause_filled_per_100_words,21.72701541672364,3.3979741268571472e-06,21.72701541672364
sx_sentence_length_q50,20.383507485124035,6.789857426749392e-06,20.383507485124035
sx_very_rare_lemma_ratio,19.990239767591714,8.318701715968614e-06,19.990239767591714
syn_noun_verb_ratio,19.69366446190934,9.69675578427929e-06,19.69366446190934
sx_low_similarity_frac_05,18.510195861323226,1.7898492257016166e-05,18.510195861323226
lex_function_word_ratio,17.718303987475657,2.7005088822471828e-05,17.718303987475657
lex_brunet,17.711641102077994,2.7098822450207067e-05,17.711641102077994
pause_filled_count,17.22843316816039,3.48471932137993e-05,17.22843316816039
syn_advmod_ratio,16.651323492150222,4.707999944815399e-05,16.651323492150222
sx_dep_length_q50,16.578803945794714,4.8896113795129557e-05,16.578803945794714
sx_tree_depth_std,16.57038544580501,4.911145700023985e-05,16.57038544580501
syn_obj_ratio,16.474663451626785,5.162819438765431e-05,16.474663451626785
sx_dep_length_q75,16.397388406847075,5.375435639166711e-05,16.397388406847075
disc_adjacent_utterance_similarity_std,15.400906536020859,9.054521365975496e-05,15.400906536020859
syn_amod_ratio,13.977849258843946,0.00019133704873723872,13.977849258843946
sx_sentence_length_q75,13.815522969867486,0.00020844431322991953,13.815522969867486
lex_type_token_ratio,13.522742423063285,0.00024329871959148983,13.522742423063285
disc_repeated_unigram_ratio,13.522742423063258,0.00024329871959151016,13.522742423063258
lex_repetition_rate,13.522742423063258,0.00024329871959151016,13.522742423063258
lex_hapax_ratio,13.235744265707712,0.0002831740938843788,13.235744265707712
graph_density,12.351352044783926,0.0004526516653233694,12.351352044783926
syn_pronoun_ratio,11.366452971081081,0.0007652234407648691,11.366452971081081
syn_pronoun_noun_ratio,11.039593481355736,0.0009115112456339506,11.039593481355736
sx_rare_lemma_ratio,10.743270844782323,0.0010685063766789963,10.743270844782323
sx_tree_depth_q75,10.666645706416992,0.0011133861632763547,10.666645706416992
pause_articulation_rate_words_per_speaking_second,9.816701281987775,0.0017599708241970442,9.816701281987775
len_syllable_count,9.665012673828056,0.0019104244342881059,9.665012673828056
graph_edge_count,8.07616104460153,0.004540683900214414,8.07616104460153
lex_mattr_20,7.693126740168788,0.005606015879326606,7.693126740168788
sx_function_word_ratio_lexicon,6.545595547279901,0.010603664016028953,6.545595547279901
sx_content_word_ratio_lexicon,6.545595547279852,0.010603664016028953,6.545595547279852
sx_pp_like_ratio,6.265120564617796,0.01241048881390151,6.265120564617796
graph_node_count,5.990553761792019,0.014487049895997656,5.990553761792019
len_type_count,5.990553761792019,0.014487049895997656,5.990553761792019
lex_lemma_type_token_ratio,5.523576980779936,0.018879936969892486,5.523576980779936
len_token_count,5.44939362063675,0.019695446501707913,5.44939362063675
lex_honore,5.315686380006321,0.021258680670215534,5.315686380006321
sx_adjacent_similarity_min,5.27001171955669,0.021821686813628494,5.27001171955669
pause_speech_rate_words_per_second,5.2634777199711955,0.02190348253144116,5.2634777199711955
len_tokens_per_second,5.2634777199711955,0.02190348253144116,5.2634777199711955
len_syllables_per_second,5.184167105556596,0.022922069571274885,5.184167105556596
sx_upos_entropy,5.148202426454184,0.023400041693168443,5.148202426454184
graph_self_loop_ratio,5.077105777920218,0.02437560981668336,5.077105777920218
sx_clause_per_100_tokens,4.699310033220465,0.030318348733472927,4.699310033220465
sx_verbal_density,4.699310033220463,0.030318348733472927,4.699310033220463
syn_sconj_ratio,4.615968256618472,0.03182182957950631,4.615968256618472
len_speech_duration,4.610526102713893,0.03192267469373085,4.610526102713893
sx_mean_log_lemma_freq,4.576862202962765,0.0325539447934143,4.576862202962765
syn_adj_ratio,4.445459181850748,0.035145688571887206,4.445459181850748
sx_subject_object_balance,3.9827984761516344,0.046132482717024394,3.9827984761516344
pause_pause_to_word_ratio,3.9419375436648423,0.04726301902392902,3.9419375436648423
sx_std_log_lemma_freq,3.77032512806285,0.05234076035587633,3.77032512806285
disc_mean_pairwise_utt_similarity,3.703550745156355,0.05446985318785972,3.703550745156355
syn_mean_utterance_length_words,3.6810671443167036,0.055207253518580746,3.6810671443167036
len_mean_utterance_length,3.6810671443167036,0.055207253518580746,3.6810671443167036
disc_immediate_repetition_count,3.540863281401784,0.060051477414443326,3.540863281401784
pause_long_count,3.4030401688241203,0.06525681570506017,3.4030401688241203
pause_short_count,3.349832040142524,0.0673934978614411,3.349832040142524
len_tokens_per_utterance,3.1432912723468065,0.07642562317904292,3.1432912723468065
len_std_utterance_length,2.8894211885448806,0.0893528059788111,2.8894211885448806
sx_sentence_length_cv,2.7479507146286792,0.09757064943762116,2.7479507146286792
sx_adjacent_similarity_max,2.640342932056794,0.10437343613612161,2.640342932056794
sx_low_similarity_frac_03,2.3587737560102573,0.12477320885314278,2.3587737560102573
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,2.308321363652108,0.128875939352765,2.308321363652108
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,2.1724662212061556,0.14069290123484898,2.1724662212061556
disc_repeated_trigram_ratio,2.1540595770775752,0.14238546264189772,2.1540595770775752
ac_egemaps_loudness_sma3_percentile20_0,2.0812592196605944,0.14930830475546175,2.0812592196605944
par_spectral_flatness_std,2.067998262866921,0.15060985474111646,2.067998262866921
par_mfcc_1_kurtosis,1.9981875850686202,0.15767743304336526,1.9981875850686202
par_rms_kurtosis,1.9594966911121547,0.16175651880379197,1.9594966911121547
par_spectral_flatness_mean,1.9345499841472575,0.16445042044038227,1.9345499841472575
ac_egemaps_jitterlocal_sma3nz_amean,1.9191981598268815,0.1661336965899862,1.9191981598268815
ac_egemaps_spectralfluxuv_sma3nz_amean,1.6554097065829994,0.19840604535699385,1.6554097065829994
ac_egemaps_alpharatiov_sma3nz_stddevnorm,1.628763396034141,0.20205509701269786,1.628763396034141
sx_pairwise_similarity_std,1.6088847360769307,0.20482888340966562,1.6088847360769307
par_mfcc_2_kurtosis,1.5321758366700187,0.21596357655116566,1.5321758366700187
par_mfcc_8_mean,1.5277275757727036,0.21663103314979548,1.5277275757727036
par_mfcc_8_skew,1.512150100448424,0.21898788820060783,1.512150100448424
ac_egemaps_slopeuv0_500_sma3nz_amean,1.4249976856912794,0.23275541068373046,1.4249976856912794
lex_mattr_10,1.3768685029037422,0.2408058699383105,1.3768685029037422
ac_egemaps_slopev0_500_sma3nz_amean,1.3634028226564043,0.24311854835449137,1.3634028226564043
ac_egemaps_mfcc3_sma3_stddevnorm,1.3606818146120907,0.24358915398912778,1.3606818146120907
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,1.3438651433615387,0.24652245286108035,1.3438651433615387
par_spectral_centroid_skew,1.3381793768034578,0.2475239681176357,1.3381793768034578
par_mfcc_10_std,1.3218925948992957,0.25042050928868403,1.3218925948992957
par_delta_mfcc_13_std,1.3159470398196071,0.2514882562308949,1.3159470398196071
par_f0_min,1.3097085542310531,0.2526146314933302,1.3097085542310531
syn_noun_ratio,1.241148835094358,0.2654132031784317,1.241148835094358
ac_duration,1.2300162887845838,0.2675666742305735,1.2300162887845838
par_mfcc_8_std,1.1936593342682633,0.27475332537689245,1.1936593342682633
ac_egemaps_slopev0_500_sma3nz_stddevnorm,1.1501006742222784,0.2836860488813991,1.1501006742222784
ac_egemaps_mfcc1v_sma3nz_amean,1.1288967666874135,0.28816740113536066,1.1288967666874135
ac_egemaps_logrelf0_h1_a3_sma3nz_stddevnorm,1.103943073054707,0.29355737426884904,1.103943073054707
par_mfcc_10_skew,1.0974266764000589,0.2949860857291405,1.0974266764000589
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,1.0732077467563987,0.3003749253679659,1.0732077467563987
par_mfcc_5_kurtosis,1.0282384568047103,0.31072251950145735,1.0282384568047103
par_spectral_rolloff_std,1.0006428651426196,0.31730275148499903,1.0006428651426196
par_spectral_flatness_kurtosis,0.9995020097697157,0.3175787008752663,0.9995020097697157
par_f0_iqr,0.9473719234374531,0.33053286628255696,0.9473719234374531
par_rms_skew,0.9253508691051803,0.33621590000111556,0.9253508691051803
ac_egemaps_stddevunvoicedsegmentlength,0.9213924249102039,0.3372512972995103,0.9213924249102039
par_zcr_kurtosis,0.9203971749895863,0.33751229418910433,0.9203971749895863
pause_std_duration,0.9156763512161601,0.3387539957792204,0.9156763512161601
