feature_name,importance_mean,importance_std,feature_group
syn_aux_ratio,0.05964719565779264,0.015921528998909567,syn
syn_adp_ratio,0.04858490566037732,0.014888784959653565,syn
syn_mean_dependency_length,0.04787412768157142,0.010492430125643595,syn
lex_lemma_type_token_ratio,0.044404238821400856,0.012288471943983076,lex
syn_num_ratio,0.043066683897647895,0.007515503410984079,syn
sx_modifier_density,0.04140604807443775,0.019359309437888002,sx
sx_nominal_density,0.034026880330834744,0.014781611774052907,sx
sx_upos_entropy,0.031319462393383256,0.021669550142740367,sx
syn_determiner_ratio,0.03109976738175233,0.012846691119041395,syn
pd_global_prompt_coherence,0.025788317394675575,0.004639306722222507,pd
syn_clause_density,0.025665546652881833,0.01029945423409469,syn
syn_std_dependency_length,0.024218144223313497,0.009072548863965245,syn
syn_adv_ratio,0.02205350219695008,0.014391643652697126,syn
syn_content_function_ratio,0.020974411992762933,0.014190195657590986,syn
syn_part_ratio,0.020774101835099444,0.009742932940092243,syn
syn_interjection_ratio,0.01966916515895578,0.015398625418445796,syn
pd_num_unique_keywords,0.019630395451020875,0.005547990510372859,pd
sx_mean_log_lemma_freq,0.018538382010855493,0.006150543956540522,sx
len_type_count,0.018331610235202845,0.01228959313291957,len
graph_node_count,0.018331610235202845,0.01228959313291957,graph
sx_sentence_length_q75,0.01797622124579994,0.007912530241204557,sx
sx_coordination_density,0.016302662186611472,0.005784487196799164,sx
sx_sentence_length_q25,0.016296200568622334,0.00681967378832697,sx
sx_verbal_density,0.011850607392090918,0.009954528845588813,sx
sx_clause_per_100_tokens,0.011850607392090918,0.009954528845588813,sx
lex_hapax_ratio,0.01160506590850341,0.008230549166265292,lex
lex_mean_token_length,0.010416128198500862,0.003334445323302501,lex
lex_function_word_ratio,0.009789351253553824,0.008256041443340176,lex
sx_very_rare_lemma_ratio,0.00962781080382522,0.009723822676161367,sx
sx_vp_like_ratio,0.008929956060997602,0.0041744052662863775,sx
graph_edge_count,0.008716722667355837,0.008496951491825597,graph
disc_mean_pairwise_utt_similarity,0.008581028689583815,0.007140178515509749,disc
sx_sentence_length_cv,0.008574567071594675,0.00240929119107972,sx
sx_pp_like_ratio,0.008374256913931188,0.0028458567778646693,sx
sx_np_like_ratio,0.007986559834582518,0.0032049494951336094,sx
lex_content_word_ratio,0.007805634530886474,0.002939475177886451,lex
