feature_name,f_score,p_value,rank_metric
syn_num_ratio,750.7063386428039,9.970481159466999e-136,750.7063386428039
syn_mean_dependency_length,564.7539673449708,4.2904488705467613e-107,564.7539673449708
syn_std_dependency_length,468.70627453166645,2.578727915264692e-91,468.70627453166645
syn_max_dependency_length,381.7030146638836,2.2851332291536933e-76,381.7030146638836
syn_propn_ratio,346.2442677337589,4.397191363377209e-70,346.2442677337589
syn_subordination_ratio,307.67160550886496,4.1054887189172697e-63,307.67160550886496
syn_clause_density,303.72015964519306,2.1653425647220864e-62,303.72015964519306
syn_interjection_ratio,289.60367707557225,8.473169836398986e-60,289.60367707557225
len_mean_utterance_length,289.5419529248069,8.698116923141876e-60,289.5419529248069
syn_mean_utterance_length_words,289.5419529248069,8.698116923141876e-60,289.5419529248069
len_tokens_per_utterance,287.2476014401028,2.3050364209887156e-59,287.2476014401028
len_utterance_count,187.5313440249453,1.9526335655841045e-40,187.5313440249453
syn_utterance_count,187.5313440249453,1.9526335655841045e-40,187.5313440249453
syn_determiner_noun_ratio,176.06250775314643,3.4511435949023703e-38,176.06250775314643
syn_max_tree_depth,168.72349495576321,9.641393679849491e-37,168.72349495576321
syn_mean_tree_depth,167.70028779083148,1.535581707567173e-36,167.70028779083148
syn_obl_ratio,157.18697665111733,1.8639249564369116e-34,157.18697665111733
syn_cconj_ratio,146.77809771046864,2.2238809368680384e-32,146.77809771046864
syn_part_ratio,126.62910023240119,2.544148701417131e-28,126.62910023240119
syn_aux_verb_ratio,108.31815567653632,1.3789361093247358e-24,108.31815567653632
syn_aux_ratio,103.41125906468974,1.4056737175960576e-23,103.41125906468974
syn_noun_ratio,99.8507345557093,7.614763893678729e-23,99.8507345557093
lex_content_word_ratio,99.23649462209997,1.0195845417237263e-22,99.23649462209997
len_std_utterance_length,96.4110709352317,3.9104444560774594e-22,96.4110709352317
syn_pronoun_ratio,93.90254200610012,1.2927404720311971e-21,93.90254200610012
syn_nsubj_ratio,89.48574036698193,1.066722139442764e-20,89.48574036698193
disc_mean_pairwise_utt_similarity,87.42272217460585,2.865098281329569e-20,87.42272217460585
lex_function_word_ratio,74.60751636895971,1.3713155903254014e-17,74.60751636895971
syn_adv_ratio,58.019836362785426,4.425686064155746e-14,58.019836362785426
disc_adjacent_utterance_similarity_std,52.33626755625956,7.23937392198855e-13,52.33626755625956
