run_name,subset_name,top_k,num_selected_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_pd_ctp_phase2,phase1_universal,100,100,rf,n200,0.8414634146341463,0.6995407149950348,0.736188241815896,0.4056603773584906,0.993421052631579,0.9555555555555556,0.8125775819265143,0.7212394591519545
language_en_pd_ctp_phase2,rich_universal,100,100,rf,n200,0.8390243902439024,0.6948237338629593,0.7307462686567164,0.39622641509433965,0.993421052631579,0.9545454545454546,0.8168445878848064,0.7292679178161887
language_en_pd_ctp_phase2,rich_universal,50,50,svm,rbf_c1,0.8390243902439024,0.7224739324726912,0.7529579316389132,0.4811320754716981,0.9638157894736842,0.8225806451612904,0.8111035253227409,0.722806650861042
language_en_pd_ctp_phase2,all_phase2,50,50,svm,rbf_c1,0.8390243902439024,0.7286184210526316,0.757213608957795,0.5,0.9572368421052632,0.803030303030303,0.8096139523336643,0.7123255704595897
language_en_pd_ctp_phase2,all_phase2,100,100,svm,rbf_c1,0.8390243902439024,0.7439796425024826,0.7669571807502842,0.5471698113207547,0.9407894736842105,0.7631578947368421,0.7994972691161868,0.6899505986221113
language_en_pd_ctp_phase2,all_phase2,100,100,rf,n200,0.8365853658536585,0.6962512413108242,0.730820864077765,0.4056603773584906,0.9868421052631579,0.9148936170212766,0.8253630834160874,0.7275632785399683
language_en_pd_ctp_phase2,rich_universal,100,100,svm,rbf_c1,0.8365853658536585,0.736190417080437,0.7605870715275538,0.5283018867924528,0.944078947368421,0.7671232876712328,0.8097070506454818,0.7221414428224758
language_en_pd_ctp_phase2,phase1_universal,50,50,rf,n200,0.8365853658536585,0.6993234856007944,0.7334950278923114,0.41509433962264153,0.9835526315789473,0.8979591836734694,0.8082329940417081,0.7170968622669609
language_en_pd_ctp_phase2,all_phase2,50,50,rf,n200,0.8341463414634146,0.694606504468719,0.7281697281697281,0.4056603773584906,0.9835526315789473,0.8958333333333334,0.8192030784508441,0.7219829540822527
language_en_pd_ctp_phase2,rich_universal,50,50,rf,n200,0.8317073170731707,0.6868172790466733,0.7199536720814896,0.3867924528301887,0.9868421052631579,0.9111111111111111,0.796487090367428,0.7094852600349609
language_en_pd_ctp_phase2,rich_universal,50,50,svm,linear_c1,0.8292682926829268,0.7251117179741807,0.7488536525604677,0.5094339622641509,0.9407894736842105,0.75,0.804121151936445,0.7070222999275574
language_en_pd_ctp_phase2,all_phase2,50,50,svm,linear_c1,0.824390243902439,0.7310389771598809,0.7496692785183678,0.5377358490566038,0.9243421052631579,0.7125,0.838195134061569,0.7327362442889779
language_en_pd_ctp_phase2,phase1_universal,100,100,svm,rbf_c1,0.824390243902439,0.7156777557100298,0.739553924336533,0.49056603773584906,0.9407894736842105,0.7428571428571429,0.8034073982125124,0.7049118553086933
