feature_group,importance_mean,importance_std
syn,0.5304990069513406,0.21457480084252453
sx,0.28915714995034764,0.15388756884691107
pd,0.05669687189672272,0.060315166437636646
len,0.05557348560079445,0.030895602134222096
graph,0.05175645481628599,0.022076774879491837
disc,0.041776315789473606,0.02517957546223435
lex,0.030449354518371406,0.032123561347865225
pause,0.007789225422045698,0.010361108962047078
ac,0.00019860973187686427,0.00452493977599826
par,0.00019860973187686427,0.00452493977599826
