feature_name,f_score,p_value,rank_metric
lex_mattr_10,81.15681492265801,6.204892652482373e-16,81.15681492265801
lex_mattr_20,79.50019435110734,1.0829209037904085e-15,79.50019435110734
lex_content_word_ratio,77.97151920556361,1.816884182559731e-15,77.97151920556361
lex_mean_token_length,75.22363131526205,4.646210191812375e-15,75.22363131526205
lex_std_token_length,69.64130632840384,3.243537389863152e-14,69.64130632840384
sx_mean_log_lemma_freq,64.43567912683497,2.0777614840777052e-13,64.43567912683497
pause_long_count,52.35134165652541,1.8574954526503824e-11,52.35134165652541
sx_sentence_length_cv,51.540432553782985,2.5356526277309255e-11,51.540432553782985
len_tokens_per_second,47.696420237765786,1.1285218015710497e-10,47.696420237765786
pause_speech_rate_words_per_second,47.696420237765786,1.1285218015710497e-10,47.696420237765786
len_syllables_per_second,47.696420237765786,1.1285218015710497e-10,47.696420237765786
disc_semantic_drift,46.24857282505814,1.9958115775437534e-10,46.24857282505814
disc_adjacent_utterance_similarity_mean,46.24857282505813,1.9958115775437534e-10,46.24857282505813
disc_local_coherence,46.24857282505813,1.9958115775437534e-10,46.24857282505813
disc_mean_pairwise_utt_similarity,45.409216973249016,2.783140611216661e-10,45.409216973249016
pause_median_duration,40.20030441218118,2.2673396708576603e-09,40.20030441218118
syn_utterance_count,38.9888916898378,3.725192741488464e-09,38.9888916898378
len_utterance_count,38.9888916898378,3.725192741488464e-09,38.9888916898378
syn_verb_ratio,38.061186797948416,5.4610654779910535e-09,38.061186797948416
disc_adjacent_utterance_similarity_std,36.752621716084526,9.39949121960603e-09,36.752621716084526
sx_sentence_length_q25,34.59462057543587,2.3223600028870766e-08,34.59462057543587
syn_mean_tree_depth,34.11925769612923,2.838769853634036e-08,34.11925769612923
sx_sentence_length_q50,33.61082774507891,3.521023683298092e-08,33.61082774507891
sx_sentence_length_q75,33.46621554528282,3.743913688765148e-08,33.46621554528282
syn_nsubj_ratio,33.44085350138441,3.784454391312017e-08,33.44085350138441
sx_rare_lemma_ratio,33.205039740964814,4.183383547984039e-08,33.205039740964814
syn_num_ratio,33.12814940567288,4.32247714777119e-08,33.12814940567288
syn_sconj_ratio,30.428670712979162,1.376144777449391e-07,30.428670712979162
disc_repeated_trigram_ratio,29.38630329111127,2.163286998603373e-07,29.38630329111127
pause_long_ratio,29.123112243314438,2.4261631683551903e-07,29.123112243314438
syn_clause_density,28.60753079089023,3.038985707506123e-07,28.60753079089023
len_tokens_per_utterance,28.14608238254275,3.7199814102670126e-07,28.14608238254275
syn_subordination_ratio,28.062710552709913,3.858636330827688e-07,28.062710552709913
sx_low_similarity_frac_05,26.79716332207608,6.741222206727782e-07,26.79716332207608
syn_mean_utterance_length_words,26.61773225954111,7.298860196138081e-07,26.61773225954111
