run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
pd_ctp_pooled_phase2,all_phase2,100,100,lr,c1,0.7740217768523339,0.7637793214642803,0.7132352941176471,0.8348082595870207,0.6339869281045751,0.8548065243796633,0.7758575998135506
pd_ctp_pooled_phase2,rich_universal,100,100,lr,c1,0.7696186881832379,0.7619047619047619,0.6985294117647058,0.8407079646017699,0.6375838926174496,0.8529411764705882,0.7793855486294783
pd_ctp_pooled_phase2,all_phase2,100,100,svm,linear_c1,0.7689354502863093,0.77130476649013,0.6617647058823529,0.8761061946902655,0.6818181818181818,0.8557175082422349,0.7771863472343095
pd_ctp_pooled_phase2,rich_universal,50,50,svm,rbf_c1,0.7601292729481173,0.7670011148272018,0.6323529411764706,0.887905604719764,0.6935483870967742,0.8558042686100988,0.75936650432446
pd_ctp_pooled_phase2,rich_universal,100,100,svm,linear_c1,0.7601075828561513,0.7629701526093846,0.6470588235294118,0.8731563421828908,0.6717557251908397,0.8443085198681242,0.7644420239841712
pd_ctp_pooled_phase2,all_phase2,50,50,svm,rbf_c1,0.7527763317716467,0.7605524936147332,0.6176470588235294,0.887905604719764,0.6885245901639344,0.8433541558216208,0.7306223508574801
pd_ctp_pooled_phase2,phase1_universal,100,100,svm,linear_c1,0.7505314072531668,0.7516339869281046,0.6397058823529411,0.8613569321533924,0.6492537313432836,0.8127711261495748,0.7274706406220033
pd_ctp_pooled_phase2,all_phase2,50,50,svm,linear_c1,0.7490781710914454,0.7534565774361692,0.625,0.8731563421828908,0.6640625,0.8378990976921743,0.7363595929740135
pd_ctp_pooled_phase2,rich_universal,50,50,svm,linear_c1,0.7483298629186188,0.7505142907165054,0.6323529411764706,0.8643067846607669,0.6515151515151515,0.8419226097518654,0.7443812211771373
pd_ctp_pooled_phase2,rich_universal,50,50,lr,c1,0.7460415582162068,0.7340094574415132,0.6838235294117647,0.8082595870206489,0.5886075949367089,0.8412502169009196,0.7517240441307586
pd_ctp_pooled_phase2,rich_universal,100,100,svm,rbf_c1,0.7439701544334548,0.7557142857142858,0.5882352941176471,0.8997050147492626,0.7017543859649122,0.8495141419399618,0.7663894615095717
pd_ctp_pooled_phase2,all_phase2,50,50,lr,c1,0.7386886170397362,0.7280572094766207,0.6691176470588235,0.8082595870206489,0.5833333333333334,0.842746833246573,0.7484449325600805
pd_ctp_pooled_phase2,all_phase2,50,50,rf,n200,0.7367039736248482,0.7633872976338729,0.5147058823529411,0.9587020648967551,0.8333333333333334,0.8596000347041471,0.7782891151047774
pd_ctp_pooled_phase2,rich_universal,50,50,rf,n200,0.7352507374631269,0.7647678789110117,0.5,0.9705014749262537,0.8717948717948718,0.8524097692174215,0.7745936616163024
pd_ctp_pooled_phase2,phase1_universal,50,50,svm,rbf_c1,0.7343722887385042,0.7405239687848384,0.5955882352941176,0.8731563421828908,0.6532258064516129,0.829884608710741,0.7370057315918183
pd_ctp_pooled_phase2,phase1_universal,100,100,lr,c1,0.7335372201978136,0.7231127951034684,0.6617647058823529,0.8053097345132744,0.5769230769230769,0.8184105500607324,0.7476931936645488
pd_ctp_pooled_phase2,all_phase2,100,100,svm,rbf_c1,0.7292642720805136,0.7421817257945307,0.5588235294117647,0.8997050147492626,0.6909090909090909,0.8465642894325871,0.753294542773371
pd_ctp_pooled_phase2,all_phase2,100,100,rf,n200,0.7278761061946903,0.7537307372773894,0.5,0.9557522123893806,0.8192771084337349,0.8725056394239111,0.790560284089979
pd_ctp_pooled_phase2,all_phase2,50,50,dt,depth20,0.726227659205275,0.7242291317249387,0.6176470588235294,0.8348082595870207,0.6,0.7262276592052751,0.48006191950464394
pd_ctp_pooled_phase2,phase1_universal,100,100,svm,rbf_c1,0.7233862571577303,0.7373414590136262,0.5441176470588235,0.9026548672566371,0.6915887850467289,0.8280626409855978,0.743723340224349
pd_ctp_pooled_phase2,phase1_universal,100,100,rf,n200,0.7220197813638729,0.7515642252484358,0.47058823529411764,0.9734513274336283,0.8767123287671232,0.8509023078257851,0.774783815494933
pd_ctp_pooled_phase2,phase1_universal,50,50,rf,n200,0.7161417664410897,0.7458633469046874,0.45588235294117646,0.976401179941003,0.8857142857142857,0.8335176991150441,0.7585684704291192
pd_ctp_pooled_phase2,phase1_universal,50,50,lr,c1,0.7144282491757765,0.7086875608002369,0.6176470588235294,0.8112094395280236,0.5675675675675675,0.8078040950893632,0.7209699020730767
pd_ctp_pooled_phase2,rich_universal,100,100,rf,n200,0.7131919139337151,0.7414731494920175,0.45588235294117646,0.9705014749262537,0.8611111111111112,0.8571165191740413,0.7739170245190057
pd_ctp_pooled_phase2,phase1_universal,50,50,dt,depth20,0.7107300884955752,0.7021943573667712,0.625,0.7964601769911505,0.551948051948052,0.7144174041297935,0.4615350877192982
pd_ctp_pooled_phase2,phase1_universal,50,50,svm,linear_c1,0.7093419226097519,0.7134452432740577,0.5661764705882353,0.8525073746312685,0.6062992125984252,0.7928813118167621,0.6960990490052993
pd_ctp_pooled_phase2,all_phase2,100,100,dt,depth20,0.707075307999306,0.7024567885505584,0.6029411764705882,0.8112094395280236,0.5616438356164384,0.707075307999306,0.4523224055303448
pd_ctp_pooled_phase2,semantic_plus_pause,50,41,rf,n200,0.7035940482387646,0.7261492956334286,0.4632352941176471,0.943952802359882,0.7682926829268293,0.7968072184626064,0.640338355681445
pd_ctp_pooled_phase2,semantic_plus_pause,100,41,rf,n200,0.7035940482387646,0.7261492956334286,0.4632352941176471,0.943952802359882,0.7682926829268293,0.7968072184626064,0.640338355681445
pd_ctp_pooled_phase2,rich_universal,50,50,dt,depth20,0.6945709699809127,0.6910980810234542,0.5808823529411765,0.8082595870206489,0.5486111111111112,0.6979003990976922,0.44409396267292434
pd_ctp_pooled_phase2,phase1_universal,100,100,dt,depth20,0.6945492798889468,0.6879614885353766,0.5955882352941176,0.7935103244837758,0.5364238410596026,0.7001344785701893,0.45624243002803083
pd_ctp_pooled_phase2,rich_universal,100,100,dt,depth20,0.6945275897969807,0.6847519495603119,0.6102941176470589,0.7787610619469026,0.5253164556962026,0.6972280062467465,0.43838160391491066
pd_ctp_pooled_phase2,semantic_plus_pause,50,41,svm,rbf_c1,0.6899726704841228,0.6583047279714573,0.6985294117647058,0.6814159292035398,0.46798029556650245,0.7531125281971195,0.5502385455801045
pd_ctp_pooled_phase2,semantic_plus_pause,100,41,svm,rbf_c1,0.6899726704841228,0.6583047279714573,0.6985294117647058,0.6814159292035398,0.46798029556650245,0.7531125281971195,0.5502385455801045
pd_ctp_pooled_phase2,semantic_plus_pause,50,41,dt,depth20,0.6850164844698942,0.6833741882767814,0.5588235294117647,0.8112094395280236,0.5428571428571428,0.693735901440222,0.4707858943176988
pd_ctp_pooled_phase2,semantic_plus_pause,100,41,dt,depth20,0.6850164844698942,0.6833741882767814,0.5588235294117647,0.8112094395280236,0.5428571428571428,0.693735901440222,0.4707858943176988
pd_ctp_pooled_phase2,task_specific_semantic,50,20,svm,rbf_c1,0.6774466423737637,0.6445429426663596,0.6911764705882353,0.6637168141592921,0.4519230769230769,0.7286786395974318,0.5350752073191064
pd_ctp_pooled_phase2,task_specific_semantic,100,20,svm,rbf_c1,0.6774466423737637,0.6445429426663596,0.6911764705882353,0.6637168141592921,0.4519230769230769,0.7286786395974318,0.5350752073191064
pd_ctp_pooled_phase2,semantic_plus_pause,50,41,lr,c1,0.6620358320319277,0.6378299120234604,0.6397058823529411,0.6843657817109144,0.4484536082474227,0.6935190005205621,0.4424980708937848
pd_ctp_pooled_phase2,semantic_plus_pause,100,41,lr,c1,0.6620358320319277,0.6378299120234604,0.6397058823529411,0.6843657817109144,0.4484536082474227,0.6935190005205621,0.4424980708937848
pd_ctp_pooled_phase2,semantic_plus_pause,50,41,svm,linear_c1,0.6510064202672219,0.6292723872354838,0.6176470588235294,0.6843657817109144,0.4397905759162304,0.6949071664063857,0.45540675057267116
pd_ctp_pooled_phase2,semantic_plus_pause,100,41,svm,linear_c1,0.6510064202672219,0.6292723872354838,0.6176470588235294,0.6843657817109144,0.4397905759162304,0.6949071664063857,0.45540675057267116
pd_ctp_pooled_phase2,task_specific_semantic,50,20,lr,c1,0.6303791428075655,0.6075219690489151,0.6029411764705882,0.6578171091445427,0.41414141414141414,0.6676644108971023,0.43057331111802005
pd_ctp_pooled_phase2,task_specific_semantic,100,20,lr,c1,0.6303791428075655,0.6075219690489151,0.6029411764705882,0.6578171091445427,0.41414141414141414,0.6676644108971023,0.43057331111802005
pd_ctp_pooled_phase2,task_specific_semantic,50,20,svm,linear_c1,0.6237528197119555,0.6011406382720543,0.5955882352941176,0.6519174041297935,0.40703517587939697,0.6739003123373243,0.4266834357062683
pd_ctp_pooled_phase2,task_specific_semantic,100,20,svm,linear_c1,0.6237528197119555,0.6011406382720543,0.5955882352941176,0.6519174041297935,0.40703517587939697,0.6739003123373243,0.4266834357062683
pd_ctp_pooled_phase2,task_specific_semantic,50,20,rf,n200,0.6175386083636994,0.6272446106264137,0.3088235294117647,0.9262536873156342,0.6268656716417911,0.7462476140898837,0.5576655106366426
pd_ctp_pooled_phase2,task_specific_semantic,100,20,rf,n200,0.6175386083636994,0.6272446106264137,0.3088235294117647,0.9262536873156342,0.6268656716417911,0.7462476140898837,0.5576655106366426
pd_ctp_pooled_phase2,task_specific_semantic,50,20,dt,depth20,0.6136235467638382,0.6117975097351089,0.4632352941176471,0.7640117994100295,0.4405594405594406,0.6278414020475447,0.37760059965918547
pd_ctp_pooled_phase2,task_specific_semantic,100,20,dt,depth20,0.6136235467638382,0.6117975097351089,0.4632352941176471,0.7640117994100295,0.4405594405594406,0.6278414020475447,0.37760059965918547
