feature_name,importance_mean,importance_std,feature_group
lex_function_word_ratio,0.06443475620336629,0.006402232520663277,lex
syn_mean_dependency_length,0.0420722713864307,0.0069783690334554145,syn
syn_std_dependency_length,0.035055526635432946,0.010408777959253592,syn
syn_content_function_ratio,0.030049453409682438,0.01205421938529576,syn
lex_brunet,0.02632526461912199,0.006906288773191505,lex
pd_unique_unit_efficiency,0.026231997223668247,0.004939560224325592,pd
pause_articulation_rate_words_per_speaking_second,0.024021776852333844,0.009559835138783238,pause
syn_determiner_noun_ratio,0.02146885302793682,0.009575227627808268,syn
syn_pronoun_ratio,0.021260628145063333,0.011236905038438792,syn
pd_keyword_to_nonkeyword_ratio,0.020742234947076166,0.007004709670725386,pd
sx_sentence_length_cv,0.02034096824570535,0.008431283873172154,sx
sx_upos_entropy,0.018905084157556873,0.010803537169591145,sx
syn_pronoun_noun_ratio,0.01823702932500435,0.004143435508534893,syn
syn_aux_verb_ratio,0.017840100642026725,0.007786697702095949,syn
syn_verb_ratio,0.01752776331771653,0.004550255621277594,syn
syn_interjection_ratio,0.017135172653132025,0.010009052691984406,syn
pause_speaking_to_total_ratio,0.015039909769217452,0.005447372352712854,pause
syn_max_dependency_length,0.014955318410550044,0.009628458787635607,syn
ac_egemaps_mfcc1_sma3_stddevnorm,0.01473191046330038,0.007492137677413132,ac
len_syllables_per_second,0.013551969460350487,0.005498939258954956,len
graph_average_degree,0.013525941349991345,0.0034100273838176876,graph
syn_propn_ratio,0.01344568800971715,0.005415705414040061,syn
lex_mean_token_length,0.013415321880964792,0.004641725290504252,lex
sx_low_similarity_frac_03,0.013081294464688576,0.009012929825805828,sx
len_syllable_count,0.012927294811729984,0.008219302874757323,len
disc_adjacent_utterance_similarity_std,0.012838365434669452,0.007113564516914101,disc
pd_num_unique_keywords,0.01266267568974495,0.008294469836868356,pd
graph_edge_count,0.01203583203192784,0.007898706608074079,graph
syn_subordination_ratio,0.011834114176644105,0.006243779962992587,syn
graph_node_count,0.011311382960263771,0.009681877370501015,graph
len_type_count,0.011311382960263771,0.009681877370501015,len
disc_repeated_unigram_ratio,0.01029411764705881,0.00460478353670713,disc
lex_type_token_ratio,0.01029411764705881,0.00460478353670713,lex
lex_repetition_rate,0.01029411764705881,0.00460478353670713,lex
sx_sentence_length_q25,0.010144456012493497,0.006091103832412328,sx
syn_part_ratio,0.010059864653826156,0.011606239512769453,syn
syn_utterance_count,0.009853808780149275,0.005220790267621061,syn
len_utterance_count,0.009853808780149275,0.005220790267621061,len
ac_egemaps_voicedsegmentspersec,0.008986205101509648,0.001271316962464528,ac
syn_noun_verb_ratio,0.008840881485337525,0.002419601458518475,syn
lex_hapax_ratio,0.00860229047371166,0.011419954743895266,lex
par_mfcc_3_skew,0.008246572965469334,0.0023033570506606643,par
sx_low_similarity_frac_05,0.008079559257331259,0.0076376477913360575,sx
syn_aux_ratio,0.007938573659552306,0.0037928771138221137,syn
pause_silence_ratio,0.007810602116952991,0.004484257474938778,pause
ac_egemaps_loudness_sma3_stddevnorm,0.007801926080166566,0.006715312022077566,ac
sx_very_rare_lemma_ratio,0.007352941176470606,0.0063856234884806535,sx
disc_mean_pairwise_utt_similarity,0.0066523512059690985,0.008261011449292957,disc
par_mfcc_12_skew,0.00560038174561861,0.0035322339739846833,par
syn_clause_density,0.005583029672045825,0.004326395369469495,syn
pause_iqr_duration,0.005309734513274345,0.0057834001774198516,pause
sx_pairwise_similarity_std,0.0048433975360056,0.011008403553920224,sx
pd_total_unit_efficiency,0.0047241020301925785,0.0068506520199989145,pd
sx_modifier_density,0.004596130487593286,0.004827268238777829,sx
disc_immediate_repetition_count,0.0038478223147666137,0.00499662423137828,disc
len_tokens_per_second,0.003680808606628494,0.00514176702960327,len
pause_speech_rate_words_per_second,0.003680808606628494,0.00514176702960327,pause
ac_egemaps_slopev0_500_sma3nz_stddevnorm,0.003099514141939963,0.0023930020952171805,ac
sx_dep_entropy,0.003099514141939941,0.007364233107842868,sx
pause_median_duration,0.002659205275030363,0.002659928769399951,pause
syn_obl_ratio,0.0023945861530452863,0.009488767980702365,syn
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,0.0023598820058996937,0.002528981012231652,ac
sx_vp_like_ratio,0.002346867950720122,0.00580250541441249,sx
sx_sentence_length_q75,0.0017785875412112072,0.005992042482320586,sx
pd_detected_prompt_score,0.0016245878882526154,0.0036471965423837713,pd
par_mfcc_9_kurtosis,0.0013296026375151592,0.0027316050931627607,par
pd_unique_units_count,0.0013252646191219907,0.004119258555879587,pd
len_speech_duration,0.0011886170397362506,0.00440682461822365,len
syn_cconj_ratio,0.001034617386777703,0.0020630413275605046,syn
par_mfcc_13_kurtosis,0.001034617386777703,0.0011031624273411024,par
pd_unique_units_ratio,0.0008849557522123908,0.004348658433230416,pd
